;Unnamed: 0;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence.1;Track_href;Time_signature;uri;Genres;User
0;0;AG_Top100_18;1;Radiohead;Man of War;OK Computer OKNOTOK 1997 2017;2017-06-23;2;54;552BIJ9kKwwqiGf4YojYbL;269093;0.27399999999999997;0.47200000000000003;9;-7.614;0;0.0263;0.0131;0.069;0.0802;0.14;148.996;0.14;https://api.spotify.com/v1/tracks/552BIJ9kKwwqiGf4YojYbL;4;spotify:track:552BIJ9kKwwqiGf4YojYbL;['alternative rock', 'art rock', 'melancholia', 'modern rock', 'permanent wave', 'rock'];AG
1;1;AG_Top100_18;2;Jain;Come;Zanaka (Deluxe);2016-11-25;1;52;02R2z7JWV0G8VuU1xs58OB;162360;0.8190000000000001;0.784;1;-6.524;1;0.0435;0.222;0.007859999999999999;0.0809;0.831;99.98899999999999;0.831;https://api.spotify.com/v1/tracks/02R2z7JWV0G8VuU1xs58OB;4;spotify:track:02R2z7JWV0G8VuU1xs58OB;['french indie pop'];AG
2;2;AG_Top100_18;3;Foster The People;Pay the Man;Sacred Hearts Club;2017-07-21;1;58;5EeZuhVQdnUkpCiknMTeoP;233720;0.688;0.769;6;-5.52;0;0.0376;0.00148;1.0800000000000002e-05;0.262;0.505;99.969;0.505;https://api.spotify.com/v1/tracks/5EeZuhVQdnUkpCiknMTeoP;4;spotify:track:5EeZuhVQdnUkpCiknMTeoP;['indie pop', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'pop', 'rock'];AG
3;3;AG_Top100_18;4;Childish Gambino;Retro [ROUGH];Kauai;2014-10-03;1;60;7b9h63I7EafcW2pVS9pcUr;202666;0.868;0.636;5;-5.691;0;0.0391;0.233;0.0125;0.11199999999999999;0.304;109.954;0.304;https://api.spotify.com/v1/tracks/7b9h63I7EafcW2pVS9pcUr;4;spotify:track:7b9h63I7EafcW2pVS9pcUr;['atl hip hop', 'hip hop', 'pop rap', 'rap'];AG
4;4;AG_Top100_18;5;Nouvelle Vague;The Killing Moon;Bande à Part;2006-06-26;1;44;5eTa3zE2PS0fLZK46Ny9Kj;219013;0.451;0.392;7;-10.4;0;0.0295;0.902;0.42200000000000004;0.163;0.165;173.06799999999998;0.165;https://api.spotify.com/v1/tracks/5eTa3zE2PS0fLZK46Ny9Kj;3;spotify:track:5eTa3zE2PS0fLZK46Ny9Kj;['lounge'];AG
5;5;AG_Top100_18;6;Angèle;La thune;Brol;2018-10-05;1;69;3iBOe7U7kRPNIoL3QLCVu2;201906;0.7020000000000001;0.593;11;-8.339;1;0.0532;0.526;1.09e-05;0.11199999999999999;0.522;145.039;0.522;https://api.spotify.com/v1/tracks/3iBOe7U7kRPNIoL3QLCVu2;4;spotify:track:3iBOe7U7kRPNIoL3QLCVu2;['belgian pop'];AG
6;6;AG_Top100_18;7;Jessica Curry;A Lullaby of Home;So Let Us Melt;2017-09-22;1;30;36c8cXp0svllqIUYVVUQCF;76389;0.589;0.248;7;-10.639000000000001;1;0.031;0.955;0.00705;0.114;0.203;87.97;0.203;https://api.spotify.com/v1/tracks/36c8cXp0svllqIUYVVUQCF;4;spotify:track:36c8cXp0svllqIUYVVUQCF;['deep chiptune', 'scorecore', 'video game music'];AG
7;7;AG_Top100_18;8;The Colorist Orchestra;Caterpillar;The Colorist & Emiliana Torrini;2016-12-09;1;34;6cyWsVL8NyFyVFY8ytJpMY;281733;0.434;0.31;9;-12.859000000000002;1;0.0323;0.616;0.0078;0.679;0.25;149.608;0.25;https://api.spotify.com/v1/tracks/6cyWsVL8NyFyVFY8ytJpMY;4;spotify:track:6cyWsVL8NyFyVFY8ytJpMY;[];AG
8;8;AG_Top100_18;9;alt-J;3WW;RELAXER;2017-06-02;1;56;6O1XKTvgVLwytNWdOlFcHI;300106;0.637;0.13699999999999998;2;-15.130999999999998;1;0.0519;0.74;0.0287;0.0655;0.146;78.017;0.146;https://api.spotify.com/v1/tracks/6O1XKTvgVLwytNWdOlFcHI;4;spotify:track:6O1XKTvgVLwytNWdOlFcHI;['indie rock'];AG
9;9;AG_Top100_18;10;Lana Del Rey;Honeymoon;Honeymoon;2015-09-18;1;36;0Aa01k87VER2urlvU2l5fq;350058;0.16899999999999998;0.26899999999999996;5;-13.265;0;0.036000000000000004;0.953;0.00828;0.111;0.17300000000000001;74.847;0.17300000000000001;https://api.spotify.com/v1/tracks/0Aa01k87VER2urlvU2l5fq;3;spotify:track:0Aa01k87VER2urlvU2l5fq;['pop'];AG
10;10;AG_Top100_18;11;Ramin Djawadi;Paint it Black;Westworld: Season 1 (Music from the HBO® Series);2016-12-05;1;56;5D8o9tGf3Dfjz7CgMxcoeI;344017;0.32299999999999995;0.331;9;-11.325999999999999;0;0.0383;0.631;0.8859999999999999;0.0912;0.0947;73.89399999999999;0.0947;https://api.spotify.com/v1/tracks/5D8o9tGf3Dfjz7CgMxcoeI;4;spotify:track:5D8o9tGf3Dfjz7CgMxcoeI;['german soundtrack', 'scorecore', 'soundtrack', 'video game music'];AG
11;11;AG_Top100_18;12;Eddy de Pretto;Fête de trop;Cure;2018-03-02;1;61;318bvACza1ThxkbPqajFoe;156853;0.652;0.387;10;-8.793;1;0.0976;0.12300000000000001;0.0;0.136;0.442;139.716;0.442;https://api.spotify.com/v1/tracks/318bvACza1ThxkbPqajFoe;4;spotify:track:318bvACza1ThxkbPqajFoe;['french indie pop', 'french indietronica', 'pop quebecois'];AG
12;12;AG_Top100_18;13;Jain;You Can Blame Me;Zanaka (Deluxe);2016-11-25;1;40;3sTgnAROdykVctnumsyDJW;225453;0.7509999999999999;0.585;1;-7.4910000000000005;1;0.0427;0.0414;0.0027199999999999998;0.124;0.813;136.493;0.813;https://api.spotify.com/v1/tracks/3sTgnAROdykVctnumsyDJW;4;spotify:track:3sTgnAROdykVctnumsyDJW;['french indie pop'];AG
13;13;AG_Top100_18;14;Radiohead;Lull (Remastered);OK Computer OKNOTOK 1997 2017;2017-06-23;2;45;1WKFFNfL31ApigXTSd7Sea;145840;0.237;0.617;0;-6.9079999999999995;1;0.0339;0.7190000000000001;0.000668;0.23;0.156;103.061;0.156;https://api.spotify.com/v1/tracks/1WKFFNfL31ApigXTSd7Sea;4;spotify:track:1WKFFNfL31ApigXTSd7Sea;['alternative rock', 'art rock', 'melancholia', 'modern rock', 'permanent wave', 'rock'];AG
14;14;AG_Top100_18;15;Brigitte;A bouche que veux-tu;A bouche que veux-tu;2014-11-17;1;46;4aAkUbicSvQKrEv3hvBen2;385680;0.518;0.654;10;-7.345;1;0.0344;0.13699999999999998;7.730000000000001e-05;0.11800000000000001;0.14400000000000002;115.91799999999999;0.14400000000000002;https://api.spotify.com/v1/tracks/4aAkUbicSvQKrEv3hvBen2;4;spotify:track:4aAkUbicSvQKrEv3hvBen2;['chanson', 'french indie pop', 'french indietronica', 'french rock'];AG
15;15;AG_Top100_18;16;Childish Gambino;Me and Your Mama;"""Awaken, My Love!""";2016-12-02;1;66;4r0GVpjSsKSR1biv4fOoa5;379226;0.556;0.45;5;-11.874;1;0.0338;0.0105;0.0483;0.0707;0.25;117.99;0.25;https://api.spotify.com/v1/tracks/4r0GVpjSsKSR1biv4fOoa5;3;spotify:track:4r0GVpjSsKSR1biv4fOoa5;['atl hip hop', 'hip hop', 'pop rap', 'rap'];AG
16;16;AG_Top100_18;17;Joe Hisaishi;HIGHLIGHTS FROM NAUSICA OF THE VALLEY OF THE WIND;Premium Wind Ensemble Collection of GHIBLI;2012-08-08;1;35;6evO0a5AGcbYDJjYhq3JaV;585573;0.172;0.278;8;-14.709000000000001;1;0.0375;0.9159999999999999;0.847;0.09;0.0745;83.15;0.0745;https://api.spotify.com/v1/tracks/6evO0a5AGcbYDJjYhq3JaV;4;spotify:track:6evO0a5AGcbYDJjYhq3JaV;['anime', 'anime score', 'japanese classical', 'japanese soundtrack', 'scorecore', 'soundtrack'];AG
17;17;AG_Top100_18;18;a-ha;Take On Me - MTV Unplugged;MTV Unplugged - Summer Solstice;2017-10-06;2;11;7CFN1zqKSjucIyDzcrqE6I;253906;0.47;0.198;9;-13.308;1;0.0404;0.965;2.8699999999999996e-05;0.6859999999999999;0.307;128.988;0.307;https://api.spotify.com/v1/tracks/7CFN1zqKSjucIyDzcrqE6I;4;spotify:track:7CFN1zqKSjucIyDzcrqE6I;['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop'];AG
18;18;AG_Top100_18;19;Arctic Monkeys;Star Treatment;Tranquility Base Hotel & Casino;2018-05-10;1;61;0b93tWwuoAC0nXe1CfR30I;354640;0.581;0.767;7;-5.026;0;0.0527;0.243;0.00131;0.141;0.6729999999999999;120.07;0.6729999999999999;https://api.spotify.com/v1/tracks/0b93tWwuoAC0nXe1CfR30I;4;spotify:track:0b93tWwuoAC0nXe1CfR30I;['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie'];AG
