,AG,MD,MM,ARWJ,LaB,JC,MG,MC,AndAW,LB,AntAW,AsN,ACB,ET,MiC,DT,EH,AxN,AF,DL,JMG,LL,AW,JB,SK
AG,1,,,,,,,,,,,,,,,,,,,,,,,,
MD,0,1,,,,,,,,,,,,,,,,,,,,,,,
MM,1,0,1,,,,,,,,,,,,,,,,,,,,,,
ARWJ,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
LaB,0,1,0,,1,,,,,,,,,,,,,,,,,,,,
JC,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,
MG,0,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
MC,1,0,1,1,0,1,1,1,,,,,,,,,,,,,,,,,
AndAW,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
LB,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,
AntAW,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,
AsN,0,0,1,0,0,1,1,1,0,0,0,1,,,,,,,,,,,,,
ACB,0,0,0,0,0,1,0,0,0,1,0,0,1,,,,,,,,,,,,
ET,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,
MiC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,
DT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
EH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,
AxN,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,,,,,,,
AF,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,
DL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
JMG,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,
LL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,
AW,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
JB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SK,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
