;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;ACB_Top100_18;1;Gaël Faye;Tôt le matin;Rythmes et botanique;2017-04-14;1;4;4nvLzrVmgYprPttHDsuXL6;224082;0.471;0.545;10;-7.084;0;0.277;0.477;2.39e-06;0.0817;0.393;149.808;0.393;https://api.spotify.com/v1/tracks/4nvLzrVmgYprPttHDsuXL6;4;spotify:track:4nvLzrVmgYprPttHDsuXL6;['french indie pop', 'french indietronica']
1;ACB_Top100_18;2;Architects;A Match Made In Heaven;All Our Gods Have Abandoned Us;2016-05-27;1;52;5QDDmrz819WmzBeQHZNhor;228017;0.517;0.977;7;-4.627;1;0.0741;4.97e-05;0.00129;0.105;0.135;121.503;0.135;https://api.spotify.com/v1/tracks/5QDDmrz819WmzBeQHZNhor;4;spotify:track:5QDDmrz819WmzBeQHZNhor;['mathcore', 'melodic metalcore', 'metalcore', 'screamo']
2;ACB_Top100_18;3;Toska;Infantile;Ode to the Author;2016-02-27;1;27;5FZOlBZqYo0udMEhsripU4;611499;0.323;0.854;5;-7.431;1;0.0607;4.46e-05;0.756;0.159;0.352;119.398;0.352;https://api.spotify.com/v1/tracks/5FZOlBZqYo0udMEhsripU4;4;spotify:track:5FZOlBZqYo0udMEhsripU4;[]
3;ACB_Top100_18;4;Stupeflip;The Antidote;Stup Virus;2017-03-03;1;5;20o4BODGAs9sFJHC2O1y4x;198293;0.815;0.629;11;-6.957;0;0.301;0.222;3.38e-06;0.18;0.836;100.017;0.836;https://api.spotify.com/v1/tracks/20o4BODGAs9sFJHC2O1y4x;4;spotify:track:20o4BODGAs9sFJHC2O1y4x;['french reggae', 'french rock', 'rap conscient']
4;ACB_Top100_18;5;Avatar;Paint Me Red;Black Waltz;2012-01-23;1;36;1Sx9UezcKOyuwJIBX2I2Cl;267040;0.479;0.965;2;-3.264;1;0.0621;2.48e-05;0.0241;0.0292;0.336;155.01;0.336;https://api.spotify.com/v1/tracks/1Sx9UezcKOyuwJIBX2I2Cl;4;spotify:track:1Sx9UezcKOyuwJIBX2I2Cl;['alternative metal', 'gothenburg metal', 'groove metal', 'melodic death metal', 'nu metal']
5;ACB_Top100_18;6;Big Boi;All Night;BOOMIVERSE;2017-06-16;1;10;2e0cr3SmqCR6Ow6zVCs6pj;241893;0.847;0.831;8;-4.56;0;0.0459;0.0624;0.0;0.106;0.865;135.994;0.865;https://api.spotify.com/v1/tracks/2e0cr3SmqCR6Ow6zVCs6pj;4;spotify:track:2e0cr3SmqCR6Ow6zVCs6pj;['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'southern hip hop']
6;ACB_Top100_18;7;Rakoon;Healing Dub;From The Ashes;2015-07-23;1;42;3NnUnNaLnwHZMpnQUF1lHs;364000;0.728;0.708;4;-8.239;0;0.0301;0.000706;0.823;0.149;0.334;110.03;0.334;https://api.spotify.com/v1/tracks/3NnUnNaLnwHZMpnQUF1lHs;4;spotify:track:3NnUnNaLnwHZMpnQUF1lHs;[]
7;ACB_Top100_18;8;Twenty One Pilots;The Judge;Blurryface;2015-05-15;1;70;1lguQJjlNrIOoOylYVZN3M;297760;0.423;0.797;0;-4.659;1;0.124;0.177;0.0;0.137;0.592;82.617;0.592;https://api.spotify.com/v1/tracks/1lguQJjlNrIOoOylYVZN3M;4;spotify:track:1lguQJjlNrIOoOylYVZN3M;['pop punk', 'rock']
8;ACB_Top100_18;9;Dudy;Urubu (feat. Puppetmastaz);Natural Knacker #2;2017-04-28;1;3;55zooGJ2FFj6uvfE0BhLHO;207240;0.69;0.709;2;-7.062;1;0.307;0.248;0.0;0.0803;0.329;89.011;0.329;https://api.spotify.com/v1/tracks/55zooGJ2FFj6uvfE0BhLHO;4;spotify:track:55zooGJ2FFj6uvfE0BhLHO;[]
9;ACB_Top100_18;10;Rival Sons;Keep On Swinging;Head Down;2012-09-17;1;54;1tP9umMLmXZ3qrXFGVq1y8;239413;0.209;0.857;1;-5.419;0;0.0913;0.000892;0.00123;0.489;0.404;173.546;0.404;https://api.spotify.com/v1/tracks/1tP9umMLmXZ3qrXFGVq1y8;4;spotify:track:1tP9umMLmXZ3qrXFGVq1y8;['alternative roots rock', 'blues-rock', 'garage rock', 'hard rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'rock']
