;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;AF_Top100_18;1;Dennis Lloyd;Leftovers;Leftovers;2017-01-15;1;67;0dcuGoAIPAT7OrP5CGSVBA;192628;0.724;0.304;10;-11.462;0;0.23;0.676;0;0.104;0.305;153.906;0.305;https://api.spotify.com/v1/tracks/0dcuGoAIPAT7OrP5CGSVBA;3;spotify:track:0dcuGoAIPAT7OrP5CGSVBA;['israeli pop']
1;AF_Top100_18;2;DOPE LEMON;Marinade;Honey Bones;2016-06-10;1;62;2N60TAtXaCbmi7zqdUoW61;237961;0.677;0.74;2;-6.528;1;0.0243;0.242;0.0146;0.105;0.679;110.193;0.679;https://api.spotify.com/v1/tracks/2N60TAtXaCbmi7zqdUoW61;4;spotify:track:2N60TAtXaCbmi7zqdUoW61;['australian garage punk', 'australian indie']
2;AF_Top100_18;3;Mighty Oaks;The Great Unknown;Dreamers;2017-03-24;1;5;5IoEziBxaKD7BTtBJr7eex;252293;0.487;0.53;0;-7.487;0;0.0408;0.269;5.02e-05;0.163;0.377;169.833;0.377;https://api.spotify.com/v1/tracks/5IoEziBxaKD7BTtBJr7eex;4;spotify:track:5IoEziBxaKD7BTtBJr7eex;['german indie', 'indie anthem-folk']
3;AF_Top100_18;4;Foster The People;Pay the Man;III;2017-04-27;1;1;2qc0ai7O1djAFveeVHP322;233906;0.69;0.755;6;-5.496;0;0.0383;0.00156;7.57e-06;0.348;0.502;99.98;0.502;https://api.spotify.com/v1/tracks/2qc0ai7O1djAFveeVHP322;4;spotify:track:2qc0ai7O1djAFveeVHP322;['indie pop', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'pop', 'rock']
4;AF_Top100_18;5;Agnes Obel;Familiar;Citizen of Glass;2016-10-21;1;58;4z7N3LUchksm6yMrH2XHA4;235988;0.554;0.414;4;-12.288;1;0.0313;0.921;0.0149;0.108;0.229;137.355;0.229;https://api.spotify.com/v1/tracks/4z7N3LUchksm6yMrH2XHA4;4;spotify:track:4z7N3LUchksm6yMrH2XHA4;['chamber pop', 'focus']
5;AF_Top100_18;6;Bruno Major;Easily;A Song For Every Moon;2017-08-31;1;67;2k9N4caeCIJLOWwWwssrEM;210240;0.772;0.256;7;-8.545;0;0.0481;0.491;0.00612;0.144;0.357;118.902;0.357;https://api.spotify.com/v1/tracks/2k9N4caeCIJLOWwWwssrEM;3;spotify:track:2k9N4caeCIJLOWwWwssrEM;['indie r&b']
6;AF_Top100_18;7;The Strumbellas;The Hired Band;Hope;2016-04-22;1;19;2fLVMyCXMQ2tOBjd55c0UA;229600;0.62;0.43;7;-8.614;1;0.0281;0.417;0;0.0757;0.363;148.98;0.363;https://api.spotify.com/v1/tracks/2fLVMyCXMQ2tOBjd55c0UA;4;spotify:track:2fLVMyCXMQ2tOBjd55c0UA;['canadian folk', 'canadian indie', 'modern rock']
7;AF_Top100_18;8;Freedom Fry;Awake;Classic;2018-06-01;1;56;47ed9eO66cBHvWteLlF7C0;194000;0.618;0.769;11;-4.642;0;0.0309;0.671;0.241;0.276;0.607;111.978;0.607;https://api.spotify.com/v1/tracks/47ed9eO66cBHvWteLlF7C0;4;spotify:track:47ed9eO66cBHvWteLlF7C0;['shimmer pop']
8;AF_Top100_18;9;Jessie Reyez;Fuck It;Kiddo;2017-04-21;1;0;74UBM0gEonc2yiN46ynuKS;185240;0.694;0.238;5;-6.571;0;0.177;0.615;0;0.145;0.367;121.537;0.367;https://api.spotify.com/v1/tracks/74UBM0gEonc2yiN46ynuKS;4;spotify:track:74UBM0gEonc2yiN46ynuKS;['canadian contemporary r&b', 'canadian pop', 'electropop', 'pop', 'r&b']
9;AF_Top100_18;10;Sia;Rainbow (From The Original Motion Picture Soundtrack 'My Little Pony: The Movie');Rainbow (From The Original Motion Picture Soundtrack 'My Little Pony: The Movie');2017-09-15;1;57;3OkFyfE2CGRfc4MqwAKdgi;197026;0.532;0.864;2;-2.978;1;0.137;0.292;0;0.0671;0.436;81.873;0.436;https://api.spotify.com/v1/tracks/3OkFyfE2CGRfc4MqwAKdgi;4;spotify:track:3OkFyfE2CGRfc4MqwAKdgi;['australian dance', 'australian pop', 'dance pop', 'pop']
10;AF_Top100_18;11;Ibeyi;River;Ibeyi;2015-02-16;1;52;3VFj5odD26z1u2eV6Vwxa6;252095;0.654;0.292;2;-12.977;1;0.474;0.0962;0.0031;0.106;0.103;153.547;0.103;https://api.spotify.com/v1/tracks/3VFj5odD26z1u2eV6Vwxa6;4;spotify:track:3VFj5odD26z1u2eV6Vwxa6;['etherpop', 'neo soul']
11;AF_Top100_18;12;Dennis Lloyd;Act III: The Reason;Acts & Results;2016-06-17;1;54;3HIIJAt82X8huRUu5eC7lh;194534;0.774;0.782;10;-1.434;0;0.0492;0.188;0;0.0903;0.58;95.043;0.58;https://api.spotify.com/v1/tracks/3HIIJAt82X8huRUu5eC7lh;4;spotify:track:3HIIJAt82X8huRUu5eC7lh;['israeli pop']
12;AF_Top100_18;13;DOPE LEMON;Coyote;Honey Bones;2016-06-10;1;43;1IFEiJuUW4WYfXM9JeyKIL;229236;0.553;0.875;0;-4.476;1;0.0249;0.0156;0.0035;0.177;0.546;104.267;0.546;https://api.spotify.com/v1/tracks/1IFEiJuUW4WYfXM9JeyKIL;4;spotify:track:1IFEiJuUW4WYfXM9JeyKIL;['australian garage punk', 'australian indie']
13;AF_Top100_18;14;Ben Mazué;J'arrive;La femme idéale;2017-09-15;1;54;2t7Nxk7foeLUV60pcvaweZ;192146;0.725;0.378;11;-9.59;0;0.0608;0.529;0;0.0671;0.342;136.026;0.342;https://api.spotify.com/v1/tracks/2t7Nxk7foeLUV60pcvaweZ;4;spotify:track:2t7Nxk7foeLUV60pcvaweZ;['french indie pop', 'french indietronica', 'french rock']
14;AF_Top100_18;15;Phantom Planet;California - Tchad Blake Mix;The Guest;2002;1;65;497Fkp3gRiGrRMoqBTDudr;193933;0.4;0.805;4;-7.305;1;0.0407;0.0387;5.4e-05;0.109;0.324;158.459;0.324;https://api.spotify.com/v1/tracks/497Fkp3gRiGrRMoqBTDudr;4;spotify:track:497Fkp3gRiGrRMoqBTDudr;['pop rock']
15;AF_Top100_18;16;Dean Lewis;Waves;Waves;2016-09-30;1;22;64xJ1MMFxxK6osZxJH857T;241292;0.518;0.776;11;-5.791;0;0.0444;0.163;0;0.0884;0.387;156.894;0.387;https://api.spotify.com/v1/tracks/64xJ1MMFxxK6osZxJH857T;4;spotify:track:64xJ1MMFxxK6osZxJH857T;['australian pop', 'pop']
16;AF_Top100_18;17;Against The Current;Wasteland;In Our Bones;2016-05-20;1;50;5vuIV0PZWrV6cHDvMJd89o;205493;0.614;0.89;11;-4.475;0;0.0454;0.0631;0.000863;0.214;0.538;99.017;0.538;https://api.spotify.com/v1/tracks/5vuIV0PZWrV6cHDvMJd89o;4;spotify:track:5vuIV0PZWrV6cHDvMJd89o;['pixie', 'pop emo', 'viral pop']
17;AF_Top100_18;18;Oh Wonder;White Blood;Oh Wonder;2015-09-04;1;3;5vHbZCwezZGiotLTwJCjON;257426;0.474;0.244;0;-14.364;1;0.0616;0.83;0.000428;0.196;0.0753;131.196;0.0753;https://api.spotify.com/v1/tracks/5vHbZCwezZGiotLTwJCjON;4;spotify:track:5vHbZCwezZGiotLTwJCjON;['electropop', 'indie poptimism', 'indie r&b', 'modern rock', 'pop']
18;AF_Top100_18;19;Niall Horan;Too Much To Ask;Too Much To Ask;2017-09-14;1;25;3hRZsdTF5uyGA2uhNqEuhm;223043;0.517;0.552;0;-6.401;1;0.039;0.375;0;0.106;0.196;153.747;0.196;https://api.spotify.com/v1/tracks/3hRZsdTF5uyGA2uhNqEuhm;4;spotify:track:3hRZsdTF5uyGA2uhNqEuhm;['dance pop', 'pop', 'post-teen pop']
19;AF_Top100_18;20;The Strumbellas;Wild Sun;Hope;2016-04-22;1;28;5wVCTRV4TcOVKfRGHkQCQX;269573;0.648;0.249;0;-10.322;1;0.0316;0.641;0;0.112;0.147;119.797;0.147;https://api.spotify.com/v1/tracks/5wVCTRV4TcOVKfRGHkQCQX;4;spotify:track:5wVCTRV4TcOVKfRGHkQCQX;['canadian folk', 'canadian indie', 'modern rock']
20;AF_Top100_18;21;Lou Reed;Walk On the Wild Side;Transformer;1972-12-01;1;73;5p3JunprHCxClJjOmcLV8G;254173;0.575;0.318;0;-16.729;1;0.109;0.683;0.000202;0.0934;0.385;104.522;0.385;https://api.spotify.com/v1/tracks/5p3JunprHCxClJjOmcLV8G;4;spotify:track:5p3JunprHCxClJjOmcLV8G;['art rock', 'classic rock', 'dance rock', 'glam rock', 'new wave', 'permanent wave', 'protopunk', 'psychedelic rock', 'rock', 'singer-songwriter']
21;AF_Top100_18;22;Freedom Fry;Cold Blooded Heart;Classic;2018-06-01;1;26;2Z4EHifyNWMIRXozeSgTbk;256760;0.513;0.627;1;-7.637;0;0.026;0.485;0;0.126;0.204;101.048;0.204;https://api.spotify.com/v1/tracks/2Z4EHifyNWMIRXozeSgTbk;4;spotify:track:2Z4EHifyNWMIRXozeSgTbk;['shimmer pop']
22;AF_Top100_18;23;alt-J;Tessellate;An Awesome Wave;2012-05-28;1;59;1EbacZvcixTCTzBcJfaua2;182666;0.683;0.613;2;-6.478;1;0.0433;0.378;0.0424;0.119;0.42;116.911;0.42;https://api.spotify.com/v1/tracks/1EbacZvcixTCTzBcJfaua2;4;spotify:track:1EbacZvcixTCTzBcJfaua2;['indie rock']
23;AF_Top100_18;24;DOPE LEMON;Uptown Folks;Honey Bones;2016-06-10;1;51;0qb7bl4PDIsVI02UMJpyiC;288013;0.475;0.824;11;-4.935;0;0.0395;0.0846;0.155;0.136;0.408;117.239;0.408;https://api.spotify.com/v1/tracks/0qb7bl4PDIsVI02UMJpyiC;4;spotify:track:0qb7bl4PDIsVI02UMJpyiC;['australian garage punk', 'australian indie']
24;AF_Top100_18;25;Fishbach;Feu;A ta merci;2017-01-27;1;32;3tSAizTY4m5nQIkPDDFx3z;215666;0.38;0.901;11;-7.577;0;0.0583;0.243;0.224;0.134;0.412;99.071;0.412;https://api.spotify.com/v1/tracks/3tSAizTY4m5nQIkPDDFx3z;4;spotify:track:3tSAizTY4m5nQIkPDDFx3z;['french indie pop', 'french indietronica']
