;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;AG_Top100_18;1;Radiohead;Man of War;OK Computer OKNOTOK 1997 2017;2017-06-23;2;54;552BIJ9kKwwqiGf4YojYbL;269093;0.274;0.472;9;-7.614;0;0.0263;0.0131;0.069;0.0802;0.14;148.996;0.14;https://api.spotify.com/v1/tracks/552BIJ9kKwwqiGf4YojYbL;4;spotify:track:552BIJ9kKwwqiGf4YojYbL;['alternative rock', 'art rock', 'melancholia', 'modern rock', 'permanent wave', 'rock']
1;AG_Top100_18;2;Jain;Come;Zanaka (Deluxe);2016-11-25;1;52;02R2z7JWV0G8VuU1xs58OB;162360;0.819;0.784;1;-6.524;1;0.0435;0.222;0.00786;0.0809;0.831;99.989;0.831;https://api.spotify.com/v1/tracks/02R2z7JWV0G8VuU1xs58OB;4;spotify:track:02R2z7JWV0G8VuU1xs58OB;['french indie pop']
2;AG_Top100_18;3;Foster The People;Pay the Man;Sacred Hearts Club;2017-07-21;1;58;5EeZuhVQdnUkpCiknMTeoP;233720;0.688;0.769;6;-5.52;0;0.0376;0.00148;1.08e-05;0.262;0.505;99.969;0.505;https://api.spotify.com/v1/tracks/5EeZuhVQdnUkpCiknMTeoP;4;spotify:track:5EeZuhVQdnUkpCiknMTeoP;['indie pop', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'pop', 'rock']
3;AG_Top100_18;4;Childish Gambino;Retro [ROUGH];Kauai;2014-10-03;1;60;7b9h63I7EafcW2pVS9pcUr;202666;0.868;0.636;5;-5.691;0;0.0391;0.233;0.0125;0.112;0.304;109.954;0.304;https://api.spotify.com/v1/tracks/7b9h63I7EafcW2pVS9pcUr;4;spotify:track:7b9h63I7EafcW2pVS9pcUr;['atl hip hop', 'hip hop', 'pop rap', 'rap']
4;AG_Top100_18;5;Nouvelle Vague;The Killing Moon;Bande à Part;2006-06-26;1;44;5eTa3zE2PS0fLZK46Ny9Kj;219013;0.451;0.392;7;-10.4;0;0.0295;0.902;0.422;0.163;0.165;173.068;0.165;https://api.spotify.com/v1/tracks/5eTa3zE2PS0fLZK46Ny9Kj;3;spotify:track:5eTa3zE2PS0fLZK46Ny9Kj;['lounge']
5;AG_Top100_18;6;Angèle;La thune;Brol;2018-10-05;1;69;3iBOe7U7kRPNIoL3QLCVu2;201906;0.702;0.593;11;-8.339;1;0.0532;0.526;1.09e-05;0.112;0.522;145.039;0.522;https://api.spotify.com/v1/tracks/3iBOe7U7kRPNIoL3QLCVu2;4;spotify:track:3iBOe7U7kRPNIoL3QLCVu2;['belgian pop']
6;AG_Top100_18;7;Jessica Curry;A Lullaby of Home;So Let Us Melt;2017-09-22;1;30;36c8cXp0svllqIUYVVUQCF;76389;0.589;0.248;7;-10.639;1;0.031;0.955;0.00705;0.114;0.203;87.97;0.203;https://api.spotify.com/v1/tracks/36c8cXp0svllqIUYVVUQCF;4;spotify:track:36c8cXp0svllqIUYVVUQCF;['deep chiptune', 'scorecore', 'video game music']
7;AG_Top100_18;8;The Colorist Orchestra;Caterpillar;The Colorist & Emiliana Torrini;2016-12-09;1;34;6cyWsVL8NyFyVFY8ytJpMY;281733;0.434;0.31;9;-12.859;1;0.0323;0.616;0.0078;0.679;0.25;149.608;0.25;https://api.spotify.com/v1/tracks/6cyWsVL8NyFyVFY8ytJpMY;4;spotify:track:6cyWsVL8NyFyVFY8ytJpMY;[]
8;AG_Top100_18;9;alt-J;3WW;RELAXER;2017-06-02;1;56;6O1XKTvgVLwytNWdOlFcHI;300106;0.637;0.137;2;-15.131;1;0.0519;0.74;0.0287;0.0655;0.146;78.017;0.146;https://api.spotify.com/v1/tracks/6O1XKTvgVLwytNWdOlFcHI;4;spotify:track:6O1XKTvgVLwytNWdOlFcHI;['indie rock']
9;AG_Top100_18;10;Lana Del Rey;Honeymoon;Honeymoon;2015-09-18;1;36;0Aa01k87VER2urlvU2l5fq;350058;0.169;0.269;5;-13.265;0;0.036;0.953;0.00828;0.111;0.173;74.847;0.173;https://api.spotify.com/v1/tracks/0Aa01k87VER2urlvU2l5fq;3;spotify:track:0Aa01k87VER2urlvU2l5fq;['pop']
