;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;ARWJ_Top100_18;1;Jabberwocky;Pola;Pola;2014-01-01;1;1;7B3MXgGcC05Ajvi5Qz4YFB;204040;0.541;0.789;8;-6.306;0;0.0292;0.00842;0.000116;0.564;0.293;108.992;0.293;https://api.spotify.com/v1/tracks/7B3MXgGcC05Ajvi5Qz4YFB;4;spotify:track:7B3MXgGcC05Ajvi5Qz4YFB;['french indie pop', 'french indietronica', 'tropical house']
1;ARWJ_Top100_18;2;alt-J;Taro;An Awesome Wave;2012-05-28;1;61;36ylLzMtvJ2CItc7bN4TcF;314986;0.35;0.476;5;-10.653;1;0.034;0.765;0.0039;0.0785;0.293;171.938;0.293;https://api.spotify.com/v1/tracks/36ylLzMtvJ2CItc7bN4TcF;4;spotify:track:36ylLzMtvJ2CItc7bN4TcF;['indie rock']
2;ARWJ_Top100_18;3;Pixies;Where Is My Mind?;Surfer Rosa (Remastered);1988;1;72;6mcxQ1Y3uQRU0IHsvdNLH1;236973;0.523;0.442;4;-14.121;1;0.0347;0.0189;0.000494;0.0784;0.277;81.083;0.277;https://api.spotify.com/v1/tracks/6mcxQ1Y3uQRU0IHsvdNLH1;4;spotify:track:6mcxQ1Y3uQRU0IHsvdNLH1;['alternative rock', 'boston rock', 'garage rock', 'indie rock', 'modern rock', 'new wave', 'noise pop', 'permanent wave', 'rock']
3;ARWJ_Top100_18;4;Parov Stelar;The Sun;The Demon Diaries (Deluxe);2015-05-01;2;45;16TgdSXa71GegvWppYh6Qp;174786;0.68;0.682;11;-6.88;0;0.049;0.235;0.0747;0.132;0.553;116.877;0.553;https://api.spotify.com/v1/tracks/16TgdSXa71GegvWppYh6Qp;4;spotify:track:16TgdSXa71GegvWppYh6Qp;['acid jazz', 'downtempo', 'electro swing', 'nu jazz', 'tropical house']
4;ARWJ_Top100_18;5;Dennis Lloyd;Nevermind;Nevermind;2017-06-30;1;84;63SevszngYpZOwf63o61K4;156600;0.592;0.691;3;-8.354;1;0.196;0.156;9.78e-06;0.418;0.0796;99.976;0.0796;https://api.spotify.com/v1/tracks/63SevszngYpZOwf63o61K4;4;spotify:track:63SevszngYpZOwf63o61K4;['israeli pop']
5;ARWJ_Top100_18;6;Kaleo;Way Down We Go;A/B;2016-06-10;1;75;0y1QJc3SJVPKJ1OvFmFqe6;213706;0.489;0.505;10;-8.022;0;0.117;0.579;0.000333;0.104;0.337;163.255;0.337;https://api.spotify.com/v1/tracks/0y1QJc3SJVPKJ1OvFmFqe6;4;spotify:track:0y1QJc3SJVPKJ1OvFmFqe6;['icelandic indie', 'modern alternative rock', 'modern rock']
6;ARWJ_Top100_18;7;P!nk;What About Us;Beautiful Trauma;2017-10-13;1;78;0Qh38w01QRXK6KHIv0e3hb;269600;0.489;0.588;1;-6.177;1;0.0507;0.0285;2.11e-06;0.0906;0.187;113.617;0.187;https://api.spotify.com/v1/tracks/0Qh38w01QRXK6KHIv0e3hb;4;spotify:track:0Qh38w01QRXK6KHIv0e3hb;['dance pop', 'pop', 'post-teen pop']
7;ARWJ_Top100_18;8;Stand High Patrol;The big tree;Midnight walkers;2012-01-20;1;3;70uuQm2kS6Z9iQWqbm3VDT;241120;0.697;0.392;2;-9.713;1;0.0417;0.259;3.88e-05;0.0956;0.196;167.002;0.196;https://api.spotify.com/v1/tracks/70uuQm2kS6Z9iQWqbm3VDT;4;spotify:track:70uuQm2kS6Z9iQWqbm3VDT;['french reggae', 'uk dub']
8;ARWJ_Top100_18;9;Synapson;Djon Maya Maï - feat. Victor Démé [Original Mix];Convergence;2015-10-16;1;52;3hxRKXzZS0XRYGZ123JDNH;194706;0.79;0.647;8;-6.732;0;0.0375;0.2;0.109;0.0766;0.749;105.012;0.749;https://api.spotify.com/v1/tracks/3hxRKXzZS0XRYGZ123JDNH;4;spotify:track:3hxRKXzZS0XRYGZ123JDNH;['french indie pop', 'french indietronica', 'tropical house']
9;ARWJ_Top100_18;10;Tom Odell;Another Love;Long Way Down (Deluxe);2013-06-21;1;73;3JvKfv6T31zO0ini8iNItO;244360;0.445;0.537;4;-8.532;0;0.04;0.695;1.6e-05;0.0944;0.131;122.764;0.131;https://api.spotify.com/v1/tracks/3JvKfv6T31zO0ini8iNItO;4;spotify:track:3JvKfv6T31zO0ini8iNItO;['indie folk', 'neo mellow', 'pop']
10;ARWJ_Top100_18;11;Gavin DeGraw;I Don't Want to Be;Chariot;2003-07-21;1;57;4vl2zwXsTmAxgu9iY0g6UK;217760;0.423;0.862;0;-5.13;0;0.0695;0.00791;0.0;0.133;0.462;154.746;0.462;https://api.spotify.com/v1/tracks/4vl2zwXsTmAxgu9iY0g6UK;4;spotify:track:4vl2zwXsTmAxgu9iY0g6UK;['acoustic pop', 'neo mellow', 'pop', 'pop rock']
11;ARWJ_Top100_18;12;Billy Joel;Piano Man;Piano Man;1973;1;69;78WVLOP9pN0G3gRLFy1rAa;336200;0.334;0.477;0;-8.806;1;0.0276;0.618;4.17e-06;0.312;0.405;179.239;0.405;https://api.spotify.com/v1/tracks/78WVLOP9pN0G3gRLFy1rAa;3;spotify:track:78WVLOP9pN0G3gRLFy1rAa;['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']
12;ARWJ_Top100_18;13;alt-J;Breezeblocks;An Awesome Wave;2012-05-28;1;69;7gARZ2i5u5DHC1b1n1fML5;227080;0.569;0.645;5;-7.368;1;0.0387;0.118;0.00114;0.146;0.247;74.985;0.247;https://api.spotify.com/v1/tracks/7gARZ2i5u5DHC1b1n1fML5;4;spotify:track:7gARZ2i5u5DHC1b1n1fML5;['indie rock']
13;ARWJ_Top100_18;14;Jabberwocky;Quantif;Pola;2014-01-01;1;0;6m0VygmwDlYxPgNNKrw3mB;278400;0.576;0.712;9;-8.324;0;0.027;0.00318;0.0521;0.121;0.272;90.036;0.272;https://api.spotify.com/v1/tracks/6m0VygmwDlYxPgNNKrw3mB;4;spotify:track:6m0VygmwDlYxPgNNKrw3mB;['french indie pop', 'french indietronica', 'tropical house']
14;ARWJ_Top100_18;15;Tom Walker;Leave a Light On;Leave a Light On;2017-10-13;1;81;6lOWoTqVnAWXchddtTH31W;185863;0.586;0.624;5;-5.946;1;0.113;0.0153;1.78e-06;0.133;0.267;68.976;0.267;https://api.spotify.com/v1/tracks/6lOWoTqVnAWXchddtTH31W;4;spotify:track:6lOWoTqVnAWXchddtTH31W;['indie anthem-folk', 'modern alternative rock', 'modern rock']
15;ARWJ_Top100_18;16;Diam's;La boulette (génération nan nan);Dans Ma Bulle;2006-02-03;1;59;1Vf09Cxf2jqSkU6sfueYAq;231440;0.943;0.584;0;-6.661;1;0.304;0.281;1.2e-06;0.151;0.659;98.996;0.659;https://api.spotify.com/v1/tracks/1Vf09Cxf2jqSkU6sfueYAq;4;spotify:track:1Vf09Cxf2jqSkU6sfueYAq;['francoton', 'french hip hop', 'french pop']
16;ARWJ_Top100_18;17;Naïve New Beaters;Heal Tomorrow;A la folie;2016-07-22;1;11;4J6xvZhJh26lmAEAXGDCKu;216240;0.719;0.734;2;-5.328;0;0.0305;0.0346;5.27e-06;0.0859;0.323;119.982;0.323;https://api.spotify.com/v1/tracks/4J6xvZhJh26lmAEAXGDCKu;4;spotify:track:4J6xvZhJh26lmAEAXGDCKu;['electrofox', 'french indie pop', 'french indietronica', 'french rock']
17;ARWJ_Top100_18;18;Her;Five Minutes - Her Rework;Five Minutes (Her Rework);2016-10-28;1;1;0hebjIrCfeGrCWMeckBaoo;169200;0.608;0.693;10;-4.62;0;0.0971;0.175;0.000866;0.0945;0.376;99.955;0.376;https://api.spotify.com/v1/tracks/0hebjIrCfeGrCWMeckBaoo;4;spotify:track:0hebjIrCfeGrCWMeckBaoo;['french indie pop', 'french indietronica']
18;ARWJ_Top100_18;19;Bon Iver;Skinny Love;For Emma, Forever Ago;2008-05-12;1;67;1NyFRrFiJAJIaR6icj1goI;238532;0.592;0.256;4;-14.031;0;0.0449;0.842;2.38e-06;0.088;0.103;76.361;0.103;https://api.spotify.com/v1/tracks/1NyFRrFiJAJIaR6icj1goI;4;spotify:track:1NyFRrFiJAJIaR6icj1goI;['chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'melancholia', 'slow core', 'stomp and holler']
19;ARWJ_Top100_18;20;Kygo;Stole the Show;Cloud Nine;2016-05-13;1;75;5masKPHeAOVNgxdLebIcK7;223186;0.679;0.662;8;-6.069;0;0.174;0.155;0.0;0.152;0.438;99.879;0.438;https://api.spotify.com/v1/tracks/5masKPHeAOVNgxdLebIcK7;4;spotify:track:5masKPHeAOVNgxdLebIcK7;['edm', 'pop', 'tropical house']
20;ARWJ_Top100_18;21;Tom Odell;Sirens;Long Way Down (Deluxe);2013-06-21;1;53;4Qsbh3hrrJLul6FAlNlHQz;220373;0.458;0.573;10;-8.38;1;0.0303;0.495;3.58e-05;0.0974;0.206;147.229;0.206;https://api.spotify.com/v1/tracks/4Qsbh3hrrJLul6FAlNlHQz;4;spotify:track:4Qsbh3hrrJLul6FAlNlHQz;['indie folk', 'neo mellow', 'pop']
21;ARWJ_Top100_18;22;Vance Joy;Georgia;Dream Your Life Away;2014-09-08;1;68;6Fha6tXHkL3r9m9nNqQG8p;230506;0.388;0.66;11;-7.372;1;0.0308;0.312;0.000307;0.0943;0.401;143.554;0.401;https://api.spotify.com/v1/tracks/6Fha6tXHkL3r9m9nNqQG8p;4;spotify:track:6Fha6tXHkL3r9m9nNqQG8p;['indie folk', 'modern rock', 'neo mellow', 'pop']
22;ARWJ_Top100_18;23;Synapson;Blade Down (feat. Tessa B);Blade Down (feat. Tessa B);2016-05-20;1;38;0QthNwcykjwlKYaYkhQCrt;201883;0.837;0.71;6;-6.344;1;0.0406;0.247;0.00132;0.044;0.76;120.01;0.76;https://api.spotify.com/v1/tracks/0QthNwcykjwlKYaYkhQCrt;4;spotify:track:0QthNwcykjwlKYaYkhQCrt;['french indie pop', 'french indietronica', 'tropical house']
23;ARWJ_Top100_18;24;alt-J;Fitzpleasure;An Awesome Wave;2012-05-28;1;54;2UcvadWJXH3jQ3lJRA8RRu;219400;0.585;0.594;9;-6.935;1;0.0487;0.144;0.0011;0.105;0.36;143.94;0.36;https://api.spotify.com/v1/tracks/2UcvadWJXH3jQ3lJRA8RRu;4;spotify:track:2UcvadWJXH3jQ3lJRA8RRu;['indie rock']
24;ARWJ_Top100_18;25;Emma Louise;Jungle;Vs Head Vs Heart;2013-01-01;1;44;2zxOJ3tJyK5CvUCas4XtW3;203240;0.701;0.551;7;-10.408;0;0.0322;0.562;0.546;0.108;0.64;125.981;0.64;https://api.spotify.com/v1/tracks/2zxOJ3tJyK5CvUCas4XtW3;4;spotify:track:2zxOJ3tJyK5CvUCas4XtW3;['australian indie', 'brisbane indie']
25;ARWJ_Top100_18;26;Patrice;Soulstorm;Nile;2005-09-01;1;49;4f6rmvDDKl73lbPlMJckxG;234840;0.743;0.663;9;-8.874;0;0.0369;0.676;0.192;0.213;0.973;140.011;0.973;https://api.spotify.com/v1/tracks/4f6rmvDDKl73lbPlMJckxG;4;spotify:track:4f6rmvDDKl73lbPlMJckxG;['french reggae', 'german reggae']
26;ARWJ_Top100_18;27;Aerosmith;Dream On;Aerosmith;1973;1;78;5MxNLUsfh7uzROypsoO5qe;266960;0.307;0.433;1;-10.057;1;0.029;0.388;9.08e-05;0.332;0.224;160.9;0.224;https://api.spotify.com/v1/tracks/5MxNLUsfh7uzROypsoO5qe;4;spotify:track:5MxNLUsfh7uzROypsoO5qe;['album rock', 'classic rock', 'hard rock', 'rock']
27;ARWJ_Top100_18;28;Stand High Patrol;The Shift;The Shift;2017-05-26;1;0;2QYKI9iImQA9Hq3UMh1709;223785;0.886;0.57;7;-8.382;0;0.124;0.19;6.65e-06;0.105;0.473;96.011;0.473;https://api.spotify.com/v1/tracks/2QYKI9iImQA9Hq3UMh1709;4;spotify:track:2QYKI9iImQA9Hq3UMh1709;['french reggae', 'uk dub']
28;ARWJ_Top100_18;29;Avicii;Addicted To You;True;2013-01-01;1;69;5GayeBzzXIEl6fY0cP42Z1;148386;0.549;0.778;1;-4.071;0;0.0451;0.0494;0.0;0.0819;0.318;128.089;0.318;https://api.spotify.com/v1/tracks/5GayeBzzXIEl6fY0cP42Z1;4;spotify:track:5GayeBzzXIEl6fY0cP42Z1;['big room', 'dance pop', 'edm', 'pop']
29;ARWJ_Top100_18;30;Garou;Sous le vent;Le Meilleur;2014-11-10;1;18;7gbFnZmSHGo3mk4sgwXLX1;210613;0.493;0.55;11;-4.935;1;0.0372;0.557;0.0;0.0959;0.241;140.677;0.241;https://api.spotify.com/v1/tracks/7gbFnZmSHGo3mk4sgwXLX1;4;spotify:track:7gbFnZmSHGo3mk4sgwXLX1;['chanson', 'french pop']
30;ARWJ_Top100_18;31;ABBA;Dancing Queen;Arrival;1976;1;76;0GjEhVFGZW8afUYGChu3Rr;230400;0.543;0.87;9;-6.514;1;0.0428;0.358;0.000939;0.792;0.754;100.804;0.754;https://api.spotify.com/v1/tracks/0GjEhVFGZW8afUYGChu3Rr;4;spotify:track:0GjEhVFGZW8afUYGChu3Rr;['europop', 'swedish pop']
