;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;AW_Top100_18;1;Keala Settle;This Is Me;The Greatest Showman (Original Motion Picture Soundtrack);2017-12-08;1;83;45aBsnKRWUzhwbcqOJLwfe;234706;0.284;0.704;2;-7.276;1;0.186;0.00583;0.000115;0.0424;0.1;191.702;0.1;https://api.spotify.com/v1/tracks/45aBsnKRWUzhwbcqOJLwfe;4;spotify:track:45aBsnKRWUzhwbcqOJLwfe;['broadway', 'hollywood']
1;AW_Top100_18;2;Hans Zimmer;Driving / Discombobulate / Zoosters Breakout - Live / From Driving Miss Daisy / Sherlock Holmes / Madagascar;Live In Prague;2017-11-03;1;3;2pfQtxd9UCxShS0dCmzbw9;457266;0.403;0.657;0;-11.115;1;0.0455;0.0844;0.487;0.97;0.246;140.147;0.246;https://api.spotify.com/v1/tracks/2pfQtxd9UCxShS0dCmzbw9;4;spotify:track:2pfQtxd9UCxShS0dCmzbw9;['german soundtrack', 'soundtrack']
2;AW_Top100_18;3;Sons Of The East;Into The Sun - EP Version;Already Gone;2015-11-06;1;64;4gFakkHz0RjUrbf9Ufilb7;300499;0.585;0.348;11;-10.268;1;0.0361;0.585;7.47e-05;0.101;0.101;109.97;0.101;https://api.spotify.com/v1/tracks/4gFakkHz0RjUrbf9Ufilb7;4;spotify:track:4gFakkHz0RjUrbf9Ufilb7;['chamber pop', 'indie anthem-folk', 'indie folk', 'stomp and holler']
3;AW_Top100_18;4;Florence + The Machine;Delilah;How Big, How Blue, How Beautiful (Deluxe);2015-06-01;1;57;12HB8AmFTovKrFcGG36KbL;293468;0.426;0.87;9;-3.821;0;0.0621;0.096;0.0;0.112;0.414;169.946;0.414;https://api.spotify.com/v1/tracks/12HB8AmFTovKrFcGG36KbL;4;spotify:track:12HB8AmFTovKrFcGG36KbL;['chamber pop', 'dance pop', 'folk-pop', 'pop']
4;AW_Top100_18;5;American Authors;Pride;What We Live For;2016-07-01;1;1;3cQpRRGpa00UXLrqopS6gV;191280;0.622;0.879;8;-4.434;1;0.0379;0.026;0.0;0.371;0.662;103.978;0.662;https://api.spotify.com/v1/tracks/3cQpRRGpa00UXLrqopS6gV;4;spotify:track:3cQpRRGpa00UXLrqopS6gV;['brooklyn indie', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop', 'pop rock']
5;AW_Top100_18;6;José González;Step Out;The Secret Life Of Walter Mitty (Music From And Inspired By The Motion Picture);2013-01-01;1;6;5tag2auodYnO3vBlFgGt42;241573;0.433;0.576;8;-10.311;1;0.0455;0.0128;0.409;0.147;0.159;144.908;0.159;https://api.spotify.com/v1/tracks/5tag2auodYnO3vBlFgGt42;4;spotify:track:5tag2auodYnO3vBlFgGt42;['chamber pop', 'folk-pop', 'gothenburg indie', 'indie folk', 'neo mellow', 'stomp and holler', 'swedish indie pop', 'swedish singer-songwriter']
6;AW_Top100_18;7;We Are All Astronauts;Ether;The Machines EP;2017-10-14;1;36;2QCtisCUsyG1XtEqlme0lJ;356442;0.159;0.318;7;-10.77;0;0.0314;0.352;0.0969;0.156;0.0334;79.872;0.0334;https://api.spotify.com/v1/tracks/2QCtisCUsyG1XtEqlme0lJ;4;spotify:track:2QCtisCUsyG1XtEqlme0lJ;[]
7;AW_Top100_18;8;Lord Huron;The Night We Met;Strange Trails;2015-04-06;1;78;6mORGLOz79w6VsCRLWYYuK;208211;0.443;0.369;9;-9.514;1;0.0441;0.969;0.277;0.638;0.0989;174.107;0.0989;https://api.spotify.com/v1/tracks/6mORGLOz79w6VsCRLWYYuK;3;spotify:track:6mORGLOz79w6VsCRLWYYuK;['folk-pop', 'indie folk', 'indie pop', 'new americana', 'stomp and holler']
8;AW_Top100_18;9;Mozambo;Papercut;Papercut;2018-04-13;1;50;04TKGBfpapyHqPs2qzo8NH;174706;0.715;0.761;9;-3.945;1;0.066;0.00602;0.0;0.379;0.257;125.045;0.257;https://api.spotify.com/v1/tracks/04TKGBfpapyHqPs2qzo8NH;4;spotify:track:04TKGBfpapyHqPs2qzo8NH;[]
9;AW_Top100_18;10;La Femme;Sur la planche 2013;Psycho Tropical Berlin;2013-01-01;1;43;2vBRXVkJyEuMNZ3sZly1lp;226853;0.462;0.805;9;-4.734;0;0.0392;0.0537;0.0298;0.111;0.202;186.032;0.202;https://api.spotify.com/v1/tracks/2vBRXVkJyEuMNZ3sZly1lp;4;spotify:track:2vBRXVkJyEuMNZ3sZly1lp;['french indie pop', 'french indietronica', 'french rock', 'new rave']
