;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;AndAW_Top100_18;1;DVBBS;Ur on My Mind;Ur on My Mind;2016-08-26;1;48;6cXrFTx5N4IM5tVffUwzGI;211156;0.512;0.922;7;-2.13;1;0.0564;0.0393;0.000435;0.429;0.412;128.054;0.412;https://api.spotify.com/v1/tracks/6cXrFTx5N4IM5tVffUwzGI;4;spotify:track:6cXrFTx5N4IM5tVffUwzGI;['big room', 'dance pop', 'deep big room', 'edm', 'electro house', 'pop', 'progressive electro house', 'tropical house']
1;AndAW_Top100_18;2;Feder;Remember Your Name (feat. Timothy Auld & Ana Zimmer);Breathe;2017-11-24;1;50;6HuvDg09TQRVpFEHeJAyn8;270400;0.705;0.584;5;-8.748;0;0.0646;0.0043;0.000291;0.154;0.327;97.988;0.327;https://api.spotify.com/v1/tracks/6HuvDg09TQRVpFEHeJAyn8;4;spotify:track:6HuvDg09TQRVpFEHeJAyn8;['tropical house']
2;AndAW_Top100_18;3;G-Eazy;Me, Myself & I - Marc Stout & Scott Svejda Remix;Me, Myself & I (Marc Stout & Scott Svejda Remix);2016-03-18;1;57;4WLVepwyIveYwv7uJROc5p;275714;0.492;0.742;1;-5.291;1;0.183;0.0417;0.0;0.0688;0.677;126.038;0.677;https://api.spotify.com/v1/tracks/4WLVepwyIveYwv7uJROc5p;4;spotify:track:4WLVepwyIveYwv7uJROc5p;['hip hop', 'indie pop rap', 'pop', 'pop rap', 'rap']
3;AndAW_Top100_18;4;Katy Perry;Bon Appétit - Martin Jensen Remix;Bon Appétit (Martin Jensen Remix);2017-05-17;1;1;4E0AymEMZCm9QZ8VqugkGS;176803;0.833;0.753;8;-5.747;0;0.0562;0.342;8.45e-05;0.116;0.767;106.007;0.767;https://api.spotify.com/v1/tracks/4E0AymEMZCm9QZ8VqugkGS;4;spotify:track:4E0AymEMZCm9QZ8VqugkGS;['dance pop', 'pop', 'post-teen pop']
4;AndAW_Top100_18;5;Angemi;I'll Catch You - Original Mix;I'll Catch You;2017-02-24;1;22;6G0WvujZuBfEcV3qnWYjTa;235870;0.465;0.784;1;-2.696;0;0.0394;0.00377;0.0;0.106;0.214;145.108;0.214;https://api.spotify.com/v1/tracks/6G0WvujZuBfEcV3qnWYjTa;4;spotify:track:6G0WvujZuBfEcV3qnWYjTa;['deep big room', 'sky room']
5;AndAW_Top100_18;6;Ricii Lompeurs;She - Ricii Remix;She (Ricii Remix);2017-03-24;1;0;5qtdjJ9BDNdwPVl3dUVgLl;187062;0.705;0.673;5;-9.168;0;0.137;0.703;8.78e-05;0.322;0.893;119.987;0.893;https://api.spotify.com/v1/tracks/5qtdjJ9BDNdwPVl3dUVgLl;4;spotify:track:5qtdjJ9BDNdwPVl3dUVgLl;[]
6;AndAW_Top100_18;7;TWINNS;Fairy Tale;Fairy Tale;2016-05-11;1;29;4vJjCfmGubxV6rxMqPa87G;180950;0.747;0.786;7;-6.376;0;0.397;0.072;0.0107;0.0943;0.48;122.013;0.48;https://api.spotify.com/v1/tracks/4vJjCfmGubxV6rxMqPa87G;4;spotify:track:4vJjCfmGubxV6rxMqPa87G;[]
7;AndAW_Top100_18;8;Kendrick Lamar;All The Stars (with SZA);Black Panther The Album Music From And Inspired By;2018-02-09;1;24;2Imq77E6CEJR5TPUxlJvTY;232186;0.532;0.642;5;-4.891;0;0.111;0.0548;0.000246;0.0991;0.536;193.016;0.536;https://api.spotify.com/v1/tracks/2Imq77E6CEJR5TPUxlJvTY;4;spotify:track:2Imq77E6CEJR5TPUxlJvTY;['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']
8;AndAW_Top100_18;9;Kerano;Fade Away;Fade Away;2016-12-02;1;35;42rtKknXCerhLXVKOm1Bui;197346;0.57;0.599;4;-6.038;0;0.117;0.662;0.000664;0.359;0.327;139.977;0.327;https://api.spotify.com/v1/tracks/42rtKknXCerhLXVKOm1Bui;4;spotify:track:42rtKknXCerhLXVKOm1Bui;[]
9;AndAW_Top100_18;10;David Guetta;Dirty Sexy Money (feat. Charli XCX & French Montana);Dirty Sexy Money (feat. Charli XCX & French Montana);2017-11-02;1;69;0tPQPaOKM32WgMSbPCYyRH;172687;0.721;0.873;1;-4.741;1;0.119;0.0789;0.0;0.0824;0.552;79.943;0.552;https://api.spotify.com/v1/tracks/0tPQPaOKM32WgMSbPCYyRH;4;spotify:track:0tPQPaOKM32WgMSbPCYyRH;['dance pop', 'edm', 'pop']
