;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;AntAW_Top100_18;1;Roméo Elvis;J'ai vu;Morale 2;2017-03-17;1;5;1FA2zEZrny0KWchhx8CaHt;270102;0.407;0.367;5;-13.991;0;0.156;0.777;4.09e-06;0.0966;0.157;179.953;0.157;https://api.spotify.com/v1/tracks/1FA2zEZrny0KWchhx8CaHt;4;spotify:track:1FA2zEZrny0KWchhx8CaHt;['belgian hip hop', 'french hip hop']
1;AntAW_Top100_18;2;Bebe Rexha;Meant to Be (feat. Florida Georgia Line);All Your Fault: Pt. 2;2017-08-11;1;85;7iDa6hUg2VgEL1o1HjmfBn;163870;0.643;0.783;10;-6.458;1;0.0856;0.047;0.0;0.083;0.579;154.084;0.579;https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn;4;spotify:track:7iDa6hUg2VgEL1o1HjmfBn;['dance pop', 'pop', 'post-teen pop']
2;AntAW_Top100_18;3;Ash Kidd;Motel;CRUISE;2015-12-24;1;46;0PT8bMUkb6Jnp449XpT9Sb;241352;0.408;0.622;9;-10.739;0;0.053;0.218;0.00931;0.103;0.0999;92.369;0.0999;https://api.spotify.com/v1/tracks/0PT8bMUkb6Jnp449XpT9Sb;4;spotify:track:0PT8bMUkb6Jnp449XpT9Sb;['french hip hop', 'trap francais']
3;AntAW_Top100_18;4;Hamza;Life;1994;2017-10-27;1;62;1oHh0DAi8nJDORn90H97QA;228413;0.554;0.497;4;-7.914;0;0.352;0.554;0.0;0.0871;0.459;84.499;0.459;https://api.spotify.com/v1/tracks/1oHh0DAi8nJDORn90H97QA;4;spotify:track:1oHh0DAi8nJDORn90H97QA;['belgian hip hop', 'french hip hop', 'trap francais']
4;AntAW_Top100_18;5;Lomepal;Yeux disent;FLIP;2017-06-30;1;7;1uaAq8pSghvpVxlrOrgdeO;212586;0.741;0.628;7;-7.13;0;0.172;0.553;2.97e-05;0.171;0.365;113.699;0.365;https://api.spotify.com/v1/tracks/1uaAq8pSghvpVxlrOrgdeO;4;spotify:track:1uaAq8pSghvpVxlrOrgdeO;['french hip hop', 'rap conscient']
5;AntAW_Top100_18;6;Maroon 5;Wait;Red Pill Blues (Deluxe);2017-11-03;1;20;1Qg9jWGDkKAGZXj5v2OG59;190642;0.659;0.604;8;-5.084;1;0.0542;0.0889;0.0;0.105;0.407;126.135;0.407;https://api.spotify.com/v1/tracks/1Qg9jWGDkKAGZXj5v2OG59;4;spotify:track:1Qg9jWGDkKAGZXj5v2OG59;['pop']
6;AntAW_Top100_18;7;Anitta;Downtown;Downtown;2017-11-19;1;80;3Ga6eKrUFf12ouh9Yw3v2D;193456;0.775;0.679;4;-4.985;0;0.135;0.18;7.26e-05;0.068;0.619;166.008;0.619;https://api.spotify.com/v1/tracks/3Ga6eKrUFf12ouh9Yw3v2D;4;spotify:track:3Ga6eKrUFf12ouh9Yw3v2D;['baile pop']
7;AntAW_Top100_18;8;Orelsan;Notes pour trop tard (feat. Ibeyi);La fête est finie;2017-10-20;1;59;3SgnYOV9ONL0bIHaAcOYE1;454533;0.531;0.622;11;-7.751;0;0.447;0.602;0.0;0.118;0.593;167.758;0.593;https://api.spotify.com/v1/tracks/3SgnYOV9ONL0bIHaAcOYE1;4;spotify:track:3SgnYOV9ONL0bIHaAcOYE1;['belgian hip hop', 'french hip hop', 'rap conscient']
8;AntAW_Top100_18;9;Ryan Gosling;"City Of Stars - From ""La La Land"" Soundtrack";La La Land (Original Motion Picture Soundtrack);2016-12-09;1;16;6s9LhJVqxnTjmUJHOeawnU;149706;0.454;0.117;2;-15.121;0;0.0354;0.906;0.0;0.0888;0.428;97.692;0.428;https://api.spotify.com/v1/tracks/6s9LhJVqxnTjmUJHOeawnU;4;spotify:track:6s9LhJVqxnTjmUJHOeawnU;['hollywood']
9;AntAW_Top100_18;10;Eminem;River (feat. Ed Sheeran);Revival;2017-12-15;1;30;5UEnHoDYpsxlfzWLZIc7LD;221013;0.757;0.748;8;-5.794;0;0.473;0.17;0.0;0.0759;0.693;90.052;0.693;https://api.spotify.com/v1/tracks/5UEnHoDYpsxlfzWLZIc7LD;4;spotify:track:5UEnHoDYpsxlfzWLZIc7LD;['detroit hip hop', 'g funk', 'hip hop', 'rap']
