;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;AsN_Top100_18;1;Elephanz;Maryland;Elephanz;2017-10-13;1;56;2VXhNd2IzaR9ZtndCUq7hu;198413;0.732;0.728;5;-4.266;0;0.0308;0.00357;1.26e-06;0.0713;0.828;102.377;0.828;https://api.spotify.com/v1/tracks/2VXhNd2IzaR9ZtndCUq7hu;4;spotify:track:2VXhNd2IzaR9ZtndCUq7hu;['french indie pop', 'french indietronica', 'french rock']
1;AsN_Top100_18;2;Kid Francescoli;Moon;Play Me Again;2017-03-03;1;57;0Nc1rZEB2tZLgpxw5nkpEu;390638;0.663;0.658;2;-10.001;1;0.0345;0.295;0.867;0.102;0.0532;117.986;0.0532;https://api.spotify.com/v1/tracks/0Nc1rZEB2tZLgpxw5nkpEu;4;spotify:track:0Nc1rZEB2tZLgpxw5nkpEu;['french indie pop', 'french indietronica', 'french rock']
2;AsN_Top100_18;3;L'Impératrice;Vanille fraise;Vanille fraise;2015;1;61;7nZ9CzhiFRPhOQCn7eDSnn;238183;0.767;0.547;7;-11.458;0;0.0474;0.0399;0.485;0.0949;0.66;103.03;0.66;https://api.spotify.com/v1/tracks/7nZ9CzhiFRPhOQCn7eDSnn;4;spotify:track:7nZ9CzhiFRPhOQCn7eDSnn;['filter house', 'french indie pop', 'french indietronica']
3;AsN_Top100_18;4;Frànçois & The Atlas Mountains;La Fille Aux Cheveux De Soie - Isaac Delusion Remix;Piano Ombre (Édition Deluxe);2014-12-03;1;40;7D1wZZ2wx6OBOMY41j4WZH;233813;0.562;0.555;8;-8.942;0;0.0547;0.159;0.393;0.0758;0.446;105.002;0.446;https://api.spotify.com/v1/tracks/7D1wZZ2wx6OBOMY41j4WZH;4;spotify:track:7D1wZZ2wx6OBOMY41j4WZH;['french indie pop', 'french indietronica']
4;AsN_Top100_18;5;Youth Lagoon;17;The Year of Hibernation;2011;1;57;5UVBumEwdUnzvqxrXOYLFA;236000;0.348;0.263;0;-8.531;1;0.0516;0.835;0.654;0.129;0.12;74.517;0.12;https://api.spotify.com/v1/tracks/5UVBumEwdUnzvqxrXOYLFA;4;spotify:track:5UVBumEwdUnzvqxrXOYLFA;['chamber pop', 'chillwave', 'dream pop', 'folk-pop', 'freak folk', 'idaho indie', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'nu gaze', 'shimmer pop', 'stomp and holler']
5;AsN_Top100_18;6;Gidge;Norrland;Autumn Bells;2014-09-22;1;51;7kdaeyC4sTR8TEsskWIjbQ;484682;0.592;0.413;6;-13.345;0;0.0396;0.526;0.887;0.271;0.0361;112.981;0.0361;https://api.spotify.com/v1/tracks/7kdaeyC4sTR8TEsskWIjbQ;4;spotify:track:7kdaeyC4sTR8TEsskWIjbQ;['deep melodic euro house']
6;AsN_Top100_18;7;Portico Quartet;Prickly Pear;Knee-Deep In the North Sea;2010;1;50;1upMxXOj13P8aMf5ZW2hIL;341880;0.546;0.245;3;-14.348;1;0.0305;0.966;0.942;0.165;0.252;81.726;0.252;https://api.spotify.com/v1/tracks/1upMxXOj13P8aMf5ZW2hIL;4;spotify:track:1upMxXOj13P8aMf5ZW2hIL;['british jazz', 'contemporary jazz', 'dark jazz', 'fourth world', 'indie jazz', 'new tribe', 'nu jazz']
7;AsN_Top100_18;8;Paradis;Hémisphère;Majestic Casual - Chapter I;2013-11-10;1;38;1tZ6pZDdK7tgJS3nImqI60;433388;0.746;0.432;6;-13.362;0;0.0475;0.342;0.841;0.076;0.577;128.014;0.577;https://api.spotify.com/v1/tracks/1tZ6pZDdK7tgJS3nImqI60;4;spotify:track:1tZ6pZDdK7tgJS3nImqI60;['french indie pop', 'french indietronica', 'nu disco']
8;AsN_Top100_18;9;Noah And The Whale;The First Days Of Spring;The First Days Of Spring;2009-01-01;1;34;3LmkCwEyengXsS8q7i9y6p;399160;0.168;0.543;0;-9.485;1;0.0387;0.00398;0.485;0.0946;0.151;177.753;0.151;https://api.spotify.com/v1/tracks/3LmkCwEyengXsS8q7i9y6p;4;spotify:track:3LmkCwEyengXsS8q7i9y6p;['chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'stomp and holler']
9;AsN_Top100_18;10;Napkey;Le chat;Le chat;2016-02-05;1;51;6t4Ua2xbst0sPSomL1TLFh;168813;0.727;0.64;3;-8.099;0;0.036;0.0253;0.39;0.0876;0.584;117.966;0.584;https://api.spotify.com/v1/tracks/6t4Ua2xbst0sPSomL1TLFh;4;spotify:track:6t4Ua2xbst0sPSomL1TLFh;['deep tropical house', 'french indie pop', 'french indietronica', 'tropical house']
10;AsN_Top100_18;11;Camel Power Club;Ourson;Ourson;2015-10-01;1;45;5SjC5nUco5hHp3zDXUHnbh;161493;0.729;0.379;11;-11.256;1;0.0891;0.804;0.000335;0.0697;0.429;119.867;0.429;https://api.spotify.com/v1/tracks/5SjC5nUco5hHp3zDXUHnbh;4;spotify:track:5SjC5nUco5hHp3zDXUHnbh;['french indie pop', 'french indietronica']
11;AsN_Top100_18;12;Elephanz;Blowing Like a Storm;Elephanz;2017-10-13;1;48;5TgtG9NQAtIeF8oFH5CaC7;199160;0.746;0.829;2;-4.97;1;0.0525;0.0712;0.0;0.348;0.735;122.004;0.735;https://api.spotify.com/v1/tracks/5TgtG9NQAtIeF8oFH5CaC7;4;spotify:track:5TgtG9NQAtIeF8oFH5CaC7;['french indie pop', 'french indietronica', 'french rock']
12;AsN_Top100_18;13;Ehrling;Sthlm Sunset;Give Me Summer;2017-06-09;1;57;6I3V9utY0oXxFjvMfDgXhS;181004;0.827;0.835;7;-8.187;1;0.0338;0.0267;0.775;0.0517;0.45;122.018;0.45;https://api.spotify.com/v1/tracks/6I3V9utY0oXxFjvMfDgXhS;4;spotify:track:6I3V9utY0oXxFjvMfDgXhS;['deep tropical house', 'tropical house']
13;AsN_Top100_18;14;Kalabrese;Desperate Man (feat. Khan) - Canson - Ray Of Hope Mix;Remixes EP (Matthew Herbert, Acid Pauli, Frank Wiedemann, Canson);2014-07-11;1;44;2kYfoMA7U0x1eAZev268T0;447095;0.879;0.495;4;-10.404;0;0.0746;0.207;0.759;0.0925;0.495;116.012;0.495;https://api.spotify.com/v1/tracks/2kYfoMA7U0x1eAZev268T0;4;spotify:track:2kYfoMA7U0x1eAZev268T0;['deep melodic euro house', 'microhouse', 'minimal techno', 'nu jazz', 'trip hop']
14;AsN_Top100_18;15;Tommy Dorsey;Easy Does It;100 Swing & Jazz Classics;2011-01-01;2;3;7xxJ9PEME1fIjA9DJgsrWV;241293;0.525;0.423;8;-10.736;1;0.313;0.821;0.841;0.764;0.799;176.902;0.799;https://api.spotify.com/v1/tracks/7xxJ9PEME1fIjA9DJgsrWV;4;spotify:track:7xxJ9PEME1fIjA9DJgsrWV;['adult standards', 'big band', 'christmas', 'easy listening', 'jazz trombone', 'lounge', 'stride', 'swing', 'vocal jazz']
15;AsN_Top100_18;16;Of Monsters and Men;Little Talks;My Head Is An Animal;2012-01-01;1;74;2ihCaVdNZmnHZWt0fvAM7B;266600;0.446;0.757;1;-5.177;1;0.0322;0.0206;0.0;0.146;0.421;102.88;0.421;https://api.spotify.com/v1/tracks/2ihCaVdNZmnHZWt0fvAM7B;4;spotify:track:2ihCaVdNZmnHZWt0fvAM7B;['folk-pop', 'indie folk', 'indie pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop', 'stomp and holler']
16;AsN_Top100_18;17;Marbert Rocel;Always on My Mind;In the Beginning;2015-10-09;1;48;02X86Z19XydyPqKpGLyOdM;263546;0.781;0.651;2;-8.802;0;0.0432;0.19;0.702;0.0594;0.424;102.996;0.424;https://api.spotify.com/v1/tracks/02X86Z19XydyPqKpGLyOdM;4;spotify:track:02X86Z19XydyPqKpGLyOdM;[]
17;AsN_Top100_18;18;Parcels;Overnight;Overnight;2017-06-21;1;64;1kgws2l8gsvDhtsVyzWbu9;219602;0.81;0.818;8;-9.599;0;0.0511;0.343;0.0548;0.113;0.887;119.982;0.887;https://api.spotify.com/v1/tracks/1kgws2l8gsvDhtsVyzWbu9;4;spotify:track:1kgws2l8gsvDhtsVyzWbu9;['aussietronica', 'french indietronica']
18;AsN_Top100_18;19;Timbuktu;Alla vill till himmelen men ingen vill dö;Alla vill till himmelen men ingen vill dö;2005-06-03;1;54;6I1kZgg3bGrPKxhZOltbRW;246386;0.775;0.87;4;-5.384;0;0.121;0.0277;0.00027;0.293;0.64;112.0;0.64;https://api.spotify.com/v1/tracks/6I1kZgg3bGrPKxhZOltbRW;4;spotify:track:6I1kZgg3bGrPKxhZOltbRW;['swedish hip hop', 'swedish idol pop', 'swedish pop']
19;AsN_Top100_18;20;French 79;Golden Times;Olympic;2016-10-21;1;32;1JSgnFWixS0167jR3SnkfZ;192933;0.687;0.574;5;-11.22;0;0.0516;0.012;0.743;0.299;0.234;138.083;0.234;https://api.spotify.com/v1/tracks/1JSgnFWixS0167jR3SnkfZ;4;spotify:track:1JSgnFWixS0167jR3SnkfZ;['filter house', 'french indie pop', 'french indietronica']
20;AsN_Top100_18;21;Kazy Lambist;Duke Elise & I;The Coast - EP;2016-05-13;1;49;2oVWRnb7bSfpJdqZgakoGq;244613;0.844;0.555;5;-10.423;1;0.0586;0.311;0.772;0.0862;0.746;126.973;0.746;https://api.spotify.com/v1/tracks/2oVWRnb7bSfpJdqZgakoGq;4;spotify:track:2oVWRnb7bSfpJdqZgakoGq;['french indie pop', 'french indietronica', 'tropical house']
21;AsN_Top100_18;22;Jungle;The Heat;Jungle;2014-07-14;1;54;49sqQIS868rKIy5NBUmJV6;196052;0.649;0.878;5;-7.754;0;0.0428;0.277;0.154;0.424;0.645;109.984;0.645;https://api.spotify.com/v1/tracks/49sqQIS868rKIy5NBUmJV6;4;spotify:track:49sqQIS868rKIy5NBUmJV6;['uk contemporary r&b']
22;AsN_Top100_18;23;Monkey Safari;Sirens - Mollono.Bass Remix;Almost Weekend IV;2014-04-17;1;45;6Rv6F7i60yiREnPK1oP9Lk;465712;0.836;0.575;0;-8.584;1;0.0693;0.000425;0.891;0.0877;0.896;126.012;0.896;https://api.spotify.com/v1/tracks/6Rv6F7i60yiREnPK1oP9Lk;4;spotify:track:6Rv6F7i60yiREnPK1oP9Lk;['deep euro house', 'deep melodic euro house', 'minimal techno', 'tech house']
23;AsN_Top100_18;24;Angus & Julia Stone;Grizzly Bear;Angus & Julia Stone (Deluxe);2014-08-01;1;56;0IJ1ijo3uoJzy6ZE5wxJio;248520;0.902;0.438;9;-8.63;0;0.0493;0.503;0.135;0.101;0.943;118.048;0.943;https://api.spotify.com/v1/tracks/0IJ1ijo3uoJzy6ZE5wxJio;4;spotify:track:0IJ1ijo3uoJzy6ZE5wxJio;['folk-pop', 'indie folk', 'neo mellow']
24;AsN_Top100_18;25;Edward Sharpe & The Magnetic Zeros;Home;Up From Below;2009-07-13;1;71;10ViidwjGLCfVtGPfdcszR;306320;0.545;0.59;2;-6.693;1;0.0327;0.32;0.000389;0.124;0.127;111.739;0.127;https://api.spotify.com/v1/tracks/10ViidwjGLCfVtGPfdcszR;4;spotify:track:10ViidwjGLCfVtGPfdcszR;['chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'indie rock', 'la indie', 'modern rock', 'stomp and holler']
25;AsN_Top100_18;26;Glass Animals;Gooey;ZABA;2014-05-30;1;12;3djK2yDqJArNAzHyhzSf8G;289306;0.482;0.373;11;-13.427;0;0.0447;0.729;3.79e-05;0.0927;0.105;183.051;0.105;https://api.spotify.com/v1/tracks/3djK2yDqJArNAzHyhzSf8G;4;spotify:track:3djK2yDqJArNAzHyhzSf8G;['gauze pop', 'indietronica', 'modern alternative rock', 'modern rock', 'shiver pop']
26;AsN_Top100_18;27;Of Monsters and Men;King And Lionheart;My Head Is An Animal;2012-01-01;1;61;310d8Vawp5kYDYrGrrTAzl;273853;0.52;0.655;3;-6.516;1;0.0393;0.104;0.00347;0.124;0.289;126.593;0.289;https://api.spotify.com/v1/tracks/310d8Vawp5kYDYrGrrTAzl;4;spotify:track:310d8Vawp5kYDYrGrrTAzl;['folk-pop', 'indie folk', 'indie pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop', 'stomp and holler']
27;AsN_Top100_18;28;Poolside;Harvest Moon;Pacific Standard Time;2012-07-09;1;62;35U4PXL3W3XIkAjEUdhr36;368783;0.782;0.622;2;-5.832;1;0.0411;0.288;0.53;0.58;0.921;106.022;0.921;https://api.spotify.com/v1/tracks/35U4PXL3W3XIkAjEUdhr36;4;spotify:track:35U4PXL3W3XIkAjEUdhr36;['alternative dance', 'chillwave', 'indietronica', 'new rave', 'nu disco']
28;AsN_Top100_18;29;Parcels;Tieduprightnow;Tieduprightnow;2018-04-27;1;64;66tkDkPsznE5zIHNt4QkXB;249956;0.863;0.533;5;-7.986;0;0.0484;0.291;0.00126;0.0794;0.738;102.025;0.738;https://api.spotify.com/v1/tracks/66tkDkPsznE5zIHNt4QkXB;4;spotify:track:66tkDkPsznE5zIHNt4QkXB;['aussietronica', 'french indietronica']
29;AsN_Top100_18;30;Napkey;Rebirth;FG Chill Out #1 - The Deep House & Lounge Music Must Have Selection;2015-06-08;1;54;1EezwXZMbRkPBYDZz0EZ2H;310866;0.706;0.589;11;-9.653;1;0.0318;0.00219;0.162;0.672;0.225;107.985;0.225;https://api.spotify.com/v1/tracks/1EezwXZMbRkPBYDZz0EZ2H;4;spotify:track:1EezwXZMbRkPBYDZz0EZ2H;['deep tropical house', 'french indie pop', 'french indietronica', 'tropical house']
