;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;AxN_Top100_18;1;Ross from Friends;Talk To Me You'll Understand;You'll Understand;2017-02-10;1;54;0DRp685EnPxbJsF3tsZlC4;417099;0.742;0.619;1;-11.37;0;0.0517;0.663;0.707;0.125;0.152;126.007;0.152;https://api.spotify.com/v1/tracks/0DRp685EnPxbJsF3tsZlC4;4;spotify:track:0DRp685EnPxbJsF3tsZlC4;['deep house', 'float house', 'fluxwork', 'lo-fi house']
1;AxN_Top100_18;2;Quarteto 1111;Todo o mundo e ninguém;A lenda do Quarteto 1111;1993-05-25;1;0;4r4Y3xjHnloRjZ5VKwIFZb;293400;0.541;0.276;0;-18.652;1;0.0373;0.159;0.0101;0.218;0.537;132.533;0.537;https://api.spotify.com/v1/tracks/4r4Y3xjHnloRjZ5VKwIFZb;4;spotify:track:4r4Y3xjHnloRjZ5VKwIFZb;['portuguese rock']
2;AxN_Top100_18;3;Elia y Elizabeth;Todo en la Vida;Elia y Elizabeth;1972-07-10;1;26;3D75Re4j3oZCxSAJhZPkEM;120372;0.729;0.46;8;-14.85;0;0.0318;0.478;0.0;0.052;0.835;100.323;0.835;https://api.spotify.com/v1/tracks/3D75Re4j3oZCxSAJhZPkEM;4;spotify:track:3D75Re4j3oZCxSAJhZPkEM;['cumbia']
3;AxN_Top100_18;4;David August;Epikur - Original;Epikur EP;2014-03-31;1;52;5XxFY11r0YA6Xoyh1O9WsR;490725;0.556;0.598;1;-11.109;1;0.0311;0.0122;0.905;0.269;0.142;117.989;0.142;https://api.spotify.com/v1/tracks/5XxFY11r0YA6Xoyh1O9WsR;4;spotify:track:5XxFY11r0YA6Xoyh1O9WsR;['deep disco house', 'deep euro house', 'deep melodic euro house', 'microhouse', 'minimal tech house', 'minimal techno', 'tech house']
4;AxN_Top100_18;5;Roy Hargrove;Strasbourg / St. Denis;Earfood;2008-01-01;1;2;1aqJGkuh7mXeOLJ1nkjTSI;278626;0.701;0.445;1;-10.583;1;0.0834;0.149;0.59;0.0963;0.405;103.004;0.405;https://api.spotify.com/v1/tracks/1aqJGkuh7mXeOLJ1nkjTSI;4;spotify:track:1aqJGkuh7mXeOLJ1nkjTSI;['bebop', 'big band', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz fusion', 'jazz trumpet', 'soul jazz', 'vocal jazz']
5;AxN_Top100_18;6;Kendrick Lamar;Backseat Freestyle;good kid, m.A.A.d city (Deluxe);2012;1;63;1BR5vhAlaoUiijQ28p6jlN;212653;0.546;0.651;1;-7.601;1;0.3;0.000739;0.0;0.235;0.646;77.878;0.646;https://api.spotify.com/v1/tracks/1BR5vhAlaoUiijQ28p6jlN;4;spotify:track:1BR5vhAlaoUiijQ28p6jlN;['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']
6;AxN_Top100_18;7;alt-J;Pleader - Mr Jukes Remix;Pleader (Mr. Jukes Remix);2017-10-25;1;28;3bvlKXQ6rrVNUB0BF7oBhP;212306;0.524;0.554;9;-8.474;1;0.0453;0.0425;0.00567;0.124;0.344;90.026;0.344;https://api.spotify.com/v1/tracks/3bvlKXQ6rrVNUB0BF7oBhP;4;spotify:track:3bvlKXQ6rrVNUB0BF7oBhP;['indie rock']
7;AxN_Top100_18;8;Flavien Berger;La Fête Noire;Léviathan;2015-04-20;1;42;1UYB9P4h5IOor1CGwZfCyK;364333;0.599;0.577;4;-9.323;1;0.0389;0.622;0.363;0.635;0.103;81.412;0.103;https://api.spotify.com/v1/tracks/1UYB9P4h5IOor1CGwZfCyK;4;spotify:track:1UYB9P4h5IOor1CGwZfCyK;['french indie pop', 'french indietronica']
8;AxN_Top100_18;9;Chaos In The CBD;Midnight in Peckham;Midnight in Peckham;2015-08-24;1;49;6luwqAS5Iw4grq6r3CT6a9;420919;0.639;0.676;10;-16.293;0;0.0388;0.716;0.906;0.121;0.523;118.003;0.523;https://api.spotify.com/v1/tracks/6luwqAS5Iw4grq6r3CT6a9;4;spotify:track:6luwqAS5Iw4grq6r3CT6a9;['bass music', 'deep house', 'float house', 'future garage', 'indie jazz', 'minimal tech house', 'uk alternative hip hop']
9;AxN_Top100_18;10;Gidge;Norrland;Autumn Bells;2014-09-22;1;51;7kdaeyC4sTR8TEsskWIjbQ;484682;0.592;0.413;6;-13.345;0;0.0396;0.526;0.887;0.271;0.0361;112.981;0.0361;https://api.spotify.com/v1/tracks/7kdaeyC4sTR8TEsskWIjbQ;4;spotify:track:7kdaeyC4sTR8TEsskWIjbQ;['deep melodic euro house']
10;AxN_Top100_18;11;Chick Corea;Chick's Chums;Chinese Butterfly;2018-01-19;1;0;6FxSRUTrqogWIMW0xdaT09;563053;0.608;0.526;7;-12.128;1;0.033;0.327;0.346;0.101;0.672;102.485;0.672;https://api.spotify.com/v1/tracks/6FxSRUTrqogWIMW0xdaT09;4;spotify:track:6FxSRUTrqogWIMW0xdaT09;['bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz funk', 'jazz fusion', 'jazz piano']
11;AxN_Top100_18;12;Boards of Canada;Olson;Late Night Tales: BADBADNOTGOOD;2017-07-28;1;0;2fMdNnSbeX5LwNP4BwSlom;91706;0.156;0.075;5;-23.718;0;0.0304;0.919;0.865;0.126;0.0382;135.246;0.0382;https://api.spotify.com/v1/tracks/2fMdNnSbeX5LwNP4BwSlom;5;spotify:track:2fMdNnSbeX5LwNP4BwSlom;['ambient', 'big beat', 'electronic', 'fourth world', 'indietronica', 'intelligent dance music', 'microhouse', 'post-rock', 'trip hop']
12;AxN_Top100_18;13;Quarteto 1111;A lenda de El-Rei D. Sebastião;A lenda do Quarteto 1111;1993-05-25;1;0;6dsHfqKkFAsI7OeroyjBUl;208266;0.567;0.125;2;-22.027;1;0.0358;0.152;0.000106;0.0846;0.373;89.931;0.373;https://api.spotify.com/v1/tracks/6dsHfqKkFAsI7OeroyjBUl;4;spotify:track:6dsHfqKkFAsI7OeroyjBUl;['portuguese rock']
13;AxN_Top100_18;14;infinite bisous;Teen Sex;Teen Sex / Life + You;2016-01-25;1;25;60NHNEHoodnDirLGNRvB7A;237921;0.708;0.267;11;-11.804;0;0.0304;0.574;0.146;0.145;0.222;77.598;0.222;https://api.spotify.com/v1/tracks/60NHNEHoodnDirLGNRvB7A;4;spotify:track:60NHNEHoodnDirLGNRvB7A;['indie garage rock', 'preverb']
14;AxN_Top100_18;15;Astronauts, etc.;No Justice;Mind Out Wandering;2015-09-18;1;39;1sW5WyAjw1tonTRON8schZ;229813;0.675;0.519;5;-11.421;0;0.0824;0.627;0.218;0.1;0.264;156.256;0.264;https://api.spotify.com/v1/tracks/1sW5WyAjw1tonTRON8schZ;4;spotify:track:1sW5WyAjw1tonTRON8schZ;['bay area indie', 'indie psych-rock', 'shiver pop']
15;AxN_Top100_18;16;Jadu Heart;I'm A Kid;I'm A Kid;2017-08-24;1;52;7loNIteYiKMEZtPDJKqSt9;206000;0.637;0.63;10;-6.724;0;0.0293;0.00457;0.00152;0.135;0.795;120.05;0.795;https://api.spotify.com/v1/tracks/7loNIteYiKMEZtPDJKqSt9;4;spotify:track:7loNIteYiKMEZtPDJKqSt9;['alternative r&b', 'indie r&b', 'vapor soul']
16;AxN_Top100_18;17;Kendrick Lamar;LOVE. FEAT. ZACARI.;DAMN.;2017-04-14;1;17;5WkPWduQVV8fh7pppm1fqg;213400;0.801;0.58;10;-7.311;1;0.1;0.289;0.0;0.153;0.777;126.062;0.777;https://api.spotify.com/v1/tracks/5WkPWduQVV8fh7pppm1fqg;4;spotify:track:5WkPWduQVV8fh7pppm1fqg;['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']
17;AxN_Top100_18;18;Ross from Friends;John Cage - Edit;John Cage;2018-03-15;1;41;3s3ASxlj1eb23RquaJ5mP3;257778;0.761;0.611;1;-8.922;0;0.0649;0.0281;0.411;0.157;0.752;107.99;0.752;https://api.spotify.com/v1/tracks/3s3ASxlj1eb23RquaJ5mP3;4;spotify:track:3s3ASxlj1eb23RquaJ5mP3;['deep house', 'float house', 'fluxwork', 'lo-fi house']
18;AxN_Top100_18;19;HNNY;Solsidan - Original Mix;Solsidan / Alby;2015-06-01;1;39;5nqw4dpNtD36A0RYGkYGxA;305364;0.759;0.538;1;-12.646;1;0.0566;0.00514;0.12;0.369;0.619;117.002;0.619;https://api.spotify.com/v1/tracks/5nqw4dpNtD36A0RYGkYGxA;4;spotify:track:5nqw4dpNtD36A0RYGkYGxA;['deep house', 'float house', 'swedish electronic', 'swedish synthpop']
19;AxN_Top100_18;20;La Smala;Vague à l'ame;Un cri dans le silence;2015-04-10;1;39;7vsZ6UPqfTeBeJukYTIGDJ;260000;0.74;0.729;8;-7.435;0;0.316;0.104;0.0;0.0904;0.696;90.055;0.696;https://api.spotify.com/v1/tracks/7vsZ6UPqfTeBeJukYTIGDJ;4;spotify:track:7vsZ6UPqfTeBeJukYTIGDJ;['belgian hip hop', 'french hip hop']
20;AxN_Top100_18;21;Dauwd;Macadam Therapy;Theory of Colours;2017-06-02;1;47;4QfJ0zWoNdObnOgeacNkPL;339535;0.686;0.653;7;-9.789;1;0.0365;0.365;0.909;0.11;0.168;120.011;0.168;https://api.spotify.com/v1/tracks/4QfJ0zWoNdObnOgeacNkPL;4;spotify:track:4QfJ0zWoNdObnOgeacNkPL;['bass music', 'deep house', 'float house', 'future garage', 'indie jazz', 'microhouse', 'minimal tech house', 'wonky']
21;AxN_Top100_18;22;Art Blakey Percussion Ensemble;Cubano Chant;Drum Suite;1956;1;25;2W9gAqqbLRgz21Vay79cdR;237453;0.634;0.592;10;-11.567;0;0.045;0.665;0.067;0.0796;0.923;97.507;0.923;https://api.spotify.com/v1/tracks/2W9gAqqbLRgz21Vay79cdR;4;spotify:track:2W9gAqqbLRgz21Vay79cdR;[]
22;AxN_Top100_18;23;Chick Corea;Armando's Rhumba;My Spanish Heart;1976-01-01;1;0;53ZaITwg8Bwz3FmX0tLkfA;319066;0.505;0.378;5;-17.305;0;0.0822;0.833;0.31;0.116;0.742;124.203;0.742;https://api.spotify.com/v1/tracks/53ZaITwg8Bwz3FmX0tLkfA;4;spotify:track:53ZaITwg8Bwz3FmX0tLkfA;['bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz funk', 'jazz fusion', 'jazz piano']
23;AxN_Top100_18;24;Quarteto 1111;Os monstros sagrados;A lenda do Quarteto 1111;1993-05-25;1;0;6slfkDzIqEA4GxUERtjsnk;224333;0.603;0.174;2;-20.216;1;0.0497;0.836;0.0104;0.0771;0.429;120.526;0.429;https://api.spotify.com/v1/tracks/6slfkDzIqEA4GxUERtjsnk;4;spotify:track:6slfkDzIqEA4GxUERtjsnk;['portuguese rock']
24;AxN_Top100_18;25;David August;Blossom;Times;2013-04-19;1;44;5yPhSWvZ5KdHhz8R7z7oyI;299525;0.753;0.329;9;-10.5;0;0.0411;0.0808;0.838;0.108;0.486;111.982;0.486;https://api.spotify.com/v1/tracks/5yPhSWvZ5KdHhz8R7z7oyI;4;spotify:track:5yPhSWvZ5KdHhz8R7z7oyI;['deep disco house', 'deep euro house', 'deep melodic euro house', 'microhouse', 'minimal tech house', 'minimal techno', 'tech house']
25;AxN_Top100_18;26;Elia y Elizabeth;Alegria;The Original Recordings;1973-09-12;1;37;68vo7DLYLUUM4xttl095CT;243240;0.563;0.552;2;-12.654;1;0.0878;0.419;3.88e-06;0.0427;0.93;102.559;0.93;https://api.spotify.com/v1/tracks/68vo7DLYLUUM4xttl095CT;4;spotify:track:68vo7DLYLUUM4xttl095CT;['cumbia']
26;AxN_Top100_18;27;Kamasi Washington;Desire;Harmony of Difference;2017-09-29;1;48;7KkpZSHhQXcecsB0Hgu4Wd;276909;0.306;0.65;0;-10.073;1;0.0448;0.553;0.776;0.136;0.374;88.088;0.374;https://api.spotify.com/v1/tracks/7KkpZSHhQXcecsB0Hgu4Wd;4;spotify:track:7KkpZSHhQXcecsB0Hgu4Wd;['contemporary jazz', 'jazz saxophone']
27;AxN_Top100_18;28;Kendrick Lamar;Bitch, Don’t Kill My Vibe;good kid, m.A.A.d city (Deluxe);2012;1;66;5h5tBFnbcVioFXiOixTn6E;310720;0.587;0.698;1;-8.948;1;0.0943;0.0152;0.0;0.442;0.0985;133.954;0.0985;https://api.spotify.com/v1/tracks/5h5tBFnbcVioFXiOixTn6E;4;spotify:track:5h5tBFnbcVioFXiOixTn6E;['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']
28;AxN_Top100_18;29;Jadu Heart;The Love;Wanderflower;2016-04-07;1;45;6vs7bTzYNAo4D5tDVjHmIB;181132;0.424;0.499;4;-11.374;1;0.101;0.741;0.00079;0.139;0.534;103.136;0.534;https://api.spotify.com/v1/tracks/6vs7bTzYNAo4D5tDVjHmIB;4;spotify:track:6vs7bTzYNAo4D5tDVjHmIB;['alternative r&b', 'indie r&b', 'vapor soul']
29;AxN_Top100_18;30;Ross from Friends;Would You Still Be Here;The Outsiders;2017-08-04;1;44;0WdL7PTMXDWU9drLgqHPFi;439823;0.757;0.809;1;-8.405;0;0.0379;0.00577;0.567;0.123;0.479;125.006;0.479;https://api.spotify.com/v1/tracks/0WdL7PTMXDWU9drLgqHPFi;4;spotify:track:0WdL7PTMXDWU9drLgqHPFi;['deep house', 'float house', 'fluxwork', 'lo-fi house']
30;AxN_Top100_18;31;Roméo Elvis;Bébé aime la drogue;Morale 2;2017-03-17;1;2;1cOwF53LSRCq3D2BnTj9CU;226148;0.901;0.318;7;-11.062;1;0.412;0.676;1.33e-05;0.0997;0.259;120.046;0.259;https://api.spotify.com/v1/tracks/1cOwF53LSRCq3D2BnTj9CU;4;spotify:track:1cOwF53LSRCq3D2BnTj9CU;['belgian hip hop', 'french hip hop']
31;AxN_Top100_18;32;Solomun;The Way Back;Black Label #36;2008-08-29;1;56;43mulJ5Q7ECMNpqpmtflNt;446053;0.855;0.425;7;-12.939;1;0.0953;0.111;0.852;0.0774;0.195;120.025;0.195;https://api.spotify.com/v1/tracks/43mulJ5Q7ECMNpqpmtflNt;4;spotify:track:43mulJ5Q7ECMNpqpmtflNt;['german techno', 'microhouse', 'minimal techno', 'tech house']
32;AxN_Top100_18;33;The War On Drugs;Red Eyes;Lost In The Dream;2014-03-18;1;64;71jGGLe5VtEHjIk5dU2W3S;298920;0.464;0.815;10;-6.371;1;0.0368;0.00871;0.201;0.162;0.467;161.845;0.467;https://api.spotify.com/v1/tracks/71jGGLe5VtEHjIk5dU2W3S;4;spotify:track:71jGGLe5VtEHjIk5dU2W3S;['chamber pop', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'philly indie']
33;AxN_Top100_18;34;Nico;These Days;Chelsea Girl;1967-10;1;61;2ZRBKVRMQ9OK4EeTaMHHSY;210666;0.421;0.119;5;-17.46;1;0.0304;0.989;0.146;0.101;0.218;94.016;0.218;https://api.spotify.com/v1/tracks/2ZRBKVRMQ9OK4EeTaMHHSY;4;spotify:track:2ZRBKVRMQ9OK4EeTaMHHSY;['art pop', 'art rock', 'experimental', 'experimental rock', 'melancholia', 'post-punk', 'psychedelic rock', 'uk post-punk']
34;AxN_Top100_18;35;The Electric Prunes;I Had Too Much To Dream (Last Night);I Had Too Much To Dream (Last Night);1967;1;46;5YgCmkSdGukXqK3fJlX4pQ;178266;0.341;0.714;2;-7.998;0;0.0404;0.354;0.0;0.31;0.412;147.604;0.412;https://api.spotify.com/v1/tracks/5YgCmkSdGukXqK3fJlX4pQ;4;spotify:track:5YgCmkSdGukXqK3fJlX4pQ;['classic garage rock', 'folk rock', 'freakbeat', 'protopunk', 'psychedelic rock']
35;AxN_Top100_18;36;Mammal Hands;Refuge;Becoming;2018-11-02;1;55;4IYvcGknkyjnKcMHoEfrPi;221884;0.361;0.285;10;-12.18;0;0.0334;0.713;0.944;0.106;0.0486;119.583;0.0486;https://api.spotify.com/v1/tracks/4IYvcGknkyjnKcMHoEfrPi;4;spotify:track:4IYvcGknkyjnKcMHoEfrPi;['contemporary jazz', 'indie jazz', 'nu jazz']
36;AxN_Top100_18;37;Bon Iver;22 (OVER S∞∞N);22, A Million;2016-09-30;1;61;5oK98mpTJSU0iqLHN1hZ3y;168000;0.298;0.112;1;-15.765;1;0.0353;0.972;0.0823;0.0935;0.0972;86.786;0.0972;https://api.spotify.com/v1/tracks/5oK98mpTJSU0iqLHN1hZ3y;4;spotify:track:5oK98mpTJSU0iqLHN1hZ3y;['chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'melancholia', 'slow core', 'stomp and holler']
37;AxN_Top100_18;38;Arcade Fire;The Suburbs;The Suburbs (Deluxe Edition);2010;1;26;1M5a4uGEeeptMgQB639oja;317213;0.612;0.681;6;-6.116;0;0.0285;0.0668;0.0207;0.306;0.5;117.615;0.5;https://api.spotify.com/v1/tracks/1M5a4uGEeeptMgQB639oja;4;spotify:track:1M5a4uGEeeptMgQB639oja;['alternative dance', 'alternative rock', 'canadian indie', 'chamber pop', 'dance-punk', 'garage rock', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'permanent wave', 'quebec indie', 'rock']
38;AxN_Top100_18;39;LCD Soundsystem;oh baby;american dream;2017-09-01;1;61;53PkA8aXiwH4ppa0V0iO7o;349693;0.58;0.622;5;-12.005;1;0.0352;0.0192;0.653;0.648;0.781;169.442;0.781;https://api.spotify.com/v1/tracks/53PkA8aXiwH4ppa0V0iO7o;4;spotify:track:53PkA8aXiwH4ppa0V0iO7o;['alternative dance', 'alternative rock', 'brooklyn indie', 'dance-punk', 'electronic', 'freak folk', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'neo-psychedelic', 'new rave', 'new wave']
39;AxN_Top100_18;40;Nino Ferrer;Moses;Les 50 Plus Belles Chansons;2007-01-01;2;30;1G8xVKACE7na5rcOPjS1oJ;285733;0.762;0.569;2;-8.566;1;0.0281;0.737;0.00252;0.106;0.751;108.695;0.751;https://api.spotify.com/v1/tracks/1G8xVKACE7na5rcOPjS1oJ;4;spotify:track:1G8xVKACE7na5rcOPjS1oJ;['chanson', 'french rock', 'ye ye']
40;AxN_Top100_18;41;Ross from Friends;Gettin' It Done;You'll Understand;2017-02-10;1;42;0Rn9CZTTq68l7u2EuaWoK4;306685;0.844;0.7;6;-11.501;0;0.0513;0.0042;0.783;0.0999;0.891;126.988;0.891;https://api.spotify.com/v1/tracks/0Rn9CZTTq68l7u2EuaWoK4;4;spotify:track:0Rn9CZTTq68l7u2EuaWoK4;['deep house', 'float house', 'fluxwork', 'lo-fi house']
41;AxN_Top100_18;42;Kendrick Lamar;Bitch, Don’t Kill My Vibe - Remix;good kid, m.A.A.d city (Deluxe);2012;2;57;4wshBvO4qMrxJnPlfkeUWi;278586;0.636;0.788;1;-5.766;1;0.252;0.0513;0.0;0.204;0.143;133.722;0.143;https://api.spotify.com/v1/tracks/4wshBvO4qMrxJnPlfkeUWi;4;spotify:track:4wshBvO4qMrxJnPlfkeUWi;['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']
