;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;DL_Top100_18;1;The War On Drugs;In Chains - Edit;In Chains (Edit);2018-04-13;1;40;3rkthwB3L8meehm3EjxECh;247013;0.486;0.956;11;-4.565;1;0.0741;0.00265;0.341;0.134;0.667;137.637;0.667;https://api.spotify.com/v1/tracks/3rkthwB3L8meehm3EjxECh;4;spotify:track:3rkthwB3L8meehm3EjxECh;['chamber pop', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'philly indie']
1;DL_Top100_18;2;Alex Cameron;Country Figs;Forced Witness;2017-09-08;1;42;5M0cTTV7Y2YBy7k0Z51roC;251480;0.709;0.84;1;-7.323;1;0.0287;0.0533;0.0667;0.112;0.829;114.014;0.829;https://api.spotify.com/v1/tracks/5M0cTTV7Y2YBy7k0Z51roC;4;spotify:track:5M0cTTV7Y2YBy7k0Z51roC;['australian alternative rock']
2;DL_Top100_18;3;Ty Segall;My Lady's On Fire;Freedom's Goblin;2018-01-26;1;53;2hSd5IqIBoR5Ck5EDVL4kZ;232386;0.329;0.498;3;-8.945;1;0.0378;0.192;0.000399;0.102;0.33;166.488;0.33;https://api.spotify.com/v1/tracks/2hSd5IqIBoR5Ck5EDVL4kZ;4;spotify:track:2hSd5IqIBoR5Ck5EDVL4kZ;['alternative rock', 'bay area indie', 'blues-rock', 'freak folk', 'garage pop', 'garage psych', 'garage rock', 'indie garage rock', 'indie pop', 'indie punk', 'indie rock', 'la indie', 'lo-fi', 'modern rock', 'neo-psychedelic', 'noise pop', 'noise rock', 'nu gaze', 'preverb', 'punk blues']
3;DL_Top100_18;4;John Lennon;Mind Games - Remastered 2010;Mind Games;1973-10-29;1;56;3QmUhaY5KZiOuaUH8H71LG;253266;0.409;0.833;4;-9.994;0;0.0397;0.292;0.158;0.161;0.428;132.233;0.428;https://api.spotify.com/v1/tracks/3QmUhaY5KZiOuaUH8H71LG;4;spotify:track:3QmUhaY5KZiOuaUH8H71LG;['album rock', 'art rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']
4;DL_Top100_18;5;Mental As Anything;Live It Up;Fundamental As Anything;1985-09-01;1;30;0d4DyZYCiSH5fNnc0Hfz3L;254200;0.687;0.789;7;-8.812;1;0.0268;0.283;0.0;0.051;0.932;119.839;0.932;https://api.spotify.com/v1/tracks/0d4DyZYCiSH5fNnc0Hfz3L;4;spotify:track:0d4DyZYCiSH5fNnc0Hfz3L;['australian alternative rock', 'australian pop', 'australian rock']
5;DL_Top100_18;6;Gui Hargreaves;Todas as Cores;Rebento;2018-03-23;1;3;3mK3JoBvypWYqCJUjdSBjB;153578;0.629;0.149;9;-15.633;1;0.0359;0.951;0.00228;0.0878;0.357;136.134;0.357;https://api.spotify.com/v1/tracks/3mK3JoBvypWYqCJUjdSBjB;4;spotify:track:3mK3JoBvypWYqCJUjdSBjB;[]
6;DL_Top100_18;7;King Gizzard & The Lizard Wizard;I’m Sleepin’ In;Gumboot Soup;2017-12-31;1;32;12qXb0C0YExZd6xVYoxBGe;180358;0.557;0.674;9;-8.783;0;0.0368;0.0779;0.0962;0.337;0.512;78.951;0.512;https://api.spotify.com/v1/tracks/12qXb0C0YExZd6xVYoxBGe;4;spotify:track:12qXb0C0YExZd6xVYoxBGe;['australian indie', 'australian psych', 'neo-psychedelic']
7;DL_Top100_18;8;Gregor;I Look Devastated;Silver Drop;2018-10-05;1;23;0sAtFQ5YDs6v3Lb4vtOWrk;305040;0.854;0.527;0;-8.615;1;0.0546;0.453;0.114;0.0238;0.902;103.122;0.902;https://api.spotify.com/v1/tracks/0sAtFQ5YDs6v3Lb4vtOWrk;4;spotify:track:0sAtFQ5YDs6v3Lb4vtOWrk;['melbourne indie']
8;DL_Top100_18;9;Winter;Expectations / Exigências;Supreme Blue Dream;2015-03-10;1;11;4UgLzUjzSQcVr9tJBW6hAA;187188;0.531;0.748;1;-7.473;1;0.0302;0.173;0.00919;0.182;0.774;117.003;0.774;https://api.spotify.com/v1/tracks/4UgLzUjzSQcVr9tJBW6hAA;4;spotify:track:4UgLzUjzSQcVr9tJBW6hAA;['preverb']
9;DL_Top100_18;10;Blue Gas;Shadows from Nowhere;La Torre Ibiza, Vol. 2;2017-06-30;1;29;2SjxRiMwdWaLoRW3xOw6Nx;333251;0.656;0.229;2;-19.183;0;0.0423;0.63;0.307;0.0968;0.352;79.565;0.352;https://api.spotify.com/v1/tracks/2SjxRiMwdWaLoRW3xOw6Nx;4;spotify:track:2SjxRiMwdWaLoRW3xOw6Nx;[]
10;DL_Top100_18;11;The Goon Sax;We Can’t Win;We're Not Talking;2018-09-14;1;22;5UlTByfRqi84w9Ackkaj3i;193226;0.848;0.478;2;-10.622;1;0.0301;0.123;0.0406;0.237;0.633;117.009;0.633;https://api.spotify.com/v1/tracks/5UlTByfRqi84w9Ackkaj3i;4;spotify:track:5UlTByfRqi84w9Ackkaj3i;['chamber psych', 'freak folk', 'garage psych', 'preverb']
11;DL_Top100_18;12;Weather Report;Birdland;Heavy Weather;1977;1;40;19vVghIuHm3IAfN4xpRF3q;356760;0.589;0.532;0;-12.021;1;0.0359;0.434;0.00157;0.0794;0.527;156.868;0.527;https://api.spotify.com/v1/tracks/19vVghIuHm3IAfN4xpRF3q;4;spotify:track:19vVghIuHm3IAfN4xpRF3q;['art rock', 'bebop', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz funk', 'jazz fusion', 'symphonic rock']
12;DL_Top100_18;13;Gilberto Gil;Palco;Luar;1981;1;45;2wL88cvKXUOfHuYVd62hji;266173;0.734;0.787;1;-7.358;0;0.0461;0.49;0.0449;0.329;0.757;108.328;0.757;https://api.spotify.com/v1/tracks/2wL88cvKXUOfHuYVd62hji;4;spotify:track:2wL88cvKXUOfHuYVd62hji;['bossa nova', 'forro', 'mpb', 'pagode', 'samba']
13;DL_Top100_18;14;Rolling Blackouts Coastal Fever;Mainland;Mainland;2018-01-23;1;28;3vXGFS9uZ1IgRdMyK8nCOg;254832;0.35;0.89;1;-5.418;1;0.0447;0.00122;0.201;0.0536;0.553;84.326;0.553;https://api.spotify.com/v1/tracks/3vXGFS9uZ1IgRdMyK8nCOg;4;spotify:track:3vXGFS9uZ1IgRdMyK8nCOg;['chamber psych', 'garage psych', 'indie rock', 'modern alternative rock', 'modern rock', 'preverb']
