;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;DT_Top100_18;1;Buena Vista Social Club;Chan Chan;Buena Vista Social Club;1997-09-16;1;67;7DqTaelFf846rl1CHmyfOW;257737;0.506;0.433;2;-14.183;0;0.0345;0.842;0.0311;0.112;0.641;83.222;0.641;https://api.spotify.com/v1/tracks/7DqTaelFf846rl1CHmyfOW;4;spotify:track:7DqTaelFf846rl1CHmyfOW;['latin jazz', 'world']
1;DT_Top100_18;2;Afro-Cuban All Stars;Tumba Pala Cocuyé;Distinto Diferente;1999-11-22;1;41;7uVj4nqvLx0C46qMlO4QHN;411306;0.76;0.619;0;-8.489;1;0.045;0.268;0.157;0.116;0.832;127.604;0.832;https://api.spotify.com/v1/tracks/7uVj4nqvLx0C46qMlO4QHN;4;spotify:track:7uVj4nqvLx0C46qMlO4QHN;['cuban rumba', 'latin jazz', 'mambo']
2;DT_Top100_18;3;Malik Djoudi;Sous garantie;UN;2017-07-21;1;47;7ycuy5Mvd0ILPwkrpwdY9I;173800;0.749;0.41;0;-11.05;1;0.0491;0.258;0.756;0.115;0.827;104.959;0.827;https://api.spotify.com/v1/tracks/7ycuy5Mvd0ILPwkrpwdY9I;4;spotify:track:7ycuy5Mvd0ILPwkrpwdY9I;['french indie pop', 'french indietronica']
3;DT_Top100_18;4;Compay Segundo;Y tú qué has hecho;Guantanamera - The Essential Album;2013-07-02;1;44;3qilMIgzZK8p5J8fNsFQzB;193773;0.522;0.464;3;-9.949;1;0.0314;0.783;0.00672;0.0901;0.811;144.87;0.811;https://api.spotify.com/v1/tracks/3qilMIgzZK8p5J8fNsFQzB;4;spotify:track:3qilMIgzZK8p5J8fNsFQzB;['cuban rumba', 'latin jazz', 'mambo']
4;DT_Top100_18;5;Disclosure;Feel Like I Do;Moog For Love;2016-06-15;1;54;663E41fUIDEnzN7xTnFLT0;195136;0.882;0.532;7;-8.134;1;0.109;0.0455;0.192;0.151;0.7;104.998;0.7;https://api.spotify.com/v1/tracks/663E41fUIDEnzN7xTnFLT0;4;spotify:track:663E41fUIDEnzN7xTnFLT0;['house', 'pop', 'tropical house']
5;DT_Top100_18;6;Moderat;Bad Kingdom;II;2013-08-05;1;39;52sUt1HsFxScRUbOxnBQRP;262840;0.425;0.657;7;-8.143;0;0.0572;0.00231;0.888;0.286;0.261;118.018;0.261;https://api.spotify.com/v1/tracks/52sUt1HsFxScRUbOxnBQRP;4;spotify:track:52sUt1HsFxScRUbOxnBQRP;['alternative dance', 'electronic', 'indietronica', 'microhouse', 'minimal techno', 'new rave']
6;DT_Top100_18;7;Rival Consoles;Night Melody;Night Melody;2016-08-05;1;3;62daZH3qA3XG7q303LcvXS;322374;0.615;0.584;4;-11.416;0;0.0403;0.0735;0.902;0.072;0.0661;115.989;0.0661;https://api.spotify.com/v1/tracks/62daZH3qA3XG7q303LcvXS;4;spotify:track:62daZH3qA3XG7q303LcvXS;['ambient', 'ambient idm', 'bass music', 'chamber psych', 'compositional ambient', 'electronic', 'indietronica', 'intelligent dance music', 'microhouse', 'minimal techno', 'ninja', 'wonky']
7;DT_Top100_18;8;Anderson .Paak;'Til It's Over;'Til It's Over;2018-04-06;1;60;0zYkf4pCiGAhEp5Z3iUkml;202080;0.745;0.647;7;-9.494;0;0.119;0.175;0.000309;0.0529;0.395;144.014;0.395;https://api.spotify.com/v1/tracks/0zYkf4pCiGAhEp5Z3iUkml;4;spotify:track:0zYkf4pCiGAhEp5Z3iUkml;['escape room', 'hip hop', 'indie r&b', 'la indie', 'rap']
8;DT_Top100_18;9;Blood of Abraham;Giant Midgets;Eyedollartree;2016-12-06;1;6;4mt0HKe9QNkDH8Q0AI6n2N;255240;0.769;0.601;1;-8.468;1;0.367;0.356;0.00505;0.79;0.335;95.047;0.335;https://api.spotify.com/v1/tracks/4mt0HKe9QNkDH8Q0AI6n2N;4;spotify:track:4mt0HKe9QNkDH8Q0AI6n2N;[]
9;DT_Top100_18;10;Plaid;Do Matter;The Digging Remedy;2016-06-10;1;41;6ZQ3XvLBrmwnoNFtU0c2X5;220920;0.521;0.289;8;-16.915;1;0.0302;0.54;0.564;0.111;0.289;99.997;0.289;https://api.spotify.com/v1/tracks/6ZQ3XvLBrmwnoNFtU0c2X5;4;spotify:track:6ZQ3XvLBrmwnoNFtU0c2X5;['abstract', 'acid house', 'drill and bass', 'electronic', 'intelligent dance music', 'microhouse', 'minimal techno', 'ninja', 'trip hop']
10;DT_Top100_18;11;António dos Santos;Djal Bai Si Camin;Space Echo (Analog Africa No. 20);2016-05-27;1;30;142Zdhi5D4qFuv6tNvYQ7l;440626;0.525;0.793;2;-7.882;0;0.0658;0.305;0.00373;0.0533;0.578;123.678;0.578;https://api.spotify.com/v1/tracks/142Zdhi5D4qFuv6tNvYQ7l;4;spotify:track:142Zdhi5D4qFuv6tNvYQ7l;['fado']
11;DT_Top100_18;12;Buena Vista Social Club;De Camino a La Vereda;Buena Vista Social Club;1997-09-16;1;58;1E7EDGKKn6I8fzlYQbYlsh;303789;0.663;0.445;3;-11.614;1;0.0394;0.892;9.41e-05;0.141;0.963;85.009;0.963;https://api.spotify.com/v1/tracks/1E7EDGKKn6I8fzlYQbYlsh;4;spotify:track:1E7EDGKKn6I8fzlYQbYlsh;['latin jazz', 'world']
12;DT_Top100_18;13;Yann Tiersen;Comptine d'un autre été, l'après-midi;Amelie from Montmartre (Original SoundTrack);2001-04-23;1;69;3YYKrn3iGOAel605Znt3ai;140733;0.484;0.192;2;-15.378;1;0.0465;0.991;0.908;0.106;0.0559;100.084;0.0559;https://api.spotify.com/v1/tracks/3YYKrn3iGOAel605Znt3ai;4;spotify:track:3YYKrn3iGOAel605Znt3ai;['bow pop', 'compositional ambient', 'french soundtrack']
13;DT_Top100_18;14;A Tribe Called Quest;Can I Kick It?;People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition);1990-04-17;1;70;3Ti0GdlrotgwsAVBBugv0I;251573;0.848;0.666;0;-6.547;1;0.274;0.173;0.000699;0.129;0.744;96.662;0.744;https://api.spotify.com/v1/tracks/3Ti0GdlrotgwsAVBBugv0I;4;spotify:track:3Ti0GdlrotgwsAVBBugv0I;['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'pop rap', 'rap']
14;DT_Top100_18;15;One Self;Bluebird;Children of Possibility;2005;1;52;1MvH3FdvO17S2eQ4IeNRCo;220413;0.78;0.797;9;-5.964;0;0.307;0.129;0.0;0.0929;0.648;86.235;0.648;https://api.spotify.com/v1/tracks/1MvH3FdvO17S2eQ4IeNRCo;4;spotify:track:1MvH3FdvO17S2eQ4IeNRCo;['ninja', 'trip hop', 'turntablism']
15;DT_Top100_18;16;Floating Points;ARP3;Shadows;2011-11-21;1;41;2pRew1oUayKVoIBMBdfoce;560810;0.824;0.597;5;-10.379;0;0.0931;0.0371;0.916;0.0751;0.262;124.934;0.262;https://api.spotify.com/v1/tracks/2pRew1oUayKVoIBMBdfoce;4;spotify:track:2pRew1oUayKVoIBMBdfoce;['bass music', 'deep house', 'float house', 'future garage', 'indie jazz', 'microhouse', 'nu jazz', 'wonky']
16;DT_Top100_18;17;Philip Glass;Opening;Hope Street Tunnel Blues: Music for Piano By Philip Glass and Alvin Curran;2007-07-16;1;63;1QmhkjuUlosROqKk59sBSK;353146;0.179;0.026;0;-30.937;0;0.0385;0.996;0.89;0.0836;0.068;77.116;0.068;https://api.spotify.com/v1/tracks/1QmhkjuUlosROqKk59sBSK;3;spotify:track:1QmhkjuUlosROqKk59sBSK;['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'drone', 'fourth world', 'minimal', 'soundtrack']
17;DT_Top100_18;18;Throwing Snow;Xema;Axioms;2016-02-12;1;28;0X7OD0Do1vNdVZyUU8bSLp;402051;0.758;0.889;11;-8.539;0;0.0427;0.572;0.877;0.106;0.116;124.017;0.116;https://api.spotify.com/v1/tracks/0X7OD0Do1vNdVZyUU8bSLp;4;spotify:track:0X7OD0Do1vNdVZyUU8bSLp;['bass music', 'future garage', 'microhouse', 'substep', 'wonky']
18;DT_Top100_18;19;Moderat;Eating Hooks - Siriusmo Remix - Solomun Edit;Eating Hooks (Siriusmo Remix - Solomun Edit);2016-09-28;1;42;3357DDeO0lAVcAXfd0USz4;422200;0.661;0.728;8;-8.713;1;0.0379;0.00818;0.652;0.0599;0.347;123.994;0.347;https://api.spotify.com/v1/tracks/3357DDeO0lAVcAXfd0USz4;4;spotify:track:3357DDeO0lAVcAXfd0USz4;['alternative dance', 'electronic', 'indietronica', 'microhouse', 'minimal techno', 'new rave']
19;DT_Top100_18;20;Metronomy;Summer Jam;Summer 08;2016-07-01;1;45;05JoM14sa6tnksLBDB472L;223781;0.825;0.322;9;-14.413;0;0.0736;0.579;0.672;0.0779;0.889;140.016;0.889;https://api.spotify.com/v1/tracks/05JoM14sa6tnksLBDB472L;4;spotify:track:05JoM14sa6tnksLBDB472L;['alternative dance', 'dance-punk', 'electronic', 'electropop', 'garage rock', 'indie rock', 'indietronica', 'modern rock', 'new rave']
20;DT_Top100_18;21;Nick Monaco;Private Practice;Private Practice;2014-08-25;1;7;0i26QbjbPTgxoHEAymvZky;287656;0.804;0.332;8;-11.223;1;0.0411;0.0397;0.209;0.0662;0.361;121.021;0.361;https://api.spotify.com/v1/tracks/0i26QbjbPTgxoHEAymvZky;4;spotify:track:0i26QbjbPTgxoHEAymvZky;[]
21;DT_Top100_18;22;Nina Simone;Feeling Good;I Put A Spell On You;1965-06;1;72;1VKsbTJ78G5bnfyoPz46LA;174000;0.318;0.334;7;-9.267;0;0.0487;0.854;0.0;0.188;0.541;78.508;0.541;https://api.spotify.com/v1/tracks/1VKsbTJ78G5bnfyoPz46LA;4;spotify:track:1VKsbTJ78G5bnfyoPz46LA;['adult standards', 'christmas', 'jazz blues', 'neo soul', 'soul', 'soul jazz', 'vocal jazz']
22;DT_Top100_18;23;Buena Vista Social Club;El Cuarto De Tula;Buena Vista Social Club;1997-09-16;1;60;0NkBKaWhqR1KN67bUPlvYp;445458;0.523;0.697;9;-12.51;1;0.0454;0.637;0.000107;0.263;0.874;104.299;0.874;https://api.spotify.com/v1/tracks/0NkBKaWhqR1KN67bUPlvYp;4;spotify:track:0NkBKaWhqR1KN67bUPlvYp;['latin jazz', 'world']
