;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;EH_Top100_18;1;Sopico;Arbre de vie;YË;2018-01-26;1;42;0zWER0nkzldwtICAAemQ9M;217731;0.815;0.607;1;-9.905;1;0.32;0.487;1.25e-06;0.116;0.269;96.988;0.269;https://api.spotify.com/v1/tracks/0zWER0nkzldwtICAAemQ9M;4;spotify:track:0zWER0nkzldwtICAAemQ9M;['french hip hop', 'rap conscient', 'trap francais']
1;EH_Top100_18;2;Napkey;Simone;Simone;2018-09-05;1;40;0CmPKFs1dvQvtk8394pOHC;214937;0.556;0.725;3;-8.764;1;0.0282;0.0924;9.72e-05;0.0899;0.341;105.999;0.341;https://api.spotify.com/v1/tracks/0CmPKFs1dvQvtk8394pOHC;4;spotify:track:0CmPKFs1dvQvtk8394pOHC;['deep tropical house', 'french indie pop', 'french indietronica', 'tropical house']
2;EH_Top100_18;3;The xx;Intro;xx;2009-08-16;1;72;0bXpmJyHHYPk6QBFj25bYF;127920;0.607;0.789;9;-8.87;0;0.0278;0.46;0.907;0.128;0.16;100.351;0.16;https://api.spotify.com/v1/tracks/0bXpmJyHHYPk6QBFj25bYF;4;spotify:track:0bXpmJyHHYPk6QBFj25bYF;['downtempo', 'dream pop', 'indie rock', 'indietronica', 'modern rock', 'pop']
3;EH_Top100_18;4;The Alan Parsons Project;Eye In the Sky;80s 100 Hits;2010-02-26;1;43;6HeUUcKdDELB4REHiHufBC;265866;0.822;0.381;2;-14.123;1;0.0344;0.588;0.000456;0.333;0.555;111.988;0.555;https://api.spotify.com/v1/tracks/6HeUUcKdDELB4REHiHufBC;4;spotify:track:6HeUUcKdDELB4REHiHufBC;['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']
4;EH_Top100_18;5;Kurt Vile;Feel My Pain;"""it's a big world out there (and i am scared)""";2013-11-18;1;33;4SjJjOFF6eucMoaAwnV5tg;379120;0.524;0.585;1;-7.951;0;0.0267;0.74;0.497;0.0914;0.429;94.849;0.429;https://api.spotify.com/v1/tracks/4SjJjOFF6eucMoaAwnV5tg;4;spotify:track:4SjJjOFF6eucMoaAwnV5tg;['alternative rock', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'neo-psychedelic', 'noise pop', 'philly indie']
5;EH_Top100_18;6;Arctic Monkeys;Do I Wanna Know?;AM;2013-09-09;1;82;5FVd6KXrgO9B3JPmC8OPst;272394;0.548;0.532;5;-7.596;1;0.0323;0.186;0.000263;0.217;0.405;85.03;0.405;https://api.spotify.com/v1/tracks/5FVd6KXrgO9B3JPmC8OPst;4;spotify:track:5FVd6KXrgO9B3JPmC8OPst;['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']
6;EH_Top100_18;7;Ice Cube;Go To Church;The Essentials;2008-01-01;1;58;3Feec7M9kLXDHag4iZcBxU;231933;0.726;0.756;0;-7.156;1;0.19;0.0254;0.0;0.702;0.677;83.979;0.677;https://api.spotify.com/v1/tracks/3Feec7M9kLXDHag4iZcBxU;4;spotify:track:3Feec7M9kLXDHag4iZcBxU;['conscious hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']
7;EH_Top100_18;8;The Blaze;Heaven;Heaven;2018-02-27;1;51;6WXnyeJ7UYGCmUE4TYzbro;220800;0.633;0.443;1;-12.122;0;0.0307;0.0611;0.724;0.0832;0.0708;125.033;0.0708;https://api.spotify.com/v1/tracks/6WXnyeJ7UYGCmUE4TYzbro;4;spotify:track:6WXnyeJ7UYGCmUE4TYzbro;['french indie pop', 'french indietronica']
8;EH_Top100_18;9;Major Lazer;Get Free (feat. Amber Coffman);Free The Universe;2013-03-15;1;44;1sD9IhJKvFxmSr2U4JnEI7;289973;0.525;0.538;11;-9.366;0;0.0783;0.14;0.117;0.095;0.802;175.953;0.802;https://api.spotify.com/v1/tracks/1sD9IhJKvFxmSr2U4JnEI7;4;spotify:track:1sD9IhJKvFxmSr2U4JnEI7;['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'tropical house']
9;EH_Top100_18;10;Maluma;Borro Cassette;Pretty Boy, Dirty Boy;2015-10-30;1;73;6DUdDIRgLqCGq1DwkNWQTN;207306;0.73;0.701;5;-5.885;0;0.106;0.132;0.0;0.151;0.785;175.95;0.785;https://api.spotify.com/v1/tracks/6DUdDIRgLqCGq1DwkNWQTN;4;spotify:track:6DUdDIRgLqCGq1DwkNWQTN;['reggaeton']
