;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;ET_Top100_18;1;Her;Wanna Be You;Her;2018-03-30;1;13;1A3HVRAMPjwGbMupZXMoT4;252360;0.753;0.685;10;-6.951;0;0.0581;0.225;0.00043;0.0805;0.354;106.512;0.354;https://api.spotify.com/v1/tracks/1A3HVRAMPjwGbMupZXMoT4;4;spotify:track:1A3HVRAMPjwGbMupZXMoT4;['french indie pop', 'french indietronica']
1;ET_Top100_18;2;-M-;Une Âme;Lamomali;2017-04-07;1;46;5xK7WsAZSlAZ18iqNUccQq;208386;0.561;0.486;1;-10.768;0;0.0366;0.323;0.00511;0.101;0.183;93.863;0.183;https://api.spotify.com/v1/tracks/5xK7WsAZSlAZ18iqNUccQq;4;spotify:track:5xK7WsAZSlAZ18iqNUccQq;['chanson', 'french indie pop', 'french reggae', 'french rock']
2;ET_Top100_18;3;Daniel Bélanger;Sèche tes pleurs;Joli chaos;2008;1;21;3kflQ9lK4oZpyg5QoZY2f1;156973;0.561;0.334;11;-9.699;0;0.0325;0.559;2.42e-06;0.185;0.702;89.864;0.702;https://api.spotify.com/v1/tracks/3kflQ9lK4oZpyg5QoZY2f1;4;spotify:track:3kflQ9lK4oZpyg5QoZY2f1;['indie quebecois']
3;ET_Top100_18;4;Charlotte Cardin;Main Girl;Main Girl EP;2017-09-06;1;48;4CdVCmWQ0sq3ovvGqPLwgQ;205240;0.681;0.537;2;-7.463;1;0.102;0.0562;0.0;0.0774;0.227;82.005;0.227;https://api.spotify.com/v1/tracks/4CdVCmWQ0sq3ovvGqPLwgQ;4;spotify:track:4CdVCmWQ0sq3ovvGqPLwgQ;['indie quebecois']
4;ET_Top100_18;5;Rhye;Song For You;Song For You;2018-01-12;1;8;3ha7ntfYaz7BQnyMRFjkPj;238666;0.861;0.368;2;-10.469;1;0.0365;0.66;0.703;0.109;0.214;115.98;0.214;https://api.spotify.com/v1/tracks/3ha7ntfYaz7BQnyMRFjkPj;4;spotify:track:3ha7ntfYaz7BQnyMRFjkPj;['downtempo', 'electropop', 'indie folk', 'indie r&b', 'indietronica', 'shimmer pop']
5;ET_Top100_18;6;Vendredi sur Mer;Les filles désir;Les filles désir;2017-04-21;1;28;3YH8r4ajTrXf3p2NVR9HHv;197351;0.486;0.532;3;-8.0;0;0.0821;0.371;0.0757;0.0941;0.346;79.105;0.346;https://api.spotify.com/v1/tracks/3YH8r4ajTrXf3p2NVR9HHv;4;spotify:track:3YH8r4ajTrXf3p2NVR9HHv;['french indie pop', 'french indietronica']
6;ET_Top100_18;7;Ella Eyre;Deeper;Feline (Deluxe);2015-08-14;1;2;61RHgpsRoz1PvMDPbjWHfx;208440;0.481;0.662;8;-7.295;0;0.21;0.29;0.0;0.114;0.722;72.934;0.722;https://api.spotify.com/v1/tracks/61RHgpsRoz1PvMDPbjWHfx;4;spotify:track:61RHgpsRoz1PvMDPbjWHfx;['dance pop', 'pop', 'tropical house']
7;ET_Top100_18;8;Ben L'Oncle Soul;The Good Life;The Good Life;2016-10-01;1;2;78J8wG7i7F4QZwNvuOBUah;253040;0.69;0.599;1;-7.703;1;0.215;0.698;0.0109;0.109;0.354;95.052;0.354;https://api.spotify.com/v1/tracks/78J8wG7i7F4QZwNvuOBUah;4;spotify:track:78J8wG7i7F4QZwNvuOBUah;['neo soul']
8;ET_Top100_18;9;Magic System;Chérie Coco - feat. Soprano;Touté kalé;2011-04-01;1;41;6zUOTErlhzIGzCg9cQz7SU;216586;0.834;0.964;0;-3.822;1;0.232;0.198;0.0;0.176;0.68;127.994;0.68;https://api.spotify.com/v1/tracks/6zUOTErlhzIGzCg9cQz7SU;4;spotify:track:6zUOTErlhzIGzCg9cQz7SU;['afropop', 'francoton', 'french pop', 'zouglou']
9;ET_Top100_18;10;Avishai Cohen;Morenika;Aurora;2009-03-16;1;32;61U8PT9bXTB8dkSMjNYNfq;273280;0.579;0.105;11;-21.256;0;0.0329;0.805;0.0158;0.256;0.267;113.898;0.267;https://api.spotify.com/v1/tracks/61U8PT9bXTB8dkSMjNYNfq;4;spotify:track:61U8PT9bXTB8dkSMjNYNfq;['contemporary jazz', 'contemporary post-bop', 'jazz double bass', 'jazz fusion', 'jazz trumpet']
10;ET_Top100_18;11;Garden City Movement;She's so Untouchable - Original Mix;She's So Untouchable;2017-02-10;1;41;5pHwg7ezzqFF5VIuIeSJhd;224350;0.747;0.779;4;-4.937;0;0.05;0.0988;0.0549;0.178;0.687;102.012;0.687;https://api.spotify.com/v1/tracks/5pHwg7ezzqFF5VIuIeSJhd;4;spotify:track:5pHwg7ezzqFF5VIuIeSJhd;['israeli indie']
11;ET_Top100_18;12;Agar Agar;Prettiest Virgin (Radio Edit);Prettiest Virgin;2016-04-22;1;58;0aKoR2iMGuqAUBBCdRwII8;270000;0.946;0.493;8;-9.654;1;0.0509;0.162;0.297;0.0875;0.592;120.012;0.592;https://api.spotify.com/v1/tracks/0aKoR2iMGuqAUBBCdRwII8;4;spotify:track:0aKoR2iMGuqAUBBCdRwII8;['french indie pop', 'french indietronica']
12;ET_Top100_18;13;-M-;Manitoumani;Lamomali;2017-04-07;1;52;40sgwuGnpN1XQ3AbE9exPD;208400;0.568;0.478;1;-12.584;0;0.0639;0.575;0.162;0.142;0.147;115.073;0.147;https://api.spotify.com/v1/tracks/40sgwuGnpN1XQ3AbE9exPD;4;spotify:track:40sgwuGnpN1XQ3AbE9exPD;['chanson', 'french indie pop', 'french reggae', 'french rock']
13;ET_Top100_18;14;Polo & Pan;Arc-en-ciel;Arc-en-ciel;2018-06-01;1;52;1gWZZyQPb8KxMLS88wCdGR;231306;0.777;0.588;7;-7.903;0;0.0354;0.0654;0.000276;0.091;0.451;115.985;0.451;https://api.spotify.com/v1/tracks/1gWZZyQPb8KxMLS88wCdGR;4;spotify:track:1gWZZyQPb8KxMLS88wCdGR;['french indie pop', 'french indietronica']
14;ET_Top100_18;15;Charlotte Cardin;The Kids;Main Girl EP;2017-09-06;1;42;5xh4qTxts9YtYAobXGzFu6;226626;0.383;0.0972;0;-11.864;1;0.0358;0.441;5.96e-06;0.11;0.0964;85.61;0.0964;https://api.spotify.com/v1/tracks/5xh4qTxts9YtYAobXGzFu6;4;spotify:track:5xh4qTxts9YtYAobXGzFu6;['indie quebecois']
15;ET_Top100_18;16;Tom Rosenthal;Middle Of My Mind;The Pleasant Trees (Volume 2);2015-12-25;1;1;0Dzpz7CsRzA7e31nPl26jk;164721;0.607;0.198;2;-14.271;1;0.038;0.963;0.00425;0.107;0.381;76.702;0.381;https://api.spotify.com/v1/tracks/0Dzpz7CsRzA7e31nPl26jk;4;spotify:track:0Dzpz7CsRzA7e31nPl26jk;['indie anthem-folk', 'indie folk']
16;ET_Top100_18;17;BADBADNOTGOOD;In Your Eyes;IV;2016-07-08;1;53;73nE9VyAgau42cl3ncP9ML;247054;0.488;0.528;0;-5.95;0;0.0297;0.456;0.000683;0.106;0.432;79.731;0.432;https://api.spotify.com/v1/tracks/73nE9VyAgau42cl3ncP9ML;4;spotify:track:73nE9VyAgau42cl3ncP9ML;['alternative hip hop', 'canadian modern jazz', 'dark jazz', 'escape room', 'funk', 'hip hop', 'indie r&b', 'indietronica']
17;ET_Top100_18;18;Bobby Womack;Dayglo Reflection;The Bravest Man In The Universe;2012-06-11;1;54;2ZdLePqGqO0tuQMW1vykK0;258906;0.694;0.654;10;-9.351;0;0.0945;0.0287;0.0124;0.466;0.612;99.98;0.612;https://api.spotify.com/v1/tracks/2ZdLePqGqO0tuQMW1vykK0;4;spotify:track:2ZdLePqGqO0tuQMW1vykK0;['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']
18;ET_Top100_18;19;Aya Nakamura;Djadja;Djadja;2018-04-06;1;58;3XfnssSD9HMQ9LhVOJvXTE;170160;0.832;0.698;5;-6.215;1;0.244;0.117;0.0;0.113;0.559;97.985;0.559;https://api.spotify.com/v1/tracks/3XfnssSD9HMQ9LhVOJvXTE;4;spotify:track:3XfnssSD9HMQ9LhVOJvXTE;['basshall']
