;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;JB_Top100_18;1;Madison Ryann Ward;Mirror;Mirror;2018-04-06;1;53;5G2Q4Vx9zwBAdQoEWgM8uX;194746;0.646;0.42;6;-6.21;1;0.084;0.43;0;0.107;0.0925;129.468;0.0925;https://api.spotify.com/v1/tracks/5G2Q4Vx9zwBAdQoEWgM8uX;3;spotify:track:5G2Q4Vx9zwBAdQoEWgM8uX;[]
1;JB_Top100_18;2;Louis The Child;Better Not (feat. Wafia);Better Not (feat. Wafia);2018-04-13;1;51;447yWcDPg1ddgcHBLGpJC0;222865;0.783;0.537;9;-2.921;1;0.0749;0.278;0;0.229;0.392;113.977;0.392;https://api.spotify.com/v1/tracks/447yWcDPg1ddgcHBLGpJC0;4;spotify:track:447yWcDPg1ddgcHBLGpJC0;['edm', 'electropop', 'indie poptimism', 'pop', 'tropical house', 'vapor soul']
2;JB_Top100_18;3;Prince Fox;Space (feat. Quinn XCII);Space (feat. Quinn XCII);2017-08-11;1;31;6ibtXCE3GjkRCG45bhjUte;177000;0.632;0.571;7;-6.856;0;0.0591;0.226;0;0.124;0.296;97.812;0.296;https://api.spotify.com/v1/tracks/6ibtXCE3GjkRCG45bhjUte;4;spotify:track:6ibtXCE3GjkRCG45bhjUte;['indie poptimism', 'tropical pop edm']
3;JB_Top100_18;4;Loud Luxury;Body - PBH & Jack Shizzle Remix;Body (PBH & Jack Shizzle Remix);2018-05-18;1;0;7yZtbKIMyzqHjBL8MgYu1r;180480;0.618;0.937;8;-4.187;1;0.0449;0.113;0.00186;0.238;0.925;124.996;0.925;https://api.spotify.com/v1/tracks/7yZtbKIMyzqHjBL8MgYu1r;4;spotify:track:7yZtbKIMyzqHjBL8MgYu1r;['edm', 'pop', 'tropical house']
4;JB_Top100_18;5;Post Malone;Psycho (feat. Ty Dolla $ign);Psycho (feat. Ty Dolla $ign);2018-02-23;1;19;65NwOZqoXny4JxqAPlfxRF;220880;0.74;0.558;8;-8.115;1;0.102;0.566;0;0.112;0.421;140.057;0.421;https://api.spotify.com/v1/tracks/65NwOZqoXny4JxqAPlfxRF;4;spotify:track:65NwOZqoXny4JxqAPlfxRF;['pop', 'rap']
5;JB_Top100_18;6;Mokita;When I See You;When I See You;2018-02-24;1;57;1Xy2tuw1Z2RvFiJEI538DT;203842;0.649;0.568;10;-10.051;1;0.0496;0.46;0;0.0933;0.325;116.793;0.325;https://api.spotify.com/v1/tracks/1Xy2tuw1Z2RvFiJEI538DT;4;spotify:track:1Xy2tuw1Z2RvFiJEI538DT;['deep tropical house', 'indie cafe pop', 'indie poptimism', 'tropical pop edm']
6;JB_Top100_18;7;G-Eazy;I Mean It;These Things Happen;2014-06-20;1;74;6jmTHeoWvBaSrwWttr8Xvu;236480;0.712;0.562;10;-6.008;1;0.129;0.125;0;0.136;0.142;140.0;0.142;https://api.spotify.com/v1/tracks/6jmTHeoWvBaSrwWttr8Xvu;4;spotify:track:6jmTHeoWvBaSrwWttr8Xvu;['hip hop', 'indie pop rap', 'pop', 'pop rap', 'rap']
7;JB_Top100_18;8;Chelsea Cutler;Water on the Bridge;Water on the Bridge;2018-05-24;1;55;47vrIAhqNRPvMC892wvWEk;247844;0.587;0.34;1;-9.141;0;0.032;0.484;0;0.286;0.161;88.06;0.161;https://api.spotify.com/v1/tracks/47vrIAhqNRPvMC892wvWEk;4;spotify:track:47vrIAhqNRPvMC892wvWEk;['dance pop', 'electropop', 'indie poptimism', 'pop']
8;JB_Top100_18;9;Lauv;Paris in the Rain;I met you when I was 18. (the playlist);2018-05-31;1;74;41CgzGD7xlgnJe14R4cqkL;204712;0.426;0.408;3;-9.419;1;0.0524;0.771;7.88e-06;0.394;0.528;76.309;0.528;https://api.spotify.com/v1/tracks/41CgzGD7xlgnJe14R4cqkL;4;spotify:track:41CgzGD7xlgnJe14R4cqkL;['dance pop', 'electropop', 'pop']
9;JB_Top100_18;10;Khalid;Better;Better;2018-09-14;1;86;4T3fNx3CgwDRRYgmFCbD4J;229412;0.442;0.585;0;-10.332;0;0.0964;0.0984;0.391;0.14;0.116;97.565;0.116;https://api.spotify.com/v1/tracks/4T3fNx3CgwDRRYgmFCbD4J;4;spotify:track:4T3fNx3CgwDRRYgmFCbD4J;['pop']
