;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;JC_Top100_18;1;Parcels;Hideout;Hideout;2017-01-27;1;51;7xrC5Tcw7ZsR060M4KpwRw;266454;0.784;0.587;9;-6.361;1;0.0422;0.273;0.0107;0.356;0.855;107.999;0.855;https://api.spotify.com/v1/tracks/7xrC5Tcw7ZsR060M4KpwRw;4;spotify:track:7xrC5Tcw7ZsR060M4KpwRw;['aussietronica', 'french indietronica']
1;JC_Top100_18;2;Jungle;Happy Man;Happy Man;2018-05-08;1;60;11xRCe6bPQ9fRhz70dqF9N;190318;0.593;0.563;9;-6.409;0;0.0326;0.161;1.66e-05;0.0675;0.141;108.014;0.141;https://api.spotify.com/v1/tracks/11xRCe6bPQ9fRhz70dqF9N;4;spotify:track:11xRCe6bPQ9fRhz70dqF9N;['uk contemporary r&b']
2;JC_Top100_18;3;Tempesst;Sunflower Lady;Sunflower Lady;2016-11-18;1;0;0AktQUhNQa27uv1fxjlQck;234960;0.477;0.939;2;-5.767;1;0.0496;0.461;2.34e-05;0.333;0.549;127.99;0.549;https://api.spotify.com/v1/tracks/0AktQUhNQa27uv1fxjlQck;4;spotify:track:0AktQUhNQa27uv1fxjlQck;[]
3;JC_Top100_18;4;InClose;Twins;Twins;2018-06-15;1;25;6RWXCpgz9KRH2H4yZQwjux;179222;0.593;0.588;0;-14.029;0;0.0432;0.0194;0.843;0.0879;0.363;92.994;0.363;https://api.spotify.com/v1/tracks/6RWXCpgz9KRH2H4yZQwjux;4;spotify:track:6RWXCpgz9KRH2H4yZQwjux;[]
4;JC_Top100_18;5;Tunnelvisions;Guava;Midnight Voyage;2017-11-03;1;47;5hrGOS8UP9brY2JizYc5z5;210625;0.67;0.487;5;-10.982;1;0.0385;0.000283;0.442;0.0915;0.608;112.013;0.608;https://api.spotify.com/v1/tracks/5hrGOS8UP9brY2JizYc5z5;4;spotify:track:5hrGOS8UP9brY2JizYc5z5;['deep melodic euro house']
5;JC_Top100_18;6;KC & The Sunshine Band;Give It Up;The Best Of KC And The Sunshine Band;1990-09-10;1;56;7sm3orGGwNFqmWFSPRl8eT;245800;0.84;0.654;3;-12.135;1;0.0621;0.08;0.000259;0.063;0.841;125.68;0.841;https://api.spotify.com/v1/tracks/7sm3orGGwNFqmWFSPRl8eT;4;spotify:track:7sm3orGGwNFqmWFSPRl8eT;['disco', 'funk', 'motown', 'quiet storm', 'soft rock']
6;JC_Top100_18;7;The Rubens;Hold Me Back;Hoops;2016-02-19;1;21;4BZUYg0i7C8fRIfm0XLGJA;174893;0.578;0.934;0;-4.585;1;0.0412;0.00143;7.13e-06;0.0785;0.483;101.012;0.483;https://api.spotify.com/v1/tracks/4BZUYg0i7C8fRIfm0XLGJA;4;spotify:track:4BZUYg0i7C8fRIfm0XLGJA;['australian indie', 'australian pop']
7;JC_Top100_18;8;Her;Five Minutes;Her Tape #1;2016-01-15;1;10;1dOJtXmqzWgqAw5hX8CJdP;224672;0.614;0.543;10;-7.641;0;0.0622;0.379;0.000384;0.0747;0.396;100.038;0.396;https://api.spotify.com/v1/tracks/1dOJtXmqzWgqAw5hX8CJdP;4;spotify:track:1dOJtXmqzWgqAw5hX8CJdP;['french indie pop', 'french indietronica']
8;JC_Top100_18;9;Elephanz;Time for a Change;Time for a Change (Deluxe Edition);2013;1;41;6gj7kH97i7Iy1JQWXk7vS8;225630;0.612;0.952;0;-3.934;0;0.0841;0.00276;0.0;0.272;0.666;118.958;0.666;https://api.spotify.com/v1/tracks/6gj7kH97i7Iy1JQWXk7vS8;4;spotify:track:6gj7kH97i7Iy1JQWXk7vS8;['french indie pop', 'french indietronica', 'french rock']
9;JC_Top100_18;10;Jonathan Wilson;There's a Light;Rare Birds;2018-03-02;1;35;6qSkeGBnB2mRCREpBOFrAO;296800;0.405;0.873;11;-4.411;0;0.04;0.158;1.38e-06;0.196;0.499;139.571;0.499;https://api.spotify.com/v1/tracks/6qSkeGBnB2mRCREpBOFrAO;4;spotify:track:6qSkeGBnB2mRCREpBOFrAO;['freak folk']
10;JC_Top100_18;11;Juliette Armanet;L'Indien;Petite Amie (Deluxe);2018-02-02;1;5;1en5NjeUpEKRpwSL48nkZW;210813;0.737;0.512;0;-7.362;1;0.0342;0.213;0.00286;0.127;0.336;130.007;0.336;https://api.spotify.com/v1/tracks/1en5NjeUpEKRpwSL48nkZW;4;spotify:track:1en5NjeUpEKRpwSL48nkZW;['chanson', 'french indie pop', 'french indietronica']
11;JC_Top100_18;12;Parcels;Tieduprightnow;Tieduprightnow;2018-04-27;1;46;6HjqCEeNyjquM5ZQ1CIEJ2;249956;0.863;0.533;5;-7.986;0;0.0484;0.291;0.00126;0.0794;0.738;102.025;0.738;https://api.spotify.com/v1/tracks/6HjqCEeNyjquM5ZQ1CIEJ2;4;spotify:track:6HjqCEeNyjquM5ZQ1CIEJ2;['aussietronica', 'french indietronica']
12;JC_Top100_18;13;Jungle;Heavy, California;Heavy, California;2018-07-27;1;56;2UfsAhtqK6uH8NYa5glrpm;184599;0.674;0.713;6;-7.46;0;0.036;0.0733;0.139;0.169;0.704;111.017;0.704;https://api.spotify.com/v1/tracks/2UfsAhtqK6uH8NYa5glrpm;4;spotify:track:2UfsAhtqK6uH8NYa5glrpm;['uk contemporary r&b']
13;JC_Top100_18;14;The Avalanches;Since I Left You;Since I Left You;2000;1;48;0Hyr2jPRwOQF8pf13n8eB1;260066;0.518;0.916;7;-7.222;1;0.0798;0.257;0.0;0.84;0.485;102.81;0.485;https://api.spotify.com/v1/tracks/0Hyr2jPRwOQF8pf13n8eB1;4;spotify:track:0Hyr2jPRwOQF8pf13n8eB1;['alternative dance', 'australian alternative rock', 'australian dance', 'big beat', 'electronic', 'indietronica', 'neo-psychedelic', 'new rave']
14;JC_Top100_18;15;San Fermin;Sonsick;San Fermin;2013-11-11;1;31;07e27U0ugWBoFFN7r33WOq;253426;0.46;0.612;0;-5.856;1;0.0393;0.0209;0.00032;0.341;0.528;147.751;0.528;https://api.spotify.com/v1/tracks/07e27U0ugWBoFFN7r33WOq;4;spotify:track:07e27U0ugWBoFFN7r33WOq;['brooklyn indie', 'chamber pop', 'stomp and holler']
15;JC_Top100_18;16;Snarky Puppy;Lingus;We Like It Here;2014-02-25;1;51;68d6ZfyMUYURol2y15Ta2Y;645720;0.457;0.776;9;-10.238;0;0.142;0.147;0.676;0.689;0.476;129.896;0.476;https://api.spotify.com/v1/tracks/68d6ZfyMUYURol2y15Ta2Y;5;spotify:track:68d6ZfyMUYURol2y15Ta2Y;['contemporary jazz', 'jazz funk', 'jazz fusion']
16;JC_Top100_18;17;Bon Voyage Organisation;Goma;Jungle ? Quelle jungle ?;2018-03-02;1;28;5UlUxeYSNd3Vuy3QNindFF;352226;0.578;0.724;9;-7.942;0;0.0316;0.0314;0.863;0.106;0.278;103.858;0.278;https://api.spotify.com/v1/tracks/5UlUxeYSNd3Vuy3QNindFF;4;spotify:track:5UlUxeYSNd3Vuy3QNindFF;['french indie pop', 'french indietronica']
17;JC_Top100_18;18;The Rubens;Million Man;Million Man;2017-10-27;1;24;30BDs1iqVDgdkqRPadbZJC;192106;0.472;0.544;9;-5.611;1;0.0997;0.203;0.0;0.0986;0.312;98.873;0.312;https://api.spotify.com/v1/tracks/30BDs1iqVDgdkqRPadbZJC;4;spotify:track:30BDs1iqVDgdkqRPadbZJC;['australian indie', 'australian pop']
18;JC_Top100_18;19;Her;We Choose;We Choose;2017-12-01;1;16;2h2dfrn8hZ74kBKBKOS30u;229874;0.433;0.0663;6;-11.224;1;0.0428;0.906;0.0;0.108;0.173;77.873;0.173;https://api.spotify.com/v1/tracks/2h2dfrn8hZ74kBKBKOS30u;3;spotify:track:2h2dfrn8hZ74kBKBKOS30u;['french indie pop', 'french indietronica']
19;JC_Top100_18;20;Animal Collective;FloriDada;Painting With;2016-02-19;1;46;26WNKAgxNfg1MkhpBrx8UV;245493;0.486;0.791;1;-5.0;1;0.0601;0.214;0.0;0.0849;0.221;166.413;0.221;https://api.spotify.com/v1/tracks/26WNKAgxNfg1MkhpBrx8UV;4;spotify:track:26WNKAgxNfg1MkhpBrx8UV;['alternative rock', 'art pop', 'chamber pop', 'chillwave', 'dance-punk', 'dream pop', 'experimental pop', 'experimental rock', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'lo-fi', 'modern rock', 'neo-psychedelic', 'new rave', 'noise pop', 'noise rock', 'nu gaze']
20;JC_Top100_18;21;Rolling Blackouts Coastal Fever;Talking Straight;Hope Downs;2018-06-15;1;6;5KYRcYY19ngdHACORELAW8;224525;0.237;0.786;0;-4.822;1;0.043;0.000528;0.561;0.0974;0.579;84.984;0.579;https://api.spotify.com/v1/tracks/5KYRcYY19ngdHACORELAW8;4;spotify:track:5KYRcYY19ngdHACORELAW8;['chamber psych', 'garage psych', 'indie rock', 'modern alternative rock', 'modern rock', 'preverb']
21;JC_Top100_18;22;Thylacine;Introduction;Transsiberian;2015-11-27;1;31;3YB0veHkLHsiNE7rxz1HP7;120546;0.279;0.297;11;-19.804;0;0.18;0.681;0.389;0.29;0.196;88.015;0.196;https://api.spotify.com/v1/tracks/3YB0veHkLHsiNE7rxz1HP7;4;spotify:track:3YB0veHkLHsiNE7rxz1HP7;['french indie pop', 'french indietronica']
