;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;JMG_Top100_18;1;Kali Uchis;After The Storm (feat. Tyler, The Creator & Bootsy Collins);After The Storm (feat. Tyler, The Creator & Bootsy Collins);2018-01-12;1;60;1gmarFWgSwb4SWlmqDjWka;207454;0.734;0.657;4;-6.625;0;0.128;0.304;0.000785;0.247;0.814;79.533;0.814;https://api.spotify.com/v1/tracks/1gmarFWgSwb4SWlmqDjWka;4;spotify:track:1gmarFWgSwb4SWlmqDjWka;['alternative r&b', 'colombian pop', 'pop']
1;JMG_Top100_18;2;Jim Croce;Salon and Saloon;I Got a Name;1973-12-01;1;25;3nnoUxVRHVnpAvwAnXuMnW;150826;0.409;0.0852;0;-20.037;1;0.0359;0.954;0.000404;0.164;0.132;94.738;0.132;https://api.spotify.com/v1/tracks/3nnoUxVRHVnpAvwAnXuMnW;4;spotify:track:3nnoUxVRHVnpAvwAnXuMnW;['adult standards', 'album rock', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']
2;JMG_Top100_18;3;Bruno Mars;Finesse (Remix) [feat. Cardi B];Finesse (Remix) [feat. Cardi B];2017-12-20;1;82;3Vo4wInECJQuz9BIBMOu8i;217288;0.704;0.859;5;-4.877;0;0.0996;0.0185;0.0;0.0215;0.926;105.115;0.926;https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i;4;spotify:track:3Vo4wInECJQuz9BIBMOu8i;['dance pop', 'pop', 'post-teen pop']
3;JMG_Top100_18;4;Aaron Neville;Tell It Like It Is;Tell It Like It Is - The Par Lo Years;2007;1;50;7GSRH3L0HAM3StkAkYVamC;165960;0.61;0.376;2;-9.194;0;0.0287;0.449;2.18e-06;0.198;0.565;93.706;0.565;https://api.spotify.com/v1/tracks/7GSRH3L0HAM3StkAkYVamC;3;spotify:track:7GSRH3L0HAM3StkAkYVamC;['motown', 'soul']
4;JMG_Top100_18;5;Olga Guillot;Que Sabes Tu;Olga Guillot;1991-12-19;1;31;201HmfcNfPv8Hah4v9Xr6F;233697;0.461;0.272;2;-10.992;1;0.0394;0.847;3.53e-06;0.11;0.297;90.673;0.297;https://api.spotify.com/v1/tracks/201HmfcNfPv8Hah4v9Xr6F;4;spotify:track:201HmfcNfPv8Hah4v9Xr6F;['bolero', 'mambo']
5;JMG_Top100_18;6;SZA;The Weekend - Funk Wav Remix;The Weekend (Funk Wav Remix);2017-12-15;1;75;0P6AWOA4LG1XOctzaVu5tt;171805;0.775;0.573;11;-4.933;1;0.0585;0.495;0.0;0.126;0.667;101.925;0.667;https://api.spotify.com/v1/tracks/0P6AWOA4LG1XOctzaVu5tt;4;spotify:track:0P6AWOA4LG1XOctzaVu5tt;['hip hop', 'pop', 'pop rap', 'r&b', 'rap']
6;JMG_Top100_18;7;Roy Woods;Something New;Say Less;2017-12-01;1;50;4d2iGFWFAMt6AE7SQ7Psxh;214297;0.904;0.434;10;-7.807;0;0.0638;0.0276;5.99e-05;0.0816;0.473;120.036;0.473;https://api.spotify.com/v1/tracks/4d2iGFWFAMt6AE7SQ7Psxh;4;spotify:track:4d2iGFWFAMt6AE7SQ7Psxh;['alternative r&b', 'canadian hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap music', 'trap soul']
7;JMG_Top100_18;8;Gabriel Garzón-Montano;Crawl;Jardín;2017-01-27;1;42;2GFjfzXWeV8iLCnRCKJxaO;230460;0.893;0.408;9;-10.144;0;0.0515;0.522;0.0176;0.0985;0.55;84.131;0.55;https://api.spotify.com/v1/tracks/2GFjfzXWeV8iLCnRCKJxaO;4;spotify:track:2GFjfzXWeV8iLCnRCKJxaO;['alternative r&b', 'indie jazz', 'indie r&b']
8;JMG_Top100_18;9;La Lupe;Que Te Pedi;The Best;2009;1;41;3nSWVQbzle9ukt8KovkhBZ;256720;0.314;0.504;9;-4.999;0;0.0318;0.87;5.73e-06;0.0942;0.274;147.175;0.274;https://api.spotify.com/v1/tracks/3nSWVQbzle9ukt8KovkhBZ;4;spotify:track:3nSWVQbzle9ukt8KovkhBZ;['boogaloo', 'cuban rumba', 'latin jazz', 'mambo', 'salsa']
9;JMG_Top100_18;10;Maroon 5;Wait - Chromeo Remix;Wait (Chromeo Remix);2018-01-19;1;56;0eayB5jay6m21D816D7jF4;259663;0.675;0.911;10;-2.947;0;0.0391;0.00984;0.00912;0.125;0.893;122.043;0.893;https://api.spotify.com/v1/tracks/0eayB5jay6m21D816D7jF4;4;spotify:track:0eayB5jay6m21D816D7jF4;['pop']
10;JMG_Top100_18;11;Jhene Aiko;Sativa;Trip;2017-09-22;1;74;2pg2TiYo9Rb8KeB5JjP7jS;276960;0.741;0.61;6;-7.34;0;0.0512;0.315;0.0;0.534;0.72;125.99;0.72;https://api.spotify.com/v1/tracks/2pg2TiYo9Rb8KeB5JjP7jS;4;spotify:track:2pg2TiYo9Rb8KeB5JjP7jS;['alternative r&b', 'dance pop', 'deep pop r&b', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']
11;JMG_Top100_18;12;Shakira;Chantaje (feat. Maluma);El Dorado;2017-05-26;1;77;6mICuAdrwEjh6Y6lroV2Kg;195840;0.852;0.773;8;-2.921;0;0.0776;0.187;3.05e-05;0.159;0.907;102.034;0.907;https://api.spotify.com/v1/tracks/6mICuAdrwEjh6Y6lroV2Kg;4;spotify:track:6mICuAdrwEjh6Y6lroV2Kg;['colombian pop', 'dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']
12;JMG_Top100_18;13;N.E.R.D;Lemon - Edit;Lemon (Edit);2017-12-06;1;63;2LKlHBPHxLG5ArAXfF148n;146906;0.805;0.71;1;-6.642;1;0.309;0.000881;2.64e-05;0.358;0.147;190.044;0.147;https://api.spotify.com/v1/tracks/2LKlHBPHxLG5ArAXfF148n;4;spotify:track:2LKlHBPHxLG5ArAXfF148n;['hip hop', 'pop', 'pop rap', 'rap']
13;JMG_Top100_18;14;Spice Girls;Never Give Up On The Good Times;Spiceworld;1997-01-01;1;48;6RQnRYot6B3TPZsMbbSJ20;270200;0.707;0.905;5;-5.534;0;0.0376;0.00674;0.0331;0.138;0.641;116.997;0.641;https://api.spotify.com/v1/tracks/6RQnRYot6B3TPZsMbbSJ20;4;spotify:track:6RQnRYot6B3TPZsMbbSJ20;['dance pop', 'europop', 'girl group', 'pop']
14;JMG_Top100_18;15;Baka Not Nice;Live Up to My Name;Live Up to My Name;2017-06-30;1;65;61mnlyQlnPuq1GEX0LxIWh;180748;0.943;0.495;6;-5.964;0;0.18;0.0575;0.0;0.0952;0.573;129.971;0.573;https://api.spotify.com/v1/tracks/61mnlyQlnPuq1GEX0LxIWh;4;spotify:track:61mnlyQlnPuq1GEX0LxIWh;['canadian hip hop', 'rap', 'trap music', 'trap soul', 'underground hip hop', 'vapor trap']
15;JMG_Top100_18;16;Olga Guillot;Lagrimas Negras;Olga Guillot;1991-12-19;1;36;3Mevw4GIzqLJXM0fCLjHjn;171607;0.368;0.407;5;-8.007;0;0.0309;0.866;0.0;0.11;0.428;105.406;0.428;https://api.spotify.com/v1/tracks/3Mevw4GIzqLJXM0fCLjHjn;4;spotify:track:3Mevw4GIzqLJXM0fCLjHjn;['bolero', 'mambo']
16;JMG_Top100_18;17;Jim Croce;I'll Have To Say I Love You In A Song;I Got a Name;1973-12-01;1;53;4t8tx6o7oM6Ax66ZUU361y;154626;0.536;0.446;9;-14.98;1;0.029;0.833;0.0103;0.106;0.707;133.785;0.707;https://api.spotify.com/v1/tracks/4t8tx6o7oM6Ax66ZUU361y;4;spotify:track:4t8tx6o7oM6Ax66ZUU361y;['adult standards', 'album rock', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']
17;JMG_Top100_18;18;SZA;The Weekend;Ctrl;2017-06-09;1;75;6gU9OKjOE7ghfEd55oRO57;272186;0.487;0.366;8;-9.405;0;0.0531;0.241;0.0;0.126;0.161;68.191;0.161;https://api.spotify.com/v1/tracks/6gU9OKjOE7ghfEd55oRO57;5;spotify:track:6gU9OKjOE7ghfEd55oRO57;['hip hop', 'pop', 'pop rap', 'r&b', 'rap']
18;JMG_Top100_18;19;The Whatnauts;I'll Erase Away Your Pain;Underground Oldies Vol. 7 - Rare and Hard to Find Soul Oldies;2000;1;31;3Dqe3FSnXsDQiPyiNcJy8X;190733;0.537;0.364;8;-13.975;1;0.0563;0.661;1.39e-06;0.126;0.513;120.951;0.513;https://api.spotify.com/v1/tracks/3Dqe3FSnXsDQiPyiNcJy8X;4;spotify:track:3Dqe3FSnXsDQiPyiNcJy8X;['classic soul']
19;JMG_Top100_18;20;Majid Jordan;Gave Your Love Away;The Space Between;2017-10-27;1;60;3V35bKSSm4usoSPjdaRGMx;285160;0.826;0.47;5;-5.487;0;0.0343;0.025;0.00337;0.1;0.541;100.989;0.541;https://api.spotify.com/v1/tracks/3V35bKSSm4usoSPjdaRGMx;4;spotify:track:3V35bKSSm4usoSPjdaRGMx;['alternative r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap soul']
20;JMG_Top100_18;21;La Lupe;Busamba;Reina de La Cancion Latina;2009;1;20;7suYPPZvDrVqr9V4MrtwiN;174186;0.515;0.726;0;-5.869;0;0.0328;0.32;4.29e-06;0.572;0.964;81.778;0.964;https://api.spotify.com/v1/tracks/7suYPPZvDrVqr9V4MrtwiN;4;spotify:track:7suYPPZvDrVqr9V4MrtwiN;['boogaloo', 'cuban rumba', 'latin jazz', 'mambo', 'salsa']
