;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;LB_Top100_18;1;Damso;Ipséité - Bonus Track;Lithopédion;2018-06-15;1;55;7vwk8KxzNnfBJIZUIHUGsJ;208357;0.779;0.659;1;-5.341;0;0.13;0.0885;0;0.0918;0.133;139.97;0.133;https://api.spotify.com/v1/tracks/7vwk8KxzNnfBJIZUIHUGsJ;4;spotify:track:7vwk8KxzNnfBJIZUIHUGsJ;['belgian hip hop', 'french hip hop', 'rap conscient', 'trap francais']
1;LB_Top100_18;2;Booba;Ça va aller;Trône;2017-12-01;1;4;61TEjsLb7OlStCTpQfcHnC;163826;0.735;0.784;1;-2.963;1;0.278;0.28;0;0.078;0.904;129.623;0.904;https://api.spotify.com/v1/tracks/61TEjsLb7OlStCTpQfcHnC;4;spotify:track:61TEjsLb7OlStCTpQfcHnC;['belgian hip hop', 'french hip hop', 'rap conscient', 'trap francais']
2;LB_Top100_18;3;Lomepal;Danse;FLIP (Deluxe);2017-12-01;1;54;25bpOTD1SwT662h9FBfcEP;291253;0.673;0.522;0;-9.304;1;0.0801;0.829;2.11e-05;0.084;0.394;129.655;0.394;https://api.spotify.com/v1/tracks/25bpOTD1SwT662h9FBfcEP;4;spotify:track:25bpOTD1SwT662h9FBfcEP;['french hip hop', 'rap conscient']
3;LB_Top100_18;4;Disiz La Peste;Autre espèce;Pacifique;2017-06-09;1;1;0gdwNqpqlkgyszpz696WT2;265906;0.664;0.576;8;-8.3;1;0.281;0.423;0;0.118;0.412;109.743;0.412;https://api.spotify.com/v1/tracks/0gdwNqpqlkgyszpz696WT2;4;spotify:track:0gdwNqpqlkgyszpz696WT2;['french hip hop', 'rap conscient', 'trap francais']
4;LB_Top100_18;5;Orelsan;La pluie (feat. Stromae);La fête est finie;2017-10-20;1;64;4cYFep5SECqb4EsSkF82e0;175346;0.694;0.759;2;-5.231;0;0.124;0.0756;0;0.255;0.777;86.037;0.777;https://api.spotify.com/v1/tracks/4cYFep5SECqb4EsSkF82e0;4;spotify:track:4cYFep5SECqb4EsSkF82e0;['belgian hip hop', 'french hip hop', 'rap conscient']
5;LB_Top100_18;6;Lorenzo;Tu le C;Rien à branler;2018-02-23;1;62;0js2ot9kRfw2VVQpeXK2Rt;167946;0.793;0.621;8;-5.376;0;0.297;0.0998;0;0.0981;0.398;161.845;0.398;https://api.spotify.com/v1/tracks/0js2ot9kRfw2VVQpeXK2Rt;4;spotify:track:0js2ot9kRfw2VVQpeXK2Rt;['francoton', 'french hip hop', 'rap conscient', 'trap francais']
6;LB_Top100_18;7;Kanye West;Real Friends;The Life Of Pablo;2016-06-10;1;7;4TsRQ0onK2Lmjw9TvomNJZ;251573;0.462;0.748;6;-6.264;0;0.465;0.263;0.000482;0.138;0.132;170.862;0.132;https://api.spotify.com/v1/tracks/4TsRQ0onK2Lmjw9TvomNJZ;4;spotify:track:4TsRQ0onK2Lmjw9TvomNJZ;['pop rap', 'rap']
7;LB_Top100_18;8;Trois Cafés Gourmands;À nos souvenirs;À nos souvenirs;2018-07-06;1;33;07hD8enBYY6mo2Mkyo8A8V;193373;0.799;0.583;4;-10.967;1;0.369;0.77;0;0.112;0.686;133.763;0.686;https://api.spotify.com/v1/tracks/07hD8enBYY6mo2Mkyo8A8V;4;spotify:track:07hD8enBYY6mo2Mkyo8A8V;['francoton']
8;LB_Top100_18;9;A$AP Rocky;A$AP Forever;A$AP Forever (feat. Moby);2018-04-05;1;73;1YmF9PvLhIISIANoMLIYGq;233061;0.469;0.78;10;-6.49;0;0.122;0.224;0;0.13;0.444;125.999;0.444;https://api.spotify.com/v1/tracks/1YmF9PvLhIISIANoMLIYGq;4;spotify:track:1YmF9PvLhIISIANoMLIYGq;['east coast hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'trap music']
9;LB_Top100_18;10;Kendrick Lamar;FEEL.;DAMN.;2017-04-14;1;65;2LTlO3NuNVN70lp2ZbVswF;214826;0.746;0.798;0;-8.382;1;0.349;0.137;0;0.139;0.553;109.968;0.553;https://api.spotify.com/v1/tracks/2LTlO3NuNVN70lp2ZbVswF;4;spotify:track:2LTlO3NuNVN70lp2ZbVswF;['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']
