;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;LL_Top100_18;1;Yazmin Lacey;90 Degrees;90 Degrees;2018-03-16;1;43;46T4UTffeX2GrfqAU1hGjZ;255024;0.633;0.493;1;-9.607;1;0.0509;0.164;0.00781;0.0591;0.469;147.759;0.469;https://api.spotify.com/v1/tracks/46T4UTffeX2GrfqAU1hGjZ;4;spotify:track:46T4UTffeX2GrfqAU1hGjZ;['alternative r&b', 'indie jazz', 'indie r&b', 'uk alternative hip hop']
1;LL_Top100_18;2;Izzy Bizu;Diamond;A Moment of Madness (Deluxe);2016-12-09;1;44;2DVs4laMiuNTJgBeT7Rg74;228360;0.422;0.484;9;-4.308;0;0.0596;0.566;1.14e-06;0.0614;0.348;76.048;0.348;https://api.spotify.com/v1/tracks/2DVs4laMiuNTJgBeT7Rg74;4;spotify:track:2DVs4laMiuNTJgBeT7Rg74;['neo soul']
2;LL_Top100_18;3;Amy Winehouse;Our Day Will Come;Lioness: Hidden Treasures;2011-01-01;1;63;4NDpn6yfD5aqafYWFEaJDz;169373;0.705;0.634;5;-6.083;0;0.0282;0.0405;3.53e-05;0.349;0.639;98.008;0.639;https://api.spotify.com/v1/tracks/4NDpn6yfD5aqafYWFEaJDz;4;spotify:track:4NDpn6yfD5aqafYWFEaJDz;['neo soul']
3;LL_Top100_18;4;John Maus;Hey Moon;We Must Become the Pitiless Censors of Ourselves;2011-06-28;1;50;0MpsyFvt1KaxNYBYw2aanq;248706;0.573;0.639;0;-7.143;1;0.0247;0.784;0.633;0.0923;0.24;89.575;0.24;https://api.spotify.com/v1/tracks/0MpsyFvt1KaxNYBYw2aanq;4;spotify:track:0MpsyFvt1KaxNYBYw2aanq;['alternative dance', 'art pop', 'chamber psych', 'chillwave', 'dance-punk', 'dream pop', 'experimental pop', 'freak folk', 'garage psych', 'grave wave', 'indie rock', 'indietronica', 'lo-fi', 'neo-psychedelic', 'new rave', 'noise pop', 'noise rock', 'nu gaze', 'preverb', 'shoegaze']
4;LL_Top100_18;5;Norah Jones;Don't Know Why;Come Away With Me;2002-02-26;1;73;6ybViy2qrO9sIi41EgRJgx;186146;0.732;0.198;5;-11.775;1;0.028;0.883;1.1e-05;0.0659;0.618;88.174;0.618;https://api.spotify.com/v1/tracks/6ybViy2qrO9sIi41EgRJgx;4;spotify:track:6ybViy2qrO9sIi41EgRJgx;['adult standards', 'neo mellow', 'vocal jazz']
5;LL_Top100_18;6;Sia;Lullaby;Some People Have Real Problems;2008;1;22;0wUnciQoFPVmApJVRGcraS;268906;0.489;0.21;7;-11.275;1;0.0282;0.928;0.000244;0.116;0.0683;94.032;0.0683;https://api.spotify.com/v1/tracks/0wUnciQoFPVmApJVRGcraS;3;spotify:track:0wUnciQoFPVmApJVRGcraS;['australian dance', 'australian pop', 'dance pop', 'pop']
6;LL_Top100_18;7;Alex Cameron;Stranger's Kiss (Duet with Angel Olsen);Forced Witness;2017-09-08;1;46;0QYBSRi2hKfkNFVwRJX3iz;241467;0.529;0.73;7;-5.342;1;0.0388;0.463;0.0;0.11;0.362;119.938;0.362;https://api.spotify.com/v1/tracks/0QYBSRi2hKfkNFVwRJX3iz;4;spotify:track:0QYBSRi2hKfkNFVwRJX3iz;['australian alternative rock']
7;LL_Top100_18;8;Taj Mahal;Satisfied 'N' Tickled Too;The Essential;1977;2;25;6AalBX9Zrs5LoEf8HLvFsP;324600;0.796;0.593;3;-9.881;1;0.0679;0.644;0.00429;0.361;0.819;134.572;0.819;https://api.spotify.com/v1/tracks/6AalBX9Zrs5LoEf8HLvFsP;4;spotify:track:6AalBX9Zrs5LoEf8HLvFsP;['acoustic blues', 'blues', 'blues-rock', 'classic rock', 'country blues', 'folk rock', 'funk', 'harmonica blues', 'jam band', 'jazz blues', 'mellow gold', 'modern blues', 'roots rock', 'soul', 'traditional blues']
8;LL_Top100_18;9;Dana Williams;Keep Me Waiting;Keep Me Waiting;2013-03-21;1;16;1TiWrYVOy9BCZWw6lUmvcH;140868;0.431;0.559;4;-6.751;0;0.0302;0.347;0.298;0.0845;0.353;114.165;0.353;https://api.spotify.com/v1/tracks/1TiWrYVOy9BCZWw6lUmvcH;4;spotify:track:1TiWrYVOy9BCZWw6lUmvcH;[]
9;LL_Top100_18;10;Kamasi Washington;Fists of Fury;Heaven and Earth;2018-06-22;1;49;3E8nzNloeto0X4PStdQwQA;583174;0.4;0.889;3;-8.315;0;0.1;0.284;0.78;0.0885;0.553;103.528;0.553;https://api.spotify.com/v1/tracks/3E8nzNloeto0X4PStdQwQA;4;spotify:track:3E8nzNloeto0X4PStdQwQA;['contemporary jazz', 'jazz saxophone']
