;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;LaB_Top100_18;1;LP;Into the Wild;Forever For Now (Deluxe Edition);2017-08-25;1;57;2gY0Ff8dmJNlCyQxDDqBEf;235213;0.548;0.915;7;-4.18;1;0.0556;0.0394;2.35e-05;0.163;0.235;144.002;0.235;https://api.spotify.com/v1/tracks/2gY0Ff8dmJNlCyQxDDqBEf;4;spotify:track:2gY0Ff8dmJNlCyQxDDqBEf;['indie rock']
1;LaB_Top100_18;2;Marco Armani;E' la vita;I successi;1999;1;44;1HotImCahCrlgDkzk6jZ8p;247906;0.691;0.432;0;-10.097;1;0.0252;0.0816;0.0;0.0637;0.471;82.03;0.471;https://api.spotify.com/v1/tracks/1HotImCahCrlgDkzk6jZ8p;4;spotify:track:1HotImCahCrlgDkzk6jZ8p;['classic italian pop']
2;LaB_Top100_18;3;Sufjan Stevens;The Hidden River of My Life;The Greatest Gift;2017-11-24;1;48;3WqhCcRJEQ3gyBisLqe5GH;244765;0.524;0.422;9;-12.676;1;0.0365;0.961;0.328;0.181;0.268;126.011;0.268;https://api.spotify.com/v1/tracks/3WqhCcRJEQ3gyBisLqe5GH;4;spotify:track:3WqhCcRJEQ3gyBisLqe5GH;['chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'singer-songwriter', 'stomp and holler']
3;LaB_Top100_18;4;The Psychedelic Furs;Love My Way;Forever Now;1982;1;57;4dk40nfaQav6b4ZsJ9OYUo;213973;0.637;0.85;0;-5.054;1;0.0351;0.0048;0.000179;0.152;0.52;126.106;0.52;https://api.spotify.com/v1/tracks/4dk40nfaQav6b4ZsJ9OYUo;4;spotify:track:4dk40nfaQav6b4ZsJ9OYUo;['alternative rock', 'art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'rock', 'uk post-punk']
4;LaB_Top100_18;5;Franco Battiato;Radio Varsavia - Remastered;L'Arca Di Noè (2008 Remastered Edition);1982;1;49;3lrWDf4tx6MgqXCFfw5mYx;253026;0.544;0.545;11;-8.957;1;0.0396;0.47;9.16e-05;0.106;0.404;163.756;0.404;https://api.spotify.com/v1/tracks/3lrWDf4tx6MgqXCFfw5mYx;4;spotify:track:3lrWDf4tx6MgqXCFfw5mYx;['classic italian pop', 'experimental', 'italian pop']
5;LaB_Top100_18;6;Ryuichi Sakamoto;M.A.Y. in the Backyard;Call Me By Your Name (Original Motion Picture Soundtrack);2017-11-03;1;44;5VBbrj45TD14B9CEylf7NP;265152;0.732;0.151;5;-14.16;1;0.0481;0.968;0.863;0.102;0.598;103.97;0.598;https://api.spotify.com/v1/tracks/5VBbrj45TD14B9CEylf7NP;4;spotify:track:5VBbrj45TD14B9CEylf7NP;['anime score', 'compositional ambient', 'fourth world', 'japanese classical', 'japanese soundtrack', 'soundtrack']
6;LaB_Top100_18;7;Bandolero;Paris Latino - Original Version 1983;Best of Bandolero (Le meilleur des années 80);2011;1;54;3LCup59DMpM3r6fwQsZMYs;241830;0.774;0.683;11;-7.432;0;0.137;0.109;0.00404;0.0853;0.683;114.976;0.683;https://api.spotify.com/v1/tracks/3LCup59DMpM3r6fwQsZMYs;4;spotify:track:3LCup59DMpM3r6fwQsZMYs;[]
7;LaB_Top100_18;8;Frank Glazer;Sonatine bureaucratique;Call Me By Your Name (Original Motion Picture Soundtrack);2017-11-03;1;42;6hAOaeoTGf9ReWA1DhUVLz;224802;0.421;0.197;9;-21.358;1;0.037;0.993;0.868;0.136;0.379;129.305;0.379;https://api.spotify.com/v1/tracks/6hAOaeoTGf9ReWA1DhUVLz;4;spotify:track:6hAOaeoTGf9ReWA1DhUVLz;[]
8;LaB_Top100_18;9;Ruth B.;In My Dreams;In My Dreams;2016-11-11;1;46;42RlkMr2aBSuqISj2hTIZS;248413;0.282;0.277;4;-8.188;1;0.0401;0.841;0.0;0.1;0.213;75.879;0.213;https://api.spotify.com/v1/tracks/42RlkMr2aBSuqISj2hTIZS;4;spotify:track:42RlkMr2aBSuqISj2hTIZS;['dance pop', 'pop', 'post-teen pop', 'viral pop']
9;LaB_Top100_18;10;Giorgio Moroder;Lady, Lady - Remastered;Best of Electronic Disco (Deluxe Edition);2013-05-20;1;35;4VtJTfI5sEOCzRAaAM5DQa;255960;0.531;0.602;4;-6.854;0;0.0264;0.26;0.000104;0.597;0.508;83.568;0.508;https://api.spotify.com/v1/tracks/4VtJTfI5sEOCzRAaAM5DQa;4;spotify:track:4VtJTfI5sEOCzRAaAM5DQa;['disco']
