;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;MC_Top100_18;1;The Rubens;God Forgot;LO LA RU;2018-06-29;1;34;28oEFK4wlSNogQ6auHEMG9;212173;0.692;0.737;8;-5.798;1;0.15;0.449;4.78e-06;0.462;0.487;118.897;0.487;https://api.spotify.com/v1/tracks/28oEFK4wlSNogQ6auHEMG9;4;spotify:track:28oEFK4wlSNogQ6auHEMG9;['australian indie', 'australian pop']
1;MC_Top100_18;2;Portugal. The Man;So Young;Woodstock;2017-06-16;1;64;4SNtyKNyYJ8ERT7YLlnFBr;246480;0.671;0.445;4;-7.842;0;0.0291;0.348;5.93e-05;0.155;0.811;75.996;0.811;https://api.spotify.com/v1/tracks/4SNtyKNyYJ8ERT7YLlnFBr;4;spotify:track:4SNtyKNyYJ8ERT7YLlnFBr;['indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'neo-psychedelic']
2;MC_Top100_18;3;George Ezra;Paradise;Staying at Tamara's;2018-03-23;1;78;38zwkK6TtTjIW9tpYBfZ3D;222044;0.642;0.881;11;-3.537;1;0.0393;0.209;0.0;0.21;0.913;138.03;0.913;https://api.spotify.com/v1/tracks/38zwkK6TtTjIW9tpYBfZ3D;4;spotify:track:38zwkK6TtTjIW9tpYBfZ3D;['neo-singer-songwriter', 'pop']
3;MC_Top100_18;4;Ocean Alley;Baby Come Back;Baby Come Back (triple j Like A Version);2018-05-18;1;58;1eFxr88BIIqwcrvA28Y44y;289065;0.492;0.544;8;-9.13;1;0.0449;0.11;2.6e-05;0.0934;0.373;148.674;0.373;https://api.spotify.com/v1/tracks/1eFxr88BIIqwcrvA28Y44y;4;spotify:track:1eFxr88BIIqwcrvA28Y44y;['australian indie', 'australian reggae fusion']
4;MC_Top100_18;5;Parcels;Tieduprightnow;Tieduprightnow;2018-04-27;1;46;6HjqCEeNyjquM5ZQ1CIEJ2;249956;0.863;0.533;5;-7.986;0;0.0484;0.291;0.00126;0.0794;0.738;102.025;0.738;https://api.spotify.com/v1/tracks/6HjqCEeNyjquM5ZQ1CIEJ2;4;spotify:track:6HjqCEeNyjquM5ZQ1CIEJ2;['aussietronica', 'french indietronica']
5;MC_Top100_18;6;Louane;Toute la musique que j'aime;On a tous quelque chose de Johnny;2017-11-17;1;0;4MQbZDfzpwWDdYmmt0X7Od;255333;0.709;0.462;0;-5.137;1;0.0272;0.639;1.86e-06;0.0977;0.589;101.962;0.589;https://api.spotify.com/v1/tracks/4MQbZDfzpwWDdYmmt0X7Od;4;spotify:track:4MQbZDfzpwWDdYmmt0X7Od;['francoton', 'french pop']
6;MC_Top100_18;7;Queen;Don't Stop Me Now - Remastered;Jazz (2011 Remaster);1978-11-10;1;86;5T8EDUDqKcs6OSOwEsfqG7;209413;0.559;0.868;5;-5.276;1;0.17;0.0475;0.000176;0.776;0.609;156.295;0.609;https://api.spotify.com/v1/tracks/5T8EDUDqKcs6OSOwEsfqG7;4;spotify:track:5T8EDUDqKcs6OSOwEsfqG7;['glam rock', 'rock']
7;MC_Top100_18;8;Jungle;Heavy, California;Heavy, California;2018-07-27;1;56;2UfsAhtqK6uH8NYa5glrpm;184599;0.674;0.713;6;-7.46;0;0.036;0.0733;0.139;0.169;0.704;111.017;0.704;https://api.spotify.com/v1/tracks/2UfsAhtqK6uH8NYa5glrpm;4;spotify:track:2UfsAhtqK6uH8NYa5glrpm;['uk contemporary r&b']
8;MC_Top100_18;9;Lady Gaga;Shallow - Radio Edit;A Star Is Born Soundtrack (Without Dialogue);2018-10-05;1;87;6QfS2wq5sSC1xAJCQsTSlj;217212;0.575;0.33;7;-6.557;1;0.031;0.416;0.0;0.0872;0.277;95.801;0.277;https://api.spotify.com/v1/tracks/6QfS2wq5sSC1xAJCQsTSlj;4;spotify:track:6QfS2wq5sSC1xAJCQsTSlj;['dance pop', 'pop']
9;MC_Top100_18;10;L'Impératrice;Agitations tropicales;Odyssée - EP;2015-10-12;1;58;2La21GqU4fKTQLcfLxTeoz;248892;0.76;0.401;1;-9.537;0;0.0674;0.564;0.259;0.0977;0.619;115.989;0.619;https://api.spotify.com/v1/tracks/2La21GqU4fKTQLcfLxTeoz;4;spotify:track:2La21GqU4fKTQLcfLxTeoz;['filter house', 'french indie pop', 'french indietronica']
10;MC_Top100_18;11;Christine and the Queens;La marcheuse;Chris;2018-09-21;1;57;2BOByNxwBWB1ugiL4IQqvI;256053;0.822;0.588;1;-5.927;1;0.0501;0.385;2.96e-05;0.116;0.542;106.95;0.542;https://api.spotify.com/v1/tracks/2BOByNxwBWB1ugiL4IQqvI;4;spotify:track:2BOByNxwBWB1ugiL4IQqvI;['art pop', 'metropopolis', 'shimmer pop']
11;MC_Top100_18;12;The Rubens;Casper;LO LA RU;2018-06-29;1;30;7zwHxedNwwUJn151jiurfp;181106;0.814;0.745;9;-4.153;0;0.0299;0.291;0.0129;0.124;0.802;104.998;0.802;https://api.spotify.com/v1/tracks/7zwHxedNwwUJn151jiurfp;4;spotify:track:7zwHxedNwwUJn151jiurfp;['australian indie', 'australian pop']
12;MC_Top100_18;13;Lenny Kravitz;Low;Raise Vibration;2018-09-07;1;56;2E5ufno5JwzZiA96JiHUGN;318986;0.803;0.682;8;-3.459;0;0.037;0.0516;0.000223;0.0456;0.926;106.431;0.926;https://api.spotify.com/v1/tracks/2E5ufno5JwzZiA96JiHUGN;4;spotify:track:2E5ufno5JwzZiA96JiHUGN;['permanent wave', 'pop rock', 'rock']
13;MC_Top100_18;14;Her;Five Minutes;Her;2018-03-30;1;61;7LqT7LqKsCh6epYR9UdAlP;228506;0.612;0.561;10;-7.038;0;0.0529;0.415;0.000758;0.104;0.446;100.125;0.446;https://api.spotify.com/v1/tracks/7LqT7LqKsCh6epYR9UdAlP;4;spotify:track:7LqT7LqKsCh6epYR9UdAlP;['french indie pop', 'french indietronica']
14;MC_Top100_18;15;Rudimental;These Days (feat. Jess Glynne, Macklemore & Dan Caplen);These Days (feat. Jess Glynne, Macklemore & Dan Caplen);2018-01-19;1;85;5CLGzJsGqhCEECcpnFQA8x;210772;0.653;0.809;0;-4.057;1;0.0474;0.194;0.0;0.165;0.55;92.213;0.55;https://api.spotify.com/v1/tracks/5CLGzJsGqhCEECcpnFQA8x;4;spotify:track:5CLGzJsGqhCEECcpnFQA8x;['dance pop', 'edm', 'liquid funk', 'pop', 'pop rap', 'tropical house', 'uk funky']
15;MC_Top100_18;16;Ocean Alley;Confidence;Chiaroscuro;2018-03-09;1;65;7to68V64Cu6zk0UDo5tyw3;253076;0.59;0.562;11;-9.607;0;0.0505;0.0637;0.0;0.105;0.561;140.835;0.561;https://api.spotify.com/v1/tracks/7to68V64Cu6zk0UDo5tyw3;4;spotify:track:7to68V64Cu6zk0UDo5tyw3;['australian indie', 'australian reggae fusion']
16;MC_Top100_18;17;Arctic Monkeys;Four Out Of Five;Tranquility Base Hotel & Casino;2018-05-10;1;64;5Z5nbOXhsSbySVC7WUc6y9;312346;0.601;0.863;0;-4.31;1;0.0685;0.0626;0.0;0.0717;0.676;130.189;0.676;https://api.spotify.com/v1/tracks/5Z5nbOXhsSbySVC7WUc6y9;4;spotify:track:5Z5nbOXhsSbySVC7WUc6y9;['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']
17;MC_Top100_18;18;Fleetwood Mac;"The Chain - Remastered LP Version; Remastered";Rumours;1977-02-04;1;66;7Dm3dV3WPNdTgxoNY7YFnc;269813;0.522;0.755;9;-6.95;1;0.0524;0.0517;6.63e-05;0.0781;0.637;151.796;0.637;https://api.spotify.com/v1/tracks/7Dm3dV3WPNdTgxoNY7YFnc;4;spotify:track:7Dm3dV3WPNdTgxoNY7YFnc;['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']
18;MC_Top100_18;19;Juliette Armanet;A la Folie;Petite Amie (Deluxe);2018-02-02;1;16;7AMGeVsZTK6wBInThlUrqM;238346;0.7;0.562;5;-5.248;1;0.0244;0.142;0.0279;0.0985;0.228;102.977;0.228;https://api.spotify.com/v1/tracks/7AMGeVsZTK6wBInThlUrqM;4;spotify:track:7AMGeVsZTK6wBInThlUrqM;['chanson', 'french indie pop', 'french indietronica']
19;MC_Top100_18;20;Jungle;Happy Man;Happy Man;2018-05-08;1;60;11xRCe6bPQ9fRhz70dqF9N;190318;0.593;0.563;9;-6.409;0;0.0326;0.161;1.66e-05;0.0675;0.141;108.014;0.141;https://api.spotify.com/v1/tracks/11xRCe6bPQ9fRhz70dqF9N;4;spotify:track:11xRCe6bPQ9fRhz70dqF9N;['uk contemporary r&b']
20;MC_Top100_18;21;Jorja Smith;Lost & Found;Lost & Found;2018-06-08;1;44;3cLconQqNGfnMbXcToc8Fq;314433;0.615;0.505;0;-8.891;1;0.108;0.245;0.002;0.105;0.328;76.038;0.328;https://api.spotify.com/v1/tracks/3cLconQqNGfnMbXcToc8Fq;4;spotify:track:3cLconQqNGfnMbXcToc8Fq;['indie r&b', 'pop', 'r&b', 'uk contemporary r&b']
21;MC_Top100_18;22;Alice Merton;Lash Out;Lash Out;2018-04-06;1;50;1Hpa5UagE5gp5gLzgFjkzX;194520;0.744;0.77;9;-4.071;0;0.0531;0.0264;1.27e-05;0.133;0.901;128.005;0.901;https://api.spotify.com/v1/tracks/1Hpa5UagE5gp5gLzgFjkzX;4;spotify:track:1Hpa5UagE5gp5gLzgFjkzX;['modern rock']
22;MC_Top100_18;23;The Rubens;Mary;LO LA RU;2018-06-29;1;28;5TxChGir8ryFHJRW5pAAfH;192533;0.698;0.594;0;-6.04;1;0.0283;0.517;0.0;0.108;0.533;90.026;0.533;https://api.spotify.com/v1/tracks/5TxChGir8ryFHJRW5pAAfH;4;spotify:track:5TxChGir8ryFHJRW5pAAfH;['australian indie', 'australian pop']
