;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;MD_Top100_18;1;Chris Young;Gettin' You Home;The Man I Want To Be;2009-08-27;1;60;28Sc21lrWcZD9Ov4rRkPJq;212133;0.639;0.678;7;-5.02;1;0.0278;0.44;1.45e-06;0.221;0.531;106.966;0.531;https://api.spotify.com/v1/tracks/28Sc21lrWcZD9Ov4rRkPJq;4;spotify:track:28Sc21lrWcZD9Ov4rRkPJq;['canadian contemporary country', 'contemporary country', 'country', 'country road', 'modern country rock']
1;MD_Top100_18;2;Drake;Nice For What;Nice For What;2018-04-06;1;38;1cTZMwcBJT0Ka3UJPXOeeN;210925;0.567;0.913;8;-6.471;1;0.0736;0.0934;0.000124;0.114;0.792;93.35;0.792;https://api.spotify.com/v1/tracks/1cTZMwcBJT0Ka3UJPXOeeN;4;spotify:track:1cTZMwcBJT0Ka3UJPXOeeN;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']
2;MD_Top100_18;3;Chris Stapleton;Millionaire;From A Room: Volume 2;2017-12-01;1;68;68JS5SFTnW5Yv9Vzw81Jf0;210133;0.602;0.463;10;-9.666;1;0.0279;0.165;0.00968;0.0975;0.454;142.635;0.454;https://api.spotify.com/v1/tracks/68JS5SFTnW5Yv9Vzw81Jf0;4;spotify:track:68JS5SFTnW5Yv9Vzw81Jf0;['contemporary country']
3;MD_Top100_18;4;Luke Bryan;Most People Are Good;What Makes You Country;2017-12-08;1;69;79LAFAkR1ATb4iIQvZuCL0;221800;0.582;0.728;8;-6.151;1;0.0292;0.174;0.0;0.139;0.537;150.013;0.537;https://api.spotify.com/v1/tracks/79LAFAkR1ATb4iIQvZuCL0;4;spotify:track:79LAFAkR1ATb4iIQvZuCL0;['contemporary country', 'country', 'country road']
4;MD_Top100_18;5;J-AX;Italiana;Italiana;2018-05-04;1;67;0ptaq4BSl6jrXfGyLzJjYE;174172;0.686;0.744;5;-7.122;0;0.111;0.0302;0.0;0.0486;0.637;121.839;0.637;https://api.spotify.com/v1/tracks/0ptaq4BSl6jrXfGyLzJjYE;4;spotify:track:0ptaq4BSl6jrXfGyLzJjYE;['italian arena pop', 'italian hip hop', 'italian pop']
5;MD_Top100_18;6;Jake Owen;I Was Jack (You Were Diane);Jake Owen;2018-04-06;1;22;0L1ZDS8joLUUwUeqWZsEg6;188013;0.612;0.878;6;-3.556;1;0.0452;0.0875;0.0;0.0505;0.599;94.014;0.599;https://api.spotify.com/v1/tracks/0L1ZDS8joLUUwUeqWZsEg6;4;spotify:track:0L1ZDS8joLUUwUeqWZsEg6;['canadian contemporary country', 'contemporary country', 'country', 'country road', 'modern country rock']
6;MD_Top100_18;7;Kacey Musgraves;High Horse;Golden Hour;2018-03-30;1;66;2U2Z1IXnmJIvlknWizFykZ;213693;0.725;0.674;11;-5.254;0;0.0363;0.0325;3.55e-06;0.0531;0.773;120.057;0.773;https://api.spotify.com/v1/tracks/2U2Z1IXnmJIvlknWizFykZ;4;spotify:track:2U2Z1IXnmJIvlknWizFykZ;['contemporary country', 'country dawn']
7;MD_Top100_18;8;Khalid;Saturday Nights;Suncity;2018-10-19;1;89;7vGGAJBkHKxKtOnGjQduDV;209546;0.54;0.439;10;-8.591;1;0.115;0.635;1.93e-05;0.0993;0.371;167.908;0.371;https://api.spotify.com/v1/tracks/7vGGAJBkHKxKtOnGjQduDV;4;spotify:track:7vGGAJBkHKxKtOnGjQduDV;['pop']
8;MD_Top100_18;9;Eric Church;Record Year;Mr. Misunderstood;2015-11-11;1;68;5fSPbm5lcwtqwXkeQQswW8;179346;0.589;0.641;5;-8.12;1;0.0838;0.205;0.0;0.0864;0.57;160.031;0.57;https://api.spotify.com/v1/tracks/5fSPbm5lcwtqwXkeQQswW8;4;spotify:track:5fSPbm5lcwtqwXkeQQswW8;['contemporary country', 'country', 'country road', 'modern country rock']
9;MD_Top100_18;10;Kanye West;All Mine;ye;2018-06-01;1;58;3qnoOm4fwZPBS116f5hpgF;145506;0.925;0.308;11;-6.562;0;0.338;0.125;0.0;0.0933;0.265;122.099;0.265;https://api.spotify.com/v1/tracks/3qnoOm4fwZPBS116f5hpgF;4;spotify:track:3qnoOm4fwZPBS116f5hpgF;['pop rap', 'rap']
