;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;MM_Top100_18;1;George Ezra;Paradise;Staying at Tamara's;2018-03-23;1;78;38zwkK6TtTjIW9tpYBfZ3D;222044;0.642;0.881;11;-3.537;1;0.0393;0.209;0;0.21;0.913;138.03;0.913;https://api.spotify.com/v1/tracks/38zwkK6TtTjIW9tpYBfZ3D;4;spotify:track:38zwkK6TtTjIW9tpYBfZ3D;['neo-singer-songwriter', 'pop']
1;MM_Top100_18;2;Milky Chance;Firebird;Blossom (Deluxe);2017-03-17;1;53;7HFJ3tFuZcewzkQglQOtTZ;221640;0.756;0.647;2;-8.108;1;0.0347;0.0355;0.00873;0.17;0.395;109.987;0.395;https://api.spotify.com/v1/tracks/7HFJ3tFuZcewzkQglQOtTZ;4;spotify:track:7HFJ3tFuZcewzkQglQOtTZ;['german pop']
2;MM_Top100_18;3;Jon Bellion;All Time Low;The Human Condition;2016-06-10;1;74;1CnPYaKxTVb4LWOtiGOm0m;217603;0.617;0.567;0;-4.188;1;0.0828;0.0584;0;0.0933;0.505;90.246;0.505;https://api.spotify.com/v1/tracks/1CnPYaKxTVb4LWOtiGOm0m;4;spotify:track:1CnPYaKxTVb4LWOtiGOm0m;['modern rock', 'pop', 'pop rap']
3;MM_Top100_18;4;Parcels;Tieduprightnow;Tieduprightnow;2018-04-27;1;46;6HjqCEeNyjquM5ZQ1CIEJ2;249956;0.863;0.533;5;-7.986;0;0.0484;0.291;0.00126;0.0794;0.738;102.025;0.738;https://api.spotify.com/v1/tracks/6HjqCEeNyjquM5ZQ1CIEJ2;4;spotify:track:6HjqCEeNyjquM5ZQ1CIEJ2;['aussietronica', 'french indietronica']
4;MM_Top100_18;5;Jain;Oh Man;Souldier;2018-08-24;1;66;0F3fscqwFqD52Tpbep5hBW;204133;0.878;0.477;7;-7.431;0;0.0448;0.183;0.0299;0.0729;0.787;119.967;0.787;https://api.spotify.com/v1/tracks/0F3fscqwFqD52Tpbep5hBW;4;spotify:track:0F3fscqwFqD52Tpbep5hBW;['french indie pop']
5;MM_Top100_18;6;P!nk;Beautiful Trauma;Beautiful Trauma;2017-10-13;1;71;2DlIwu1iDTILEMXA7MUotn;250053;0.412;0.619;7;-6.39;1;0.0725;0.0868;2.55e-06;0.4;0.234;95.977;0.234;https://api.spotify.com/v1/tracks/2DlIwu1iDTILEMXA7MUotn;4;spotify:track:2DlIwu1iDTILEMXA7MUotn;['dance pop', 'pop', 'post-teen pop']
6;MM_Top100_18;7;The Rubens;Hoops;Hoops;2016-02-19;1;48;4yUZPM6OfAY1KJik9rsveW;158946;0.738;0.517;8;-5.82;0;0.0321;0.248;2.27e-05;0.468;0.772;96.037;0.772;https://api.spotify.com/v1/tracks/4yUZPM6OfAY1KJik9rsveW;4;spotify:track:4yUZPM6OfAY1KJik9rsveW;['australian indie', 'australian pop']
7;MM_Top100_18;8;Elephanz;Maryland;Elephanz;2017-10-13;1;56;2VXhNd2IzaR9ZtndCUq7hu;198413;0.732;0.728;5;-4.266;0;0.0308;0.00357;1.26e-06;0.0713;0.828;102.377;0.828;https://api.spotify.com/v1/tracks/2VXhNd2IzaR9ZtndCUq7hu;4;spotify:track:2VXhNd2IzaR9ZtndCUq7hu;['french indie pop', 'french indietronica', 'french rock']
8;MM_Top100_18;9;Dua Lipa;IDGAF;Dua Lipa (Deluxe);2017-06-02;1;86;76cy1WJvNGJTj78UqeA5zr;217946;0.836;0.544;7;-5.975;1;0.0943;0.0403;0;0.0824;0.51;97.028;0.51;https://api.spotify.com/v1/tracks/76cy1WJvNGJTj78UqeA5zr;4;spotify:track:76cy1WJvNGJTj78UqeA5zr;['dance pop', 'pop', 'post-teen pop']
9;MM_Top100_18;10;Rusted Root;Send Me On My Way;Music From Party of Five;1996-11-12;1;72;6hs3SDnbO3f6VQuPO4KBEb;263333;0.5;0.681;0;-9.556;1;0.0672;0.114;4.01e-05;0.139;0.745;119.46;0.745;https://api.spotify.com/v1/tracks/6hs3SDnbO3f6VQuPO4KBEb;4;spotify:track:6hs3SDnbO3f6VQuPO4KBEb;['jam band']
