;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;MiC_Top100_18;1;Macklemore;Glorious (feat. Skylar Grey);GEMINI;2017-09-22;1;79;0CokSRCu5hZgPxcZBaEzVE;220454;0.731;0.794;0;-5.126;0;0.0522;0.0323;2.59e-05;0.112;0.356;139.994;0.356;https://api.spotify.com/v1/tracks/0CokSRCu5hZgPxcZBaEzVE;4;spotify:track:0CokSRCu5hZgPxcZBaEzVE;['pop rap']
1;MiC_Top100_18;2;Camila Cabello;Havana;Camila;2018-01-12;1;88;1rfofaqEpACxVEHIZBJe6W;217306;0.765;0.523;2;-4.333;1;0.03;0.184;3.56e-05;0.132;0.394;104.988;0.394;https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W;4;spotify:track:1rfofaqEpACxVEHIZBJe6W;['dance pop', 'pop', 'post-teen pop', 'r&b']
2;MiC_Top100_18;3;Orelsan;Basique;La fête est finie;2017-10-20;1;61;2ICdvchXmDh5mdLyyL2opB;163986;0.827;0.625;11;-5.996;0;0.269;0.331;6.23e-06;0.109;0.587;132.068;0.587;https://api.spotify.com/v1/tracks/2ICdvchXmDh5mdLyyL2opB;4;spotify:track:2ICdvchXmDh5mdLyyL2opB;['belgian hip hop', 'french hip hop', 'rap conscient']
3;MiC_Top100_18;4;Alligatoah;Willst du;Triebwerke;2013-08-02;1;64;3g62kHCCbNwhEKYywx5Xwz;218964;0.733;0.751;11;-6.171;1;0.0828;0.631;0.0;0.149;0.701;126.018;0.701;https://api.spotify.com/v1/tracks/3g62kHCCbNwhEKYywx5Xwz;4;spotify:track:3g62kHCCbNwhEKYywx5Xwz;['deep german hip hop', 'german hip hop']
4;MiC_Top100_18;5;San Holo;Light;Light (Remixes) - EP;2017-06-23;1;5;7zTx8ePYAmPFQuxP3xlXZn;239853;0.57;0.763;1;-4.137;1;0.0573;0.0857;2.49e-06;0.0932;0.43;150.088;0.43;https://api.spotify.com/v1/tracks/7zTx8ePYAmPFQuxP3xlXZn;4;spotify:track:7zTx8ePYAmPFQuxP3xlXZn;['bass trap', 'edm', 'electro house', 'electronic trap', 'pop', 'tropical house', 'vapor twitch']
5;MiC_Top100_18;6;Jain;Alright;Souldier;2018-08-24;1;62;44ahv3Zj4FOJoy8gJLZF9B;222493;0.685;0.611;8;-8.057;0;0.068;0.0181;6.64e-06;0.035;0.598;184.055;0.598;https://api.spotify.com/v1/tracks/44ahv3Zj4FOJoy8gJLZF9B;4;spotify:track:44ahv3Zj4FOJoy8gJLZF9B;['french indie pop']
6;MiC_Top100_18;7;Bliss n Eso;Coolin' (feat. Dizzy Wright & Rob Curly);Off The Grid;2017-04-28;1;52;470UpuV1VHinMUBNe0nyzP;328293;0.77;0.698;5;-6.857;1;0.176;0.185;0.0;0.115;0.805;130.038;0.805;https://api.spotify.com/v1/tracks/470UpuV1VHinMUBNe0nyzP;4;spotify:track:470UpuV1VHinMUBNe0nyzP;['australian hip hop', 'pop rap']
7;MiC_Top100_18;8;Macklemore & Ryan Lewis;Thin Line (feat. Buffalo Madonna);The Heist [Deluxe Edition];2012-10-09;1;47;77AB0zqvso8ALKUZ2HG2mG;256179;0.713;0.813;1;-6.54;1;0.26;0.619;1.43e-05;0.122;0.12;104.8;0.12;https://api.spotify.com/v1/tracks/77AB0zqvso8ALKUZ2HG2mG;4;spotify:track:77AB0zqvso8ALKUZ2HG2mG;['dance pop', 'pop', 'pop rap']
8;MiC_Top100_18;9;Izzy Bizu;Sweat (A La La La La Long);Sweat (A La La La La Long);2016-04-29;1;36;2ZSnbPsmq6keL3U1tHXfiV;169840;0.868;0.382;0;-8.259;1;0.304;0.431;0.0;0.283;0.422;82.986;0.422;https://api.spotify.com/v1/tracks/2ZSnbPsmq6keL3U1tHXfiV;4;spotify:track:2ZSnbPsmq6keL3U1tHXfiV;['neo soul']
9;MiC_Top100_18;10;The Weeknd;Starboy;Starboy;2016-11-25;1;25;5aAx2yezTd8zXrkmtKl66Z;230453;0.681;0.594;7;-7.028;1;0.282;0.165;3.49e-06;0.134;0.535;186.054;0.535;https://api.spotify.com/v1/tracks/5aAx2yezTd8zXrkmtKl66Z;4;spotify:track:5aAx2yezTd8zXrkmtKl66Z;['canadian contemporary r&b', 'canadian pop', 'pop', 'rap']
10;MiC_Top100_18;11;Sia;The Greatest;This Is Acting (Deluxe Version);2016-10-21;1;76;7xHWNBFm6ObGEQPaUxHuKO;210226;0.668;0.725;1;-6.127;1;0.266;0.0102;0.000479;0.0561;0.729;191.944;0.729;https://api.spotify.com/v1/tracks/7xHWNBFm6ObGEQPaUxHuKO;4;spotify:track:7xHWNBFm6ObGEQPaUxHuKO;['australian dance', 'australian pop', 'dance pop', 'pop']
11;MiC_Top100_18;12;Macklemore;Good Old Days (feat. Kesha);GEMINI;2017-09-22;1;74;2Za1AlJNvksouPPWbXpR2X;240506;0.712;0.51;8;-8.162;1;0.0633;0.446;2.46e-05;0.112;0.268;122.964;0.268;https://api.spotify.com/v1/tracks/2Za1AlJNvksouPPWbXpR2X;4;spotify:track:2Za1AlJNvksouPPWbXpR2X;['pop rap']
12;MiC_Top100_18;13;LP;Lost on You;Lost on You;2016-12-09;1;69;3SqvR3HYLlCTYzbDXJ52OC;268105;0.433;0.724;5;-6.126;0;0.0372;0.1;0.0;0.0918;0.689;174.006;0.689;https://api.spotify.com/v1/tracks/3SqvR3HYLlCTYzbDXJ52OC;4;spotify:track:3SqvR3HYLlCTYzbDXJ52OC;['indie rock']
13;MiC_Top100_18;14;Powell Sullivan;Perfect;Perfect;2017-11-08;1;54;7mFKhrFYjNsC2IMHCMzsDg;281302;0.508;0.267;0;-6.316;1;0.0285;0.85;0.0;0.111;0.344;143.699;0.344;https://api.spotify.com/v1/tracks/7mFKhrFYjNsC2IMHCMzsDg;3;spotify:track:7mFKhrFYjNsC2IMHCMzsDg;[]
14;MiC_Top100_18;15;Aventura;Obsesion;We Broke The Rules;2002-06-01;1;72;65H6t1WQBim6q93yM8fEwn;254720;0.803;0.56;1;-6.912;0;0.0398;0.419;0.0;0.0608;0.77;133.679;0.77;https://api.spotify.com/v1/tracks/65H6t1WQBim6q93yM8fEwn;4;spotify:track:65H6t1WQBim6q93yM8fEwn;['bachata', 'latin', 'latin hip hop', 'latin pop', 'tropical']
15;MiC_Top100_18;16;I Am Soyuz;Build on Fire;Build on Fire;2015-07-13;1;7;6owyJF6zo7QqvXePoRqslf;108202;0.688;0.3;5;-8.151;1;0.128;0.888;3.29e-06;0.291;0.479;131.678;0.479;https://api.spotify.com/v1/tracks/6owyJF6zo7QqvXePoRqslf;4;spotify:track:6owyJF6zo7QqvXePoRqslf;[]
