;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
0;SK_Top100_18;1;Olivia Foa'i;Logo Te Pate;Moana (Original Motion Picture Soundtrack/Deluxe Edition);2016-11-18;1;60;29GNq0bPjVrqpISQGwj8Yx;130173;0.742;0.807;11;-7.208;1;0.0664;0.284;6.64e-05;0.0719;0.923;137.89;0.923;https://api.spotify.com/v1/tracks/29GNq0bPjVrqpISQGwj8Yx;4;spotify:track:29GNq0bPjVrqpISQGwj8Yx;[]
1;SK_Top100_18;2;Charlotte Gainsbourg;Deadly Valentine;Rest;2017-11-17;1;35;2h6KyPBY09IPssstXd40jg;364986;0.461;0.545;11;-8.166;1;0.046;0.0297;0.0471;0.0928;0.408;104.97;0.408;https://api.spotify.com/v1/tracks/2h6KyPBY09IPssstXd40jg;4;spotify:track:2h6KyPBY09IPssstXd40jg;['art pop', 'chanson']
2;SK_Top100_18;3;Bijelo Dugme;Ako Možeš, Zaboravi;Uspavanka Za Radmilu M.;1983-02-08;1;17;1YoRoRMRq4yOsZ5TSBlTrE;299440;0.636;0.777;0;-6.464;0;0.0341;0.194;0.00223;0.264;0.662;112.514;0.662;https://api.spotify.com/v1/tracks/1YoRoRMRq4yOsZ5TSBlTrE;4;spotify:track:1YoRoRMRq4yOsZ5TSBlTrE;['croatian pop', 'croatian rock', 'turbo folk', 'yugoslav rock']
3;SK_Top100_18;4;Peking Duk;Wasted;Wasted;2018-02-02;1;60;6S5lBW22Re1UPKXjX7obLC;182370;0.693;0.76;11;-5.433;1;0.0353;0.00169;0.000977;0.121;0.751;114.996;0.751;https://api.spotify.com/v1/tracks/6S5lBW22Re1UPKXjX7obLC;4;spotify:track:6S5lBW22Re1UPKXjX7obLC;['aussietronica', 'australian electropop', 'australian indie', 'australian pop', 'edm']
4;SK_Top100_18;5;Adele;Send My Love (To Your New Lover);Send My Love (To Your New Lover);2016-05-16;1;54;4JHIOQE4nAtUSfGuzDLjYa;223078;0.688;0.532;6;-8.361;0;0.0875;0.0356;3.08e-06;0.172;0.565;164.068;0.565;https://api.spotify.com/v1/tracks/4JHIOQE4nAtUSfGuzDLjYa;4;spotify:track:4JHIOQE4nAtUSfGuzDLjYa;['pop']
5;SK_Top100_18;6;Buena Vista Social Club;Chan Chan;Buena Vista Social Club;1997-09-16;1;67;7DqTaelFf846rl1CHmyfOW;257737;0.506;0.433;2;-14.183;0;0.0345;0.842;0.0311;0.112;0.641;83.222;0.641;https://api.spotify.com/v1/tracks/7DqTaelFf846rl1CHmyfOW;4;spotify:track:7DqTaelFf846rl1CHmyfOW;['latin jazz', 'world']
6;SK_Top100_18;7;S.A.R.S.;Lutka;S.A.R.S. 5;2018-04-20;2;14;2h6034Rm0Gz3BfhOiz4G7v;225000;0.564;0.466;2;-5.968;1;0.0359;0.423;0.0;0.151;0.315;160.069;0.315;https://api.spotify.com/v1/tracks/2h6034Rm0Gz3BfhOiz4G7v;4;spotify:track:2h6034Rm0Gz3BfhOiz4G7v;['yugoslav rock']
7;SK_Top100_18;8;Giuseppe Verdi;"Rigoletto / Act 3: ""La donna è mobile""";The People's Tenor;2017-09-01;1;32;5jQxECxdxelLe0QvltmKUq;143329;0.338;0.21;6;-12.905;1;0.0364;0.96;1.97e-05;0.0873;0.428;140.395;0.428;https://api.spotify.com/v1/tracks/5jQxECxdxelLe0QvltmKUq;3;spotify:track:5jQxECxdxelLe0QvltmKUq;['classical', 'italian opera', 'late romantic era']
8;SK_Top100_18;9;Ariana Grande;Side To Side;Dangerous Woman;2016-05-20;1;83;1pKeFVVUOPjFsOABub0OaV;226160;0.65;0.736;6;-5.84;0;0.229;0.0513;0.0;0.235;0.612;159.174;0.612;https://api.spotify.com/v1/tracks/1pKeFVVUOPjFsOABub0OaV;4;spotify:track:1pKeFVVUOPjFsOABub0OaV;['dance pop', 'pop', 'post-teen pop']
9;SK_Top100_18;10;U2;Gloria - Remastered 2008;October (Remastered);1981-10-12;1;33;17b3qMO75c61kDebXzK5pl;252720;0.394;0.888;8;-7.105;0;0.053;0.0602;0.00161;0.404;0.677;145.896;0.677;https://api.spotify.com/v1/tracks/17b3qMO75c61kDebXzK5pl;4;spotify:track:17b3qMO75c61kDebXzK5pl;['irish rock', 'permanent wave', 'rock']
10;SK_Top100_18;11;Auli'i Cravalho;How Far I'll Go - Reprise;Moana (Original Motion Picture Soundtrack/Deluxe Edition);2016-11-18;1;61;32pqqCrnIC5O5iE9c218PJ;87346;0.314;0.441;1;-8.396;0;0.0405;0.797;0.0;0.13;0.256;166.374;0.256;https://api.spotify.com/v1/tracks/32pqqCrnIC5O5iE9c218PJ;4;spotify:track:32pqqCrnIC5O5iE9c218PJ;['disney', 'hollywood', 'movie tunes']
11;SK_Top100_18;12;Pierce Brosnan;SOS - From 'Mamma Mia!' Original Motion Picture Soundtrack;Mamma Mia! The Movie Soundtrack;2008-01-01;1;61;26seN94mgiImzDyVRkl3hl;199306;0.543;0.736;0;-5.181;0;0.0309;0.0804;2.81e-06;0.133;0.385;123.353;0.385;https://api.spotify.com/v1/tracks/26seN94mgiImzDyVRkl3hl;4;spotify:track:26seN94mgiImzDyVRkl3hl;['hollywood']
12;SK_Top100_18;13;Mr. Probz;Waves - Robin Schulz Radio Edit;Waves (Robin Schulz Radio Edit);2014-02-07;1;74;5Sf3GyLEAzJXxZ5mbCPXTu;208133;0.829;0.51;5;-9.334;0;0.0369;0.00821;0.0014;0.0829;0.45;119.993;0.45;https://api.spotify.com/v1/tracks/5Sf3GyLEAzJXxZ5mbCPXTu;4;spotify:track:5Sf3GyLEAzJXxZ5mbCPXTu;['tropical house']
13;SK_Top100_18;14;Bijelo Dugme;Za Esmu;Ima neka tajna veza;2004;1;31;2uAylGrsa0kBeGZjNUdRp3;258853;0.688;0.605;9;-14.532;0;0.0404;0.12;0.00132;0.089;0.627;129.543;0.627;https://api.spotify.com/v1/tracks/2uAylGrsa0kBeGZjNUdRp3;4;spotify:track:2uAylGrsa0kBeGZjNUdRp3;['croatian pop', 'croatian rock', 'turbo folk', 'yugoslav rock']
14;SK_Top100_18;15;Peking Duk;Fake Magic;Fake Magic;2017-06-01;1;59;0lvXfUug5YmOHOyHgXufqF;167058;0.726;0.862;4;-2.984;0;0.103;0.0408;0.202;0.63;0.698;101.98;0.698;https://api.spotify.com/v1/tracks/0lvXfUug5YmOHOyHgXufqF;4;spotify:track:0lvXfUug5YmOHOyHgXufqF;['aussietronica', 'australian electropop', 'australian indie', 'australian pop', 'edm']
15;SK_Top100_18;16;Charlotte Gainsbourg;Sylvia Says;Rest;2017-11-17;1;29;4gnTxaBvLkji5cp16gz8ZP;267893;0.628;0.647;2;-4.033;1;0.035;0.00939;2.78e-05;0.0783;0.408;105.011;0.408;https://api.spotify.com/v1/tracks/4gnTxaBvLkji5cp16gz8ZP;4;spotify:track:4gnTxaBvLkji5cp16gz8ZP;['art pop', 'chanson']
16;SK_Top100_18;17;Hari Mata Hari;Kao Domine;Baš Ti Lijepo Stoje Suze;2001-11-10;1;22;1lNEBvIt9ZkqO4NNuXSzgA;267680;0.588;0.757;7;-6.576;0;0.0339;0.25;1.77e-05;0.123;0.465;81.015;0.465;https://api.spotify.com/v1/tracks/1lNEBvIt9ZkqO4NNuXSzgA;4;spotify:track:1lNEBvIt9ZkqO4NNuXSzgA;['croatian pop', 'sevdah', 'turbo folk', 'yugoslav rock']
17;SK_Top100_18;18;Calvin Harris;Feels;Feels;2017-06-16;1;70;6BaCraQ9xeLYg4Sb9TBT2X;223413;0.893;0.745;11;-3.105;0;0.0571;0.0642;0.0;0.0943;0.872;101.018;0.872;https://api.spotify.com/v1/tracks/6BaCraQ9xeLYg4Sb9TBT2X;4;spotify:track:6BaCraQ9xeLYg4Sb9TBT2X;['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']
18;SK_Top100_18;19;Madonna;Hung Up;Confessions On A Dance Floor (12 Reg. Tracks);2005-11-11;1;67;3850dYVgOFIXJh5U4BFEWH;337733;0.649;0.647;9;-7.695;0;0.0452;0.0039;0.161;0.0686;0.405;125.02;0.405;https://api.spotify.com/v1/tracks/3850dYVgOFIXJh5U4BFEWH;4;spotify:track:3850dYVgOFIXJh5U4BFEWH;['dance pop', 'europop', 'pop', 'pop rock']
19;SK_Top100_18;20;Magazin;Piši Mi;100 Originalnih Pjesama;2013-01-01;1;10;57G75tJ1VNtgKhQFup5RGv;209626;0.285;0.561;2;-6.912;1;0.0362;0.179;1.08e-06;0.13;0.333;174.598;0.333;https://api.spotify.com/v1/tracks/57G75tJ1VNtgKhQFup5RGv;4;spotify:track:57G75tJ1VNtgKhQFup5RGv;['croatian pop', 'yugoslav rock']
20;SK_Top100_18;21;Shakira;Me Enamoré;El Dorado;2017-05-26;1;73;4qknM1pQz53QOyfDVTjcM9;226893;0.74;0.879;9;-2.251;0;0.105;0.193;8.25e-05;0.0928;0.948;103.71;0.948;https://api.spotify.com/v1/tracks/4qknM1pQz53QOyfDVTjcM9;4;spotify:track:4qknM1pQz53QOyfDVTjcM9;['colombian pop', 'dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']
21;SK_Top100_18;22;DNCE;Cake By The Ocean;DNCE;2016-11-18;1;80;76hfruVvmfQbw0eYn1nmeC;219146;0.774;0.765;4;-5.439;0;0.0502;0.156;0.0;0.0373;0.917;119.001;0.917;https://api.spotify.com/v1/tracks/76hfruVvmfQbw0eYn1nmeC;4;spotify:track:76hfruVvmfQbw0eYn1nmeC;['dance pop', 'pop', 'post-teen pop', 'tropical house']
22;SK_Top100_18;23;Dominic Cooper;Lay All Your Love On Me - From 'Mamma Mia!' Original Motion Picture Soundtrack;Mamma Mia! The Movie Soundtrack;2008-01-01;1;64;74wySERHHxB8Ul9A0CNBla;269440;0.705;0.738;5;-5.402;0;0.0289;0.0102;0.000189;0.308;0.504;133.027;0.504;https://api.spotify.com/v1/tracks/74wySERHHxB8Ul9A0CNBla;4;spotify:track:74wySERHHxB8Ul9A0CNBla;[]
